max_iters,term_thresh,ivf_sel,ivf_frac,ivf_cols,rand_cols,nn_iters,assembly_s,nndescent_s,optimize_s,build_s,search_s,recall,mean_q_recall,min_q_recall,succeeded,error_message
1,0.0001,closest,0,0,128,1,0.192983,1.275538,0.600746,1.876284,0.039528,0.078500,0.078500,0.000000,1,
1,0.000100,closest,0.250000,32,96,1,0.214818,1.247440,0.609840,1.857280,0.006967,0.841417,0.841417,0.000000,1,
1,0.000100,closest,0.500000,64,64,1,0.227954,1.259527,0.596518,1.856046,0.007002,0.879500,0.879500,0.000000,1,
1,0.000100,closest,0.750000,96,32,1,0.227668,1.258952,0.606161,1.865113,0.006765,0.944583,0.944583,0.000000,1,
1,0.000100,closest,1.000000,128,0,1,0.209242,1.247483,0.597845,1.845328,0.006452,0.974750,0.974750,0.000000,1,
2,0.000100,closest,0.000000,0,128,2,0.205989,1.579458,0.598982,2.178439,0.006881,0.492500,0.492500,0.000000,1,
2,0.000100,closest,0.250000,32,96,2,0.223873,1.634151,0.595973,2.230124,0.006942,0.871000,0.871000,0.000000,1,
2,0.000100,closest,0.500000,64,64,2,0.224191,1.622755,0.599032,2.221787,0.006981,0.898083,0.898083,0.083333,1,
2,0.000100,closest,0.750000,96,32,2,0.229748,1.631518,0.603606,2.235125,0.006766,0.953917,0.953917,0.166667,1,
2,0.000100,closest,1.000000,128,0,2,0.206007,1.617034,0.605161,2.222194,0.006464,0.978417,0.978417,0.000000,1,
3,0.000100,closest,0.000000,0,128,3,0.205248,1.952502,0.592517,2.545018,0.006882,0.702917,0.702917,0.000000,1,
3,0.000100,closest,0.250000,32,96,3,0.228090,2.018386,0.600027,2.618413,0.006943,0.879333,0.879333,0.000000,1,
3,0.000100,closest,0.500000,64,64,3,0.228135,2.081417,0.605660,2.687077,0.006994,0.908250,0.908250,0.166667,1,
3,0.000100,closest,0.750000,96,32,3,0.242049,1.990618,0.604751,2.595369,0.006774,0.957500,0.957500,0.083333,1,
3,0.000100,closest,1.000000,128,0,3,0.208788,1.953396,0.605471,2.558867,0.006501,0.978167,0.978167,0.000000,1,
4,0.000100,closest,0.000000,0,128,4,0.210717,2.395428,0.603602,2.999030,0.006930,0.758083,0.758083,0.083333,1,
4,0.000100,closest,0.250000,32,96,4,0.235992,2.541508,0.602584,3.144092,0.006986,0.881167,0.881167,0.083333,1,
4,0.000100,closest,0.500000,64,64,4,0.230915,2.470062,0.603303,3.073365,0.006955,0.909750,0.909750,0.000000,1,
4,0.000100,closest,0.750000,96,32,4,0.236139,2.356361,0.605114,2.961474,0.006784,0.962000,0.962000,0.083333,1,
4,0.000100,closest,1.000000,128,0,4,0.208742,2.281829,0.614044,2.895872,0.006515,0.976667,0.976667,0.000000,1,
5,0.000100,closest,0.000000,0,128,5,0.214860,3.086831,0.609338,3.696170,0.006892,0.800667,0.800667,0.083333,1,
5,0.000100,closest,0.250000,32,96,5,0.234300,3.092797,0.595306,3.688103,0.006939,0.891000,0.891000,0.166667,1,
5,0.000100,closest,0.500000,64,64,5,0.228454,2.897954,0.605045,3.502999,0.006979,0.915750,0.915750,0.083333,1,
5,0.000100,closest,0.750000,96,32,5,0.232129,2.686323,0.602461,3.288784,0.006782,0.961750,0.961750,0.083333,1,
5,0.000100,closest,1.000000,128,0,5,0.205634,2.608229,0.601909,3.210138,0.006495,0.980667,0.980667,0.000000,1,
