dataset,parts,implementation,dtype,rows,queries,graph_degree,intermediate_graph_degree,itopk,oracle_partition_build_ms_excluded,merge_api_e2e_ms,search_ms,recall,qps
Wiki-1M,8,flat-kmeans-target256-iter1-k4-cap64,float32,1000000,10000,64,128,160,8723.045380,8720.061754,148.095517,0.984408,67523.988589
Wiki-1M,8,flat-kmeans-target256-iter2-k4-cap64,float32,1000000,10000,64,128,160,8758.807049,2647.334040,148.102318,0.981733,67520.887823
Wiki-1M,8,flat-kmeans-target256-iter5-k4-cap64,float32,1000000,10000,64,128,160,8773.831578,3782.556515,147.029108,0.982325,68013.743238
Wiki-1M,8,flat-kmeans-target256-iter10-k4-cap64,float32,1000000,10000,64,128,160,8548.512681,5277.697862,147.078654,0.982533,67990.831627
Wiki-1M,8,flat-kmeans-target256-iter20-k4-cap64,float32,1000000,10000,64,128,160,8694.750137,7597.131211,147.666618,0.982817,67720.112612
Wiki-1M,8,kmeans-tree-b2-leaf256-iter5-k4-cap64,float32,1000000,10000,64,128,160,8741.108056,1959.263986,148.748905,0.978517,67227.385640
Wiki-1M,8,kmeans-tree-b5-leaf256-iter5-k4-cap64,float32,1000000,10000,64,128,160,8763.266049,1263.279869,149.447911,0.979733,66912.946010
OpenAI-2M,8,flat-kmeans-target256-iter1-k4-cap64,float32,2321096,20000,64,128,160,37125.173332,123336.768910,607.519823,0.942142,32920.736481
OpenAI-2M,8,flat-kmeans-target256-iter2-k4-cap64,float32,2321096,20000,64,128,160,37120.912607,12514.983927,606.538697,0.944438,32973.988468
OpenAI-2M,8,flat-kmeans-target256-iter5-k4-cap64,float32,2321096,20000,64,128,160,36969.925043,24410.710528,604.591029,0.946829,33080.212972
OpenAI-2M,8,flat-kmeans-target256-iter10-k4-cap64,float32,2321096,20000,64,128,160,37412.517861,47336.636379,604.890099,0.947304,33063.857440
OpenAI-2M,8,flat-kmeans-target256-iter20-k4-cap64,float32,2321096,20000,64,128,160,37071.778152,72929.444454,604.710609,0.947796,33073.671443
OpenAI-2M,8,kmeans-tree-b2-leaf256-iter5-k4-cap64,float32,2321096,20000,64,128,160,37444.555066,6840.023558,607.314761,0.937367,32931.852285
OpenAI-2M,8,kmeans-tree-b5-leaf256-iter5-k4-cap64,float32,2321096,20000,64,128,160,36949.214847,5173.431580,606.967278,0.937246,32950.705458
YFCC-10M,8,flat-kmeans-target256-iter1-k4-cap64,uint8,10000000,100000,64,128,160,19821.728915,152705.237129,304.408555,0.973459,328505.879212
YFCC-10M,8,flat-kmeans-target256-iter2-k4-cap64,uint8,10000000,100000,64,128,160,19899.476276,17550.461560,301.674104,0.970157,331483.540264
YFCC-10M,8,flat-kmeans-target256-iter5-k4-cap64,uint8,10000000,100000,64,128,160,19872.099524,44218.946442,301.933907,0.971737,331198.310894
YFCC-10M,8,flat-kmeans-target256-iter10-k4-cap64,uint8,10000000,100000,64,128,160,20137.309119,98041.576912,300.400841,0.972182,332888.548737
YFCC-10M,8,flat-kmeans-target256-iter20-k4-cap64,uint8,10000000,100000,64,128,160,20076.994659,173404.660426,301.535155,0.972112,331636.289639
YFCC-10M,8,kmeans-tree-b2-leaf256-iter5-k4-cap64,uint8,10000000,100000,64,128,160,20043.378439,9035.481413,294.809828,0.965306,339201.717522
YFCC-10M,8,kmeans-tree-b5-leaf256-iter5-k4-cap64,uint8,10000000,100000,64,128,160,20096.438684,4909.074739,294.789308,0.965291,339225.329027
