dataset,parts,implementation,dtype,rows,queries,graph_degree,intermediate_graph_degree,itopk,oracle_partition_build_ms_excluded,merge_api_e2e_ms,search_ms,recall,qps
Wiki-1M,2,k4-scaffold-k1-cap64,float32,1000000,10000,64,128,160,5578.527431,1014.411744,144.995078,0.994025,68967.858343
Wiki-1M,2,k4-scaffold-k2-cap64,float32,1000000,10000,64,128,160,5578.527431,1031.678139,145.636522,0.994558,68664.095123
Wiki-1M,2,k4-scaffold-cap64,float32,1000000,10000,64,128,160,5578.527431,1066.122967,145.563162,0.994475,68698.700019
Wiki-1M,2,k4-scaffold-k8-cap64,float32,1000000,10000,64,128,160,5578.527431,1121.056650,144.831397,0.994367,69045.802272
Wiki-1M,2,k4-scaffold-k16-cap64,float32,1000000,10000,64,128,160,5578.527431,1288.529797,144.545715,0.994292,69182.265278
Wiki-1M,8,k4-scaffold-k1-cap64,float32,1000000,10000,64,128,160,8782.978141,1015.214557,148.183706,0.990567,67483.802841
Wiki-1M,8,k4-scaffold-k2-cap64,float32,1000000,10000,64,128,160,8782.978141,1036.124377,148.097026,0.992367,67523.300569
Wiki-1M,8,k4-scaffold-cap64,float32,1000000,10000,64,128,160,8782.978141,1065.534532,147.771424,0.992675,67672.082527
Wiki-1M,8,k4-scaffold-k8-cap64,float32,1000000,10000,64,128,160,8782.978141,1133.943268,146.293534,0.992583,68355.721040
Wiki-1M,8,k4-scaffold-k16-cap64,float32,1000000,10000,64,128,160,8782.978141,1300.459976,145.274327,0.991925,68835.287050
Wiki-1M,128,k4-scaffold-k1-cap64,float32,1000000,10000,64,128,160,89443.001275,976.657188,154.526590,0.973517,64713.781622
Wiki-1M,128,k4-scaffold-k2-cap64,float32,1000000,10000,64,128,160,89443.001275,997.583487,152.501576,0.983292,65573.092832
Wiki-1M,128,k4-scaffold-cap64,float32,1000000,10000,64,128,160,89443.001275,1029.759702,150.054520,0.987208,66642.444360
Wiki-1M,128,k4-scaffold-k8-cap64,float32,1000000,10000,64,128,160,89443.001275,1096.564427,149.071233,0.988542,67082.023800
Wiki-1M,128,k4-scaffold-k16-cap64,float32,1000000,10000,64,128,160,89443.001275,1273.339965,146.049613,0.988058,68469.883587
OpenAI-2M,2,k4-scaffold-k1-cap64,float32,2321096,20000,64,128,160,13406.598291,4292.184065,595.133493,0.964263,33605.905625
OpenAI-2M,2,k4-scaffold-k2-cap64,float32,2321096,20000,64,128,160,13406.598291,4400.894718,595.122333,0.965283,33606.535818
OpenAI-2M,2,k4-scaffold-cap64,float32,2321096,20000,64,128,160,13406.598291,4608.423798,593.971806,0.965192,33671.631882
OpenAI-2M,2,k4-scaffold-k8-cap64,float32,2321096,20000,64,128,160,13406.598291,5036.859048,593.291921,0.965354,33710.218009
OpenAI-2M,2,k4-scaffold-k16-cap64,float32,2321096,20000,64,128,160,13406.598291,6596.849687,592.379555,0.965137,33762.137520
OpenAI-2M,8,k4-scaffold-k1-cap64,float32,2321096,20000,64,128,160,37393.807421,4256.952342,607.251907,0.952171,32935.260918
OpenAI-2M,8,k4-scaffold-k2-cap64,float32,2321096,20000,64,128,160,37393.807421,4382.499722,603.861187,0.955888,33120.194559
OpenAI-2M,8,k4-scaffold-cap64,float32,2321096,20000,64,128,160,37393.807421,4594.809074,602.252889,0.957196,33208.641030
OpenAI-2M,8,k4-scaffold-k8-cap64,float32,2321096,20000,64,128,160,37393.807421,5029.926186,598.875052,0.957096,33395.947841
OpenAI-2M,8,k4-scaffold-k16-cap64,float32,2321096,20000,64,128,160,37393.807421,6604.842133,597.372280,0.956967,33479.959934
OpenAI-2M,128,k4-scaffold-k1-cap64,float32,2321096,20000,64,128,160,174485.659279,4008.661955,626.759698,0.890062,31910.156419
OpenAI-2M,128,k4-scaffold-k2-cap64,float32,2321096,20000,64,128,160,174485.659279,4146.972129,618.811237,0.915800,32320.033645
OpenAI-2M,128,k4-scaffold-cap64,float32,2321096,20000,64,128,160,174485.659279,4371.931884,613.683198,0.926517,32590.105229
OpenAI-2M,128,k4-scaffold-k8-cap64,float32,2321096,20000,64,128,160,174485.659279,4833.320401,609.939889,0.930833,32790.116470
OpenAI-2M,128,k4-scaffold-k16-cap64,float32,2321096,20000,64,128,160,174485.659279,6428.322398,604.160165,0.931092,33103.804518
YFCC-10M,2,k4-scaffold-k1-cap64,uint8,10000000,100000,64,128,160,20985.481823,2388.675035,297.131438,0.987560,336551.395144
YFCC-10M,2,k4-scaffold-k2-cap64,uint8,10000000,100000,64,128,160,20985.481823,2439.787867,298.333488,0.987866,335195.356949
YFCC-10M,2,k4-scaffold-cap64,uint8,10000000,100000,64,128,160,20985.481823,2547.133970,298.931492,0.988035,334524.808112
YFCC-10M,2,k4-scaffold-k8-cap64,uint8,10000000,100000,64,128,160,20985.481823,2928.881337,298.163126,0.988078,335386.878121
YFCC-10M,2,k4-scaffold-k16-cap64,uint8,10000000,100000,64,128,160,20985.481823,4228.558262,298.725330,0.987838,334755.676728
YFCC-10M,8,k4-scaffold-k1-cap64,uint8,10000000,100000,64,128,160,20213.943829,2392.244182,298.226407,0.977337,335315.711999
YFCC-10M,8,k4-scaffold-k2-cap64,uint8,10000000,100000,64,128,160,20213.943829,2438.325136,300.434664,0.979774,332851.072072
YFCC-10M,8,k4-scaffold-cap64,uint8,10000000,100000,64,128,160,20213.943829,2550.189793,299.576377,0.981045,333804.691149
YFCC-10M,8,k4-scaffold-k8-cap64,uint8,10000000,100000,64,128,160,20213.943829,2926.161156,299.692818,0.981413,333674.996509
YFCC-10M,8,k4-scaffold-k16-cap64,uint8,10000000,100000,64,128,160,20213.943829,4245.882515,299.063773,0.981023,334376.842092
YFCC-10M,128,k4-scaffold-k1-cap64,uint8,10000000,100000,64,128,160,48708.129957,2313.872574,296.747293,0.927148,336987.067309
YFCC-10M,128,k4-scaffold-k2-cap64,uint8,10000000,100000,64,128,160,48708.129957,2368.521141,300.989285,0.951434,332237.740623
YFCC-10M,128,k4-scaffold-cap64,uint8,10000000,100000,64,128,160,48708.129957,2483.789361,300.385760,0.961816,332905.261554
YFCC-10M,128,k4-scaffold-k8-cap64,uint8,10000000,100000,64,128,160,48708.129957,2855.621733,299.917997,0.965530,333424.472690
YFCC-10M,128,k4-scaffold-k16-cap64,uint8,10000000,100000,64,128,160,48708.129957,4227.211801,298.838149,0.966058,334629.297948
