dataset,record_type,parts,method,dtype,rows,dim,leaf_size,repeats,neighbors_per_leaf,sample_rows,k,seed,incremental_ms,cumulative_ms,leaf_count,min_leaf_size,mean_leaf_size,max_leaf_size,nn_same_partition_rate,implicit_knn_recall,implicit_cross_knn_recall,implicit_unique_degree_mean
Wiki-1M,partition,0,pivot-binary,float32,1000000,768,256,1,0,4096,12,1234,65.790571,65.790571,8193,1,122.055413,256,0.114441,nan,nan,nan
Wiki-1M,partition,0,pivot-binary,float32,1000000,768,256,2,0,4096,12,1234,61.506459,127.297030,8254,1,121.153380,256,0.205546,nan,nan,nan
Wiki-1M,partition,0,pivot-binary,float32,1000000,768,256,4,0,4096,12,1234,64.804923,257.838004,8259,1,121.080034,256,0.343384,nan,nan,nan
Wiki-1M,partition,0,pivot-binary,float32,1000000,768,256,8,0,4096,12,1234,60.489771,506.540418,8280,1,120.772947,256,0.523458,nan,nan,nan
Wiki-1M,partition,0,pivot-binary,float32,1000000,768,256,16,0,4096,12,1234,61.083696,1013.731922,8269,1,120.933607,256,0.718424,nan,nan,nan
Wiki-1M,partition,0,pivot-binary,float32,1000000,768,256,32,0,4096,12,1234,60.418691,1999.404709,8154,1,122.639195,256,0.869731,nan,nan,nan
Wiki-1M,partition,0,pivot-ternary,float32,1000000,768,256,1,0,4096,12,1234,108.022165,108.022165,10068,1,99.324593,256,0.117818,nan,nan,nan
Wiki-1M,partition,0,pivot-ternary,float32,1000000,768,256,2,0,4096,12,1234,109.629577,217.651742,10017,1,99.830289,256,0.211466,nan,nan,nan
Wiki-1M,partition,0,pivot-ternary,float32,1000000,768,256,4,0,4096,12,1234,115.243459,440.214922,10125,1,98.765432,256,0.355225,nan,nan,nan
Wiki-1M,partition,0,pivot-ternary,float32,1000000,768,256,8,0,4096,12,1234,108.739130,873.715074,9971,1,100.290843,256,0.543457,nan,nan,nan
Wiki-1M,partition,0,pivot-ternary,float32,1000000,768,256,16,0,4096,12,1234,110.295703,1760.604766,10013,1,99.870169,256,0.738627,nan,nan,nan
Wiki-1M,partition,0,pivot-ternary,float32,1000000,768,256,32,0,4096,12,1234,108.478769,3541.302922,9891,1,101.102012,256,0.884359,nan,nan,nan
Wiki-1M,implicit-scaffold,2,pivot-binary,float32,1000000,768,256,1,4,4096,12,1234,171.472519,171.472519,0,0,0,0,nan,0.016459,0.074514,3.686768
Wiki-1M,implicit-scaffold,2,pivot-binary,float32,1000000,768,256,2,4,4096,12,1234,98.918257,270.390776,0,0,0,0,nan,0.030375,0.137515,7.323486
Wiki-1M,implicit-scaffold,2,pivot-binary,float32,1000000,768,256,4,4,4096,12,1234,103.926975,480.237021,0,0,0,0,nan,0.054769,0.247951,14.297119
Wiki-1M,implicit-scaffold,2,pivot-binary,float32,1000000,768,256,8,4,4096,12,1234,99.370821,883.406907,0,0,0,0,nan,0.091431,0.413926,27.421143
Wiki-1M,implicit-scaffold,2,pivot-binary,float32,1000000,768,256,16,4,4096,12,1234,99.943345,1700.450440,0,0,0,0,nan,0.137288,0.621534,51.515137
Wiki-1M,implicit-scaffold,2,pivot-binary,float32,1000000,768,256,32,4,4096,12,1234,99.585383,3313.109906,0,0,0,0,nan,0.179077,0.810721,94.356445
Wiki-1M,implicit-scaffold,2,pivot-ternary,float32,1000000,768,256,1,4,4096,12,1234,152.328416,152.328416,0,0,0,0,nan,0.016479,0.074606,3.702637
Wiki-1M,implicit-scaffold,2,pivot-ternary,float32,1000000,768,256,2,4,4096,12,1234,155.052236,307.380652,0,0,0,0,nan,0.030680,0.138897,7.303223
Wiki-1M,implicit-scaffold,2,pivot-ternary,float32,1000000,768,256,4,4,4096,12,1234,161.303163,622.487202,0,0,0,0,nan,0.056091,0.253938,14.192627
Wiki-1M,implicit-scaffold,2,pivot-ternary,float32,1000000,768,256,8,4,4096,12,1234,154.931875,1241.166296,0,0,0,0,nan,0.094666,0.428571,27.098145
Wiki-1M,implicit-scaffold,2,pivot-ternary,float32,1000000,768,256,16,4,4096,12,1234,156.500807,2498.570913,0,0,0,0,nan,0.144165,0.652666,50.788330
Wiki-1M,implicit-scaffold,2,pivot-ternary,float32,1000000,768,256,32,4,4096,12,1234,153.380423,5022.027927,0,0,0,0,nan,0.183207,0.829419,92.153809
Wiki-1M,implicit-scaffold,8,pivot-binary,float32,1000000,768,256,1,4,4096,12,1234,99.655663,99.655663,0,0,0,0,nan,0.048319,0.088339,3.966309
Wiki-1M,implicit-scaffold,8,pivot-binary,float32,1000000,768,256,2,4,4096,12,1234,99.578862,199.234525,0,0,0,0,nan,0.086975,0.159011,7.791992
Wiki-1M,implicit-scaffold,8,pivot-binary,float32,1000000,768,256,4,4,4096,12,1234,103.275370,407.838520,0,0,0,0,nan,0.152364,0.278557,15.067871
Wiki-1M,implicit-scaffold,8,pivot-binary,float32,1000000,768,256,8,4,4096,12,1234,99.094419,809.736236,0,0,0,0,nan,0.245076,0.448057,28.414795
Wiki-1M,implicit-scaffold,8,pivot-binary,float32,1000000,768,256,16,4,4096,12,1234,100.089386,1625.788958,0,0,0,0,nan,0.358154,0.654789,51.792236
Wiki-1M,implicit-scaffold,8,pivot-binary,float32,1000000,768,256,32,4,4096,12,1234,99.945985,3239.767436,0,0,0,0,nan,0.455017,0.831877,91.379150
Wiki-1M,implicit-scaffold,8,pivot-ternary,float32,1000000,768,256,1,4,4096,12,1234,152.315456,152.315456,0,0,0,0,nan,0.047709,0.087223,3.972656
Wiki-1M,implicit-scaffold,8,pivot-ternary,float32,1000000,768,256,2,4,4096,12,1234,156.036924,308.352380,0,0,0,0,nan,0.087443,0.159866,7.769043
Wiki-1M,implicit-scaffold,8,pivot-ternary,float32,1000000,768,256,4,4,4096,12,1234,161.576524,623.882532,0,0,0,0,nan,0.156006,0.285215,14.967285
Wiki-1M,implicit-scaffold,8,pivot-ternary,float32,1000000,768,256,8,4,4096,12,1234,154.840755,1242.006862,0,0,0,0,nan,0.254801,0.465836,28.092529
