dataset,parts,implementation,dtype,rows,queries,graph_degree,intermediate_graph_degree,itopk,oracle_partition_build_ms_excluded,merge_api_e2e_ms,search_ms,recall,qps
Wiki-1M,2,ternary-scaffold,float32,1000000,10000,64,128,160,5682.016271,1490.694968,145.425657,0.993983,68763.657021
Wiki-1M,2,native-knn-k32,float32,1000000,10000,64,128,160,5616.423297,6688.279224,143.945046,0.995167,69470.956298
Wiki-1M,8,ternary-scaffold,float32,1000000,10000,64,128,160,8956.762140,1481.296816,145.856300,0.992667,68560.631251
Wiki-1M,8,native-knn-k32,float32,1000000,10000,64,128,160,8779.089679,6674.261198,144.302689,0.994833,69298.777932
Wiki-1M,128,ternary-scaffold,float32,1000000,10000,64,128,160,90401.488774,1442.117681,148.431920,0.987575,67370.953633
Wiki-1M,128,native-knn-k32,float32,1000000,10000,64,128,160,91774.890656,6652.923518,144.966093,0.993367,68981.648005
OpenAI-2M,2,ternary-scaffold,float32,2321096,20000,64,128,160,13325.226700,6520.261197,593.118515,0.965079,33720.073635
OpenAI-2M,2,native-knn-k32,float32,2321096,20000,64,128,160,13319.008734,21472.380812,587.780915,0.972004,34026.283415
OpenAI-2M,8,ternary-scaffold,float32,2321096,20000,64,128,160,37451.417137,6490.106809,601.377057,0.957746,33257.005347
OpenAI-2M,8,native-knn-k32,float32,2321096,20000,64,128,160,37597.554880,22693.940509,589.757890,0.972221,33912.221166
OpenAI-2M,128,ternary-scaffold,float32,2321096,20000,64,128,160,173044.052745,6266.756294,612.120061,0.929779,32673.328770
OpenAI-2M,128,native-knn-k32,float32,2321096,20000,64,128,160,173385.431983,22462.365123,597.080948,0.964046,33496.295715
YFCC-10M,2,ternary-scaffold,uint8,10000000,100000,64,128,160,21826.016722,2800.908999,295.123489,0.987858,338841.209620
YFCC-10M,2,native-knn-k32,uint8,10000000,100000,64,128,160,21000.458944,48948.333394,292.442788,0.991306,341947.225589
YFCC-10M,8,ternary-scaffold,uint8,10000000,100000,64,128,160,20607.863326,2813.877176,295.423450,0.981371,338497.163986
YFCC-10M,8,native-knn-k32,uint8,10000000,100000,64,128,160,20568.107349,48944.092963,292.748070,0.991370,341590.637984
YFCC-10M,128,ternary-scaffold,uint8,10000000,100000,64,128,160,49219.009980,2694.790525,293.804079,0.962917,340362.871545
YFCC-10M,128,native-knn-k32,uint8,10000000,100000,64,128,160,49597.635533,48831.422400,292.691670,0.989372,341656.460534
