dataset,parts,implementation,dtype,rows,queries,graph_degree,intermediate_graph_degree,itopk,oracle_partition_build_ms_excluded,merge_api_e2e_ms,search_ms,recall,qps
Wiki-1M,2,k4-scaffold-repeat1-cap64,float32,1000000,10000,64,128,160,5539.100611,297.499407,145.625882,0.992008,68669.111992
Wiki-1M,2,k4-scaffold-repeat2-cap64,float32,1000000,10000,64,128,160,5539.100611,413.203771,145.821004,0.992750,68577.226364
Wiki-1M,2,k4-scaffold-repeat4-cap64,float32,1000000,10000,64,128,160,5539.100611,627.543308,146.091125,0.993575,68450.427772
Wiki-1M,2,k4-scaffold-repeat8-cap64,float32,1000000,10000,64,128,160,5539.100611,1058.892238,144.369594,0.994267,69266.662896
Wiki-1M,2,k4-scaffold-repeat16-cap64,float32,1000000,10000,64,128,160,5539.100611,1931.633167,143.930071,0.994975,69478.184305
Wiki-1M,2,k4-scaffold-repeat32-cap64,float32,1000000,10000,64,128,160,5539.100611,3674.395886,142.628863,0.994717,70112.036159
Wiki-1M,8,k4-scaffold-repeat1-cap64,float32,1000000,10000,64,128,160,8844.932234,290.067211,150.038678,0.976558,66649.480876
Wiki-1M,8,k4-scaffold-repeat2-cap64,float32,1000000,10000,64,128,160,8844.932234,408.038476,149.699516,0.984808,66800.483176
Wiki-1M,8,k4-scaffold-repeat4-cap64,float32,1000000,10000,64,128,160,8844.932234,623.590751,150.366761,0.989625,66504.059365
Wiki-1M,8,k4-scaffold-repeat8-cap64,float32,1000000,10000,64,128,160,8844.932234,1067.333464,147.467581,0.992533,67811.514451
Wiki-1M,8,k4-scaffold-repeat16-cap64,float32,1000000,10000,64,128,160,8844.932234,1947.330362,144.029559,0.994625,69430.192451
Wiki-1M,8,k4-scaffold-repeat32-cap64,float32,1000000,10000,64,128,160,8844.932234,3694.752633,143.143393,0.995317,69860.017919
Wiki-1M,128,k4-scaffold-repeat1-cap64,float32,1000000,10000,64,128,160,90181.422782,251.091793,154.620510,0.843458,64674.473005
Wiki-1M,128,k4-scaffold-repeat2-cap64,float32,1000000,10000,64,128,160,90181.422782,368.940539,154.310108,0.930100,64804.568732
Wiki-1M,128,k4-scaffold-repeat4-cap64,float32,1000000,10000,64,128,160,90181.422782,591.400060,153.151741,0.970975,65294.719699
Wiki-1M,128,k4-scaffold-repeat8-cap64,float32,1000000,10000,64,128,160,90181.422782,1033.567647,150.312282,0.987142,66528.163015
Wiki-1M,128,k4-scaffold-repeat16-cap64,float32,1000000,10000,64,128,160,90181.422782,1923.804699,148.439149,0.993675,67367.672662
Wiki-1M,128,k4-scaffold-repeat32-cap64,float32,1000000,10000,64,128,160,90181.422782,3693.842693,142.932672,0.995400,69963.010277
OpenAI-2M,2,k4-scaffold-repeat1-cap64,float32,2321096,20000,64,128,160,13391.528497,1445.493158,597.088491,0.958462,33495.872557
OpenAI-2M,2,k4-scaffold-repeat2-cap64,float32,2321096,20000,64,128,160,13391.528497,1912.056239,597.485454,0.960233,33473.618255
OpenAI-2M,2,k4-scaffold-repeat4-cap64,float32,2321096,20000,64,128,160,13391.528497,2802.979435,596.565807,0.962308,33525.220127
OpenAI-2M,2,k4-scaffold-repeat8-cap64,float32,2321096,20000,64,128,160,13391.528497,4608.513316,594.015246,0.964842,33669.169495
OpenAI-2M,2,k4-scaffold-repeat16-cap64,float32,2321096,20000,64,128,160,13391.528497,8227.749446,589.873818,0.967821,33905.556391
OpenAI-2M,2,k4-scaffold-repeat32-cap64,float32,2321096,20000,64,128,160,13391.528497,16105.188250,584.306021,0.969783,34228.639242
OpenAI-2M,8,k4-scaffold-repeat1-cap64,float32,2321096,20000,64,128,160,37279.320243,1428.375033,609.930032,0.920125,32790.646387
OpenAI-2M,8,k4-scaffold-repeat2-cap64,float32,2321096,20000,64,128,160,37279.320243,1892.503047,609.341107,0.936113,32822.338375
OpenAI-2M,8,k4-scaffold-repeat4-cap64,float32,2321096,20000,64,128,160,37279.320243,2784.921646,607.566734,0.947117,32918.194629
OpenAI-2M,8,k4-scaffold-repeat8-cap64,float32,2321096,20000,64,128,160,37279.320243,4637.028708,602.177813,0.956042,33212.781289
OpenAI-2M,8,k4-scaffold-repeat16-cap64,float32,2321096,20000,64,128,160,37279.320243,8221.790295,594.407954,0.963504,33646.925256
OpenAI-2M,8,k4-scaffold-repeat32-cap64,float32,2321096,20000,64,128,160,37279.320243,16093.480971,584.818086,0.968575,34198.668746
OpenAI-2M,128,k4-scaffold-repeat1-cap64,float32,2321096,20000,64,128,160,172137.730164,1182.105999,625.807566,0.667108,31958.705977
OpenAI-2M,128,k4-scaffold-repeat2-cap64,float32,2321096,20000,64,128,160,172137.730164,1641.907371,626.981136,0.797633,31898.886349
OpenAI-2M,128,k4-scaffold-repeat4-cap64,float32,2321096,20000,64,128,160,172137.730164,2550.334908,622.765264,0.879833,32114.829063
OpenAI-2M,128,k4-scaffold-repeat8-cap64,float32,2321096,20000,64,128,160,172137.730164,4370.852531,613.286351,0.926642,32611.193723
OpenAI-2M,128,k4-scaffold-repeat16-cap64,float32,2321096,20000,64,128,160,172137.730164,8026.898212,604.340682,0.952425,33093.916388
OpenAI-2M,128,k4-scaffold-repeat32-cap64,float32,2321096,20000,64,128,160,172137.730164,15890.839652,589.652048,0.964400,33918.308378
YFCC-10M,2,k4-scaffold-repeat1-cap64,uint8,10000000,100000,64,128,160,20954.653721,1319.596071,295.823845,0.984775,338039.011020
YFCC-10M,2,k4-scaffold-repeat2-cap64,uint8,10000000,100000,64,128,160,20954.653721,1495.284660,297.580977,0.985505,336042.985705
YFCC-10M,2,k4-scaffold-repeat4-cap64,uint8,10000000,100000,64,128,160,20954.653721,1855.554705,298.236142,0.986528,335304.766650
YFCC-10M,2,k4-scaffold-repeat8-cap64,uint8,10000000,100000,64,128,160,20954.653721,2547.172538,297.689178,0.987947,335920.844257
YFCC-10M,2,k4-scaffold-repeat16-cap64,uint8,10000000,100000,64,128,160,20954.653721,4021.076239,298.966387,0.989505,334485.762776
YFCC-10M,2,k4-scaffold-repeat32-cap64,uint8,10000000,100000,64,128,160,20954.653721,7094.092614,298.101501,0.990696,335456.210937
YFCC-10M,8,k4-scaffold-repeat1-cap64,uint8,10000000,100000,64,128,160,20280.610981,1297.107266,297.149239,0.956141,336531.233721
YFCC-10M,8,k4-scaffold-repeat2-cap64,uint8,10000000,100000,64,128,160,20280.610981,1478.118053,301.268109,0.966503,331930.254191
YFCC-10M,8,k4-scaffold-repeat4-cap64,uint8,10000000,100000,64,128,160,20280.610981,1841.947523,300.403983,0.974011,332885.066973
YFCC-10M,8,k4-scaffold-repeat8-cap64,uint8,10000000,100000,64,128,160,20280.610981,2549.870231,299.822259,0.980908,333530.940410
YFCC-10M,8,k4-scaffold-repeat16-cap64,uint8,10000000,100000,64,128,160,20280.610981,4048.668603,298.705730,0.986357,334777.642197
YFCC-10M,8,k4-scaffold-repeat32-cap64,uint8,10000000,100000,64,128,160,20280.610981,7134.650145,298.704490,0.989630,334779.031946
YFCC-10M,128,k4-scaffold-repeat1-cap64,uint8,10000000,100000,64,128,160,48853.899923,1198.658618,296.634772,0.685526,337114.894946
YFCC-10M,128,k4-scaffold-repeat2-cap64,uint8,10000000,100000,64,128,160,48853.899923,1376.263462,301.431168,0.834874,331750.696730
YFCC-10M,128,k4-scaffold-repeat4-cap64,uint8,10000000,100000,64,128,160,48853.899923,1759.925603,300.686122,0.918765,332572.715145
YFCC-10M,128,k4-scaffold-repeat8-cap64,uint8,10000000,100000,64,128,160,48853.899923,2476.685108,298.783668,0.961742,334690.315135
YFCC-10M,128,k4-scaffold-repeat16-cap64,uint8,10000000,100000,64,128,160,48853.899923,4017.138395,299.233952,0.981107,334186.676785
YFCC-10M,128,k4-scaffold-repeat32-cap64,uint8,10000000,100000,64,128,160,48853.899923,7136.255012,297.254257,0.989005,336412.339420
