dataset,parts,implementation,dtype,rows,queries,graph_degree,intermediate_graph_degree,itopk,oracle_partition_build_ms_excluded,merge_api_e2e_ms,search_ms,recall,qps
Wiki-10M-prefix,2,k4-scaffold-cap64,float32,1000000,10000,64,128,160,5588.906046,1065.175781,144.064845,0.994058,69413.186819
Wiki-10M-prefix,8,rebuild,float32,1000000,10000,64,128,160,8837.883031,3696.084672,141.282104,0.992367,70780.372863
Wiki-10M-prefix,8,k4-scaffold-cap64,float32,1000000,10000,64,128,160,8805.158464,1055.179626,145.561456,0.992500,68699.505177
Wiki-10M-prefix,128,rebuild,float32,1000000,10000,64,128,160,90511.992131,3746.398371,141.285224,0.992158,70778.809821
Wiki-10M-prefix,128,k4-scaffold-cap64,float32,1000000,10000,64,128,160,90980.043295,1025.141920,148.199316,0.987058,67476.694697
Wiki-10M-prefix,2,rebuild,float32,2000000,10000,64,128,160,9290.896682,7344.109462,145.090413,0.991975,68922.541422
Wiki-10M-prefix,2,k4-scaffold-cap64,float32,2000000,10000,64,128,160,9337.534793,2174.876858,147.973994,0.991417,67579.442371
Wiki-10M-prefix,8,rebuild,float32,2000000,10000,64,128,160,12184.583472,7449.683744,145.553416,0.991508,68703.299962
Wiki-10M-prefix,8,k4-scaffold-cap64,float32,2000000,10000,64,128,160,12196.081136,2183.534405,150.027970,0.989642,66654.237873
Wiki-10M-prefix,128,rebuild,float32,2000000,10000,64,128,160,92365.343496,7390.807864,145.392735,0.992900,68779.227518
Wiki-10M-prefix,128,k4-scaffold-cap64,float32,2000000,10000,64,128,160,91443.936917,2116.544181,151.523182,0.980883,65996.502106
Wiki-10M-prefix,2,rebuild,float32,4000000,10000,64,128,160,15004.964251,14518.939231,148.079635,0.982067,67531.230746
Wiki-10M-prefix,2,k4-scaffold-cap64,float32,4000000,10000,64,128,160,14791.801405,4539.802192,151.681063,0.986942,65927.808009
Wiki-10M-prefix,8,rebuild,float32,4000000,10000,64,128,160,23829.360353,14437.882260,148.124276,0.981967,67510.878500
Wiki-10M-prefix,8,k4-scaffold-cap64,float32,4000000,10000,64,128,160,23768.318813,4531.792372,152.171626,0.983000,65715.273359
Wiki-10M-prefix,128,rebuild,float32,4000000,10000,64,128,160,94734.612421,14504.566882,147.734072,0.982300,67689.192240
Wiki-10M-prefix,128,k4-scaffold-cap64,float32,4000000,10000,64,128,160,96614.291142,4403.293457,154.690477,0.970425,64645.220533
Wiki-10M-prefix,2,rebuild,float32,6000000,10000,64,128,160,21622.972100,23782.083770,150.062203,0.982508,66639.032348
Wiki-10M-prefix,2,k4-scaffold-cap64,float32,6000000,10000,64,128,160,21564.677824,6949.503663,153.238266,0.983533,65257.851456
Wiki-10M-prefix,8,rebuild,float32,6000000,10000,64,128,160,23588.226320,23255.646993,150.465765,0.982442,66460.300787
Wiki-10M-prefix,8,k4-scaffold-cap64,float32,6000000,10000,64,128,160,23632.273170,6965.955146,154.551236,0.978058,64703.461834
Wiki-10M-prefix,128,rebuild,float32,6000000,10000,64,128,160,103573.993777,23719.165700,150.149003,0.982525,66600.508829
Wiki-10M-prefix,128,k4-scaffold-cap64,float32,6000000,10000,64,128,160,103245.936433,6797.197071,156.424684,0.959042,63928.529336
Wiki-10M-prefix,2,rebuild,float32,8000000,10000,64,128,160,28364.911699,32408.759214,151.494809,0.980375,66008.862389
Wiki-10M-prefix,2,k4-scaffold-cap64,float32,8000000,10000,64,128,160,28430.742172,9423.201511,154.608672,0.980050,64679.424968
Wiki-10M-prefix,8,rebuild,float32,8000000,10000,64,128,160,41448.373207,31718.896814,151.448929,0.981000,66028.859141
Wiki-10M-prefix,8,k4-scaffold-cap64,float32,8000000,10000,64,128,160,41441.618479,9407.497958,155.166596,0.973008,64446.860715
Wiki-10M-prefix,128,rebuild,float32,8000000,10000,64,128,160,108862.666008,31907.686120,151.202059,0.980408,66136.665507
Wiki-10M-prefix,128,k4-scaffold-cap64,float32,8000000,10000,64,128,160,108195.250814,9253.582067,157.675221,0.951967,63421.506160
Wiki-10M-prefix,2,rebuild,float32,10000000,10000,64,128,160,38026.407131,43658.548860,151.764817,0.976783,65891.424624
Wiki-10M-prefix,2,k4-scaffold-cap64,float32,10000000,10000,64,128,160,37981.812158,11707.438856,155.440445,0.977750,64333.320713
Wiki-10M-prefix,8,rebuild,float32,10000000,10000,64,128,160,35138.704571,43593.568373,151.832858,0.977133,65861.896639
Wiki-10M-prefix,8,k4-scaffold-cap64,float32,10000000,10000,64,128,160,34967.920172,11702.197337,156.088290,0.970158,64066.305038
Wiki-10M-prefix,128,rebuild,float32,10000000,10000,64,128,160,116035.036483,43754.512391,151.787386,0.976908,65881.627344
Wiki-10M-prefix,128,k4-scaffold-cap64,float32,10000000,10000,64,128,160,115464.850273,11498.738031,157.759296,0.947350,63387.706801
Wiki-10M-prefix,2,rebuild,float32,1000000,10000,64,128,160,5612.216254,3715.413961,142.189940,0.992583,70328.463462
