dataset,parts,implementation,dtype,rows,run,graph_degree,intermediate_graph_degree,scaffold_repeats,serialized_bytes,oracle_partition_build_ms_excluded,partition_serialize_ms_excluded,deserialize_ms,merge_api_ms,other_overhead_ms,total_overhead_ms,end_to_end_ms,deserialize_pct,merge_api_pct
Wiki-1M,2,fastener-repeat2,float32,1000000,1,64,128,2,3328003432,6585.473622,3369.752027,1903.395741,439.498791,0.019000,1903.414741,2342.913532,81.240546,18.758643
Wiki-1M,2,rebuild,float32,1000000,1,64,128,2,3328003432,6585.473622,3369.752027,1903.984105,5412.506586,0.008480,1903.992585,7316.499171,26.023158,73.976727
Wiki-1M,2,rebuild,float32,1000000,2,64,128,2,3328003432,6585.473622,3369.752027,1863.627645,5409.915250,0.009680,1863.637325,7273.552575,25.621973,74.377894
Wiki-1M,2,fastener-repeat2,float32,1000000,2,64,128,2,3328003432,6585.473622,3369.752027,1917.847154,440.080195,0.012240,1917.859394,2357.939589,81.335721,18.663760
Wiki-1M,4,fastener-repeat2,float32,1000000,1,64,128,2,3328006864,8527.821014,3368.823421,1930.433156,439.055668,0.027720,1930.460876,2369.516544,81.469495,18.529335
Wiki-1M,4,rebuild,float32,1000000,1,64,128,2,3328006864,8527.821014,3368.823421,1930.476875,5450.482151,0.013280,1930.490155,7380.972306,26.154777,73.845043
Wiki-1M,4,rebuild,float32,1000000,2,64,128,2,3328006864,8527.821014,3368.823421,1938.720569,5415.419525,0.017240,1938.737809,7354.157334,26.362239,73.637526
Wiki-1M,4,fastener-repeat2,float32,1000000,2,64,128,2,3328006864,8527.821014,3368.823421,1932.122886,435.982408,0.012560,1932.135446,2368.117854,81.588967,18.410503
Wiki-1M,8,fastener-repeat2,float32,1000000,1,64,128,2,3328013728,11602.866463,3236.227447,1758.082805,429.836449,0.025720,1758.108525,2187.944974,80.353154,19.645670
Wiki-1M,8,rebuild,float32,1000000,1,64,128,2,3328013728,11602.866463,3236.227447,1760.581262,5420.693752,0.018120,1760.599382,7181.293134,24.516215,75.483533
Wiki-1M,8,rebuild,float32,1000000,2,64,128,2,3328013728,11602.866463,3236.227447,1828.428429,5456.564283,0.022880,1828.451309,7285.015592,25.098483,74.901203
Wiki-1M,8,fastener-repeat2,float32,1000000,2,64,128,2,3328013728,11602.866463,3236.227447,1814.309748,432.074182,0.027120,1814.336868,2246.411050,80.764816,19.233977
OpenAI-2M,2,fastener-repeat2,float32,2321096,1,64,128,2,14855017832,19097.071803,14714.548941,8020.410811,1973.098107,0.019600,8020.430411,9993.528518,80.256046,19.743758
OpenAI-2M,2,rebuild,float32,2321096,1,64,128,2,14855017832,19097.071803,14714.548941,7985.422288,15427.218789,0.008520,7985.430808,23412.649597,34.107299,65.892665
OpenAI-2M,2,rebuild,float32,2321096,2,64,128,2,14855017832,19097.071803,14714.548941,7975.275190,15448.716673,0.012600,7975.287790,23424.004463,34.047446,65.952501
OpenAI-2M,2,fastener-repeat2,float32,2321096,2,64,128,2,14855017832,19097.071803,14714.548941,7915.081962,1976.555887,0.012320,7915.094282,9891.650169,80.017811,19.982064
OpenAI-2M,4,fastener-repeat2,float32,2321096,1,64,128,2,14855021264,22219.144765,14338.686364,7879.964438,1967.058593,0.028040,7879.992478,9847.051071,80.023597,19.976119
OpenAI-2M,4,rebuild,float32,2321096,1,64,128,2,14855021264,22219.144765,14338.686364,7879.690836,15462.152754,0.013200,7879.704036,23341.856790,33.757772,66.242171
