dataset,parts,implementation,dtype,rows,queries,graph_degree,intermediate_graph_degree,itopk,oracle_partition_build_ms_excluded,merge_api_e2e_ms,search_ms,recall,qps
Wiki-1M,2,binary-cross-query,float32,1000000,10000,64,128,160,7430.611485,9619.964666,145.372448,0.995908,68788.825789
Wiki-1M,2,k4-scaffold,float32,1000000,10000,64,128,160,7415.954547,444.952803,146.042292,0.992258,68473.315935
Wiki-1M,16,k4-scaffold,float32,1000000,10000,64,128,160,18062.653931,427.626208,150.134840,0.977033,66606.791601
Wiki-1M,16,binary-cross-query,float32,1000000,10000,64,128,160,17834.892254,37442.613247,152.250198,0.994992,65681.359574
Wiki-1M,4,k4-scaffold,float32,1000000,10000,64,128,160,8529.242753,446.995490,148.337612,0.990158,67413.785790
Wiki-1M,4,binary-cross-query,float32,1000000,10000,64,128,160,8389.916680,19127.886551,148.400293,0.996517,67385.311699
Wiki-1M,8,k4-scaffold,float32,1000000,10000,64,128,160,11637.099726,436.544621,150.256265,0.985017,66552.965362
Wiki-1M,8,binary-cross-query,float32,1000000,10000,64,128,160,11790.855174,28714.445555,151.925036,0.995692,65821.936024
Wiki-1M,32,k4-scaffold,float32,1000000,10000,64,128,160,30316.888020,421.824126,152.454519,0.964908,65593.332789
Wiki-1M,32,binary-cross-query,float32,1000000,10000,64,128,160,29843.258675,46291.146175,154.055065,0.994042,64911.854732
Wiki-1M,64,k4-scaffold,float32,1000000,10000,64,128,160,52157.977584,407.080934,153.488221,0.948267,65151.579286
Wiki-1M,64,binary-cross-query,float32,1000000,10000,64,128,160,51742.853955,55121.311511,156.620403,0.993058,63848.641738
Wiki-1M,128,k4-scaffold,float32,1000000,10000,64,128,160,97131.664266,397.657063,154.357529,0.929517,64784.659775
Wiki-1M,128,binary-cross-query,float32,1000000,10000,64,128,160,97461.238763,64997.464640,155.878300,0.992033,64152.611364
OpenAI-2M,2,k4-scaffold,float32,2321096,20000,64,128,160,18725.281211,1980.688025,600.998206,0.960137,33277.969552
OpenAI-2M,2,binary-cross-query,float32,2321096,20000,64,128,160,18964.645278,50569.114775,596.548117,0.971254,33526.214282
OpenAI-2M,4,k4-scaffold,float32,2321096,20000,64,128,160,21907.926940,1976.291731,607.092590,0.951192,32943.903993
OpenAI-2M,4,binary-cross-query,float32,2321096,20000,64,128,160,22010.870777,101544.183225,606.149904,0.972129,32995.138444
OpenAI-2M,8,k4-scaffold,float32,2321096,20000,64,128,160,43644.379844,1960.854771,612.540794,0.935496,32650.886595
OpenAI-2M,8,binary-cross-query,float32,2321096,20000,64,128,160,43900.883247,151838.952996,612.239297,0.972767,32666.965512
OpenAI-2M,16,k4-scaffold,float32,2321096,20000,64,128,160,39812.228003,1935.524662,616.718631,0.911338,32429.699696
OpenAI-2M,16,binary-cross-query,float32,2321096,20000,64,128,160,39646.368592,201512.737628,616.087731,0.971092,32462.909085
OpenAI-2M,32,k4-scaffold,float32,2321096,20000,64,128,160,62098.818393,1896.397660,621.063116,0.880946,32202.846192
OpenAI-2M,32,binary-cross-query,float32,2321096,20000,64,128,160,62379.824684,250000.283646,621.154072,0.969371,32198.130708
OpenAI-2M,64,k4-scaffold,float32,2321096,20000,64,128,160,107010.363775,1835.990941,624.950579,0.841708,32002.530555
OpenAI-2M,64,binary-cross-query,float32,2321096,20000,64,128,160,107188.711901,296161.060423,623.791270,0.967300,32062.006895
OpenAI-2M,128,k4-scaffold,float32,2321096,20000,64,128,160,195630.272473,1714.001970,628.176870,0.796325,31838.166853
OpenAI-2M,128,binary-cross-query,float32,2321096,20000,64,128,160,196375.048073,337159.970492,625.836785,0.965658,31957.213892
YFCC-10M,2,k4-scaffold,uint8,10000000,100000,64,128,160,21861.381635,1865.593067,292.657702,0.985442,341696.115689
YFCC-10M,2,binary-cross-query,uint8,10000000,100000,64,128,160,21799.309133,28987.346311,290.544806,0.991297,344180.993550
YFCC-10M,4,k4-scaffold,uint8,10000000,100000,64,128,160,21191.679043,1862.114880,291.640414,0.978555,342888.005913
YFCC-10M,4,binary-cross-query,uint8,10000000,100000,64,128,160,21234.469042,57892.195926,292.053958,0.991252,342402.481667
YFCC-10M,8,k4-scaffold,uint8,10000000,100000,64,128,160,21803.877139,1843.338957,294.442976,0.965417,339624.335274
YFCC-10M,8,binary-cross-query,uint8,10000000,100000,64,128,160,21720.854514,86606.338770,293.654331,0.990760,340536.438402
YFCC-10M,16,k4-scaffold,uint8,10000000,100000,64,128,160,24463.269399,1845.194651,293.285048,0.946694,340965.216883
YFCC-10M,16,binary-cross-query,uint8,10000000,100000,64,128,160,24347.747570,115582.478633,294.117753,0.990348,339999.877532
YFCC-10M,32,k4-scaffold,uint8,10000000,100000,64,128,160,30481.496696,1834.811802,291.928937,0.917483,342549.118384
YFCC-10M,32,binary-cross-query,uint8,10000000,100000,64,128,160,30470.558815,143787.396631,295.648423,0.989677,338239.585333
YFCC-10M,64,k4-scaffold,uint8,10000000,100000,64,128,160,39527.734350,1759.082624,292.423718,0.876776,341969.525194
