dataset,parts,dtype,rows,queries,physical_rebuild_merge_ms,physical_rebuild_recall,physical_rebuild_qps,fastener_oracle_partition_build_ms_excluded,fastener_merge_ms,fastener_merge_speedup_vs_binary_x,fastener_merge_slowdown_vs_repeat2_x,fastener_search_ms,fastener_recall,fastener_recall_delta_vs_binary,fastener_recall_delta_vs_repeat2,fastener_qps,fastener_qps_delta_vs_binary_pct,fastener_repeat8_oracle_partition_build_ms_excluded,fastener_repeat8_merge_ms,fastener_repeat8_merge_speedup_vs_binary_x,fastener_repeat8_merge_slowdown_vs_repeat2_x,fastener_repeat8_search_ms,fastener_repeat8_recall,fastener_repeat8_recall_delta_vs_binary,fastener_repeat8_recall_delta_vs_repeat2,fastener_repeat8_qps,fastener_repeat8_qps_delta_vs_binary_pct,fastener_repeat16_oracle_partition_build_ms_excluded,fastener_repeat16_merge_ms,fastener_repeat16_merge_speedup_vs_binary_x,fastener_repeat16_merge_slowdown_vs_repeat2_x,fastener_repeat16_search_ms,fastener_repeat16_recall,fastener_repeat16_recall_delta_vs_binary,fastener_repeat16_recall_delta_vs_repeat2,fastener_repeat16_qps,fastener_repeat16_qps_delta_vs_binary_pct,fastener_repeat32_oracle_partition_build_ms_excluded,fastener_repeat32_merge_ms,fastener_repeat32_merge_speedup_vs_binary_x,fastener_repeat32_merge_slowdown_vs_repeat2_x,fastener_repeat32_search_ms,fastener_repeat32_recall,fastener_repeat32_recall_delta_vs_binary,fastener_repeat32_recall_delta_vs_repeat2,fastener_repeat32_qps,fastener_repeat32_qps_delta_vs_binary_pct,baseline_oracle_partition_build_ms_excluded,binary_cross_query_merge_ms,binary_cross_query_search_ms,binary_cross_query_recall,binary_cross_query_qps
Wiki-1M,2,float32,1000000,10000,3624.081903,0.992236000,71201.752360,7415.954547,444.952803,21.620191,1.000000,146.042292,0.992258000,-0.003650000,0.000000000,68473.315935,-0.458664,7319.476436,1162.320044,8.276520,2.612232,147.667418,0.993708000,-0.002200000,0.001450000,67719.745733,-1.554148,7442.011543,2239.104771,4.296344,5.032230,149.122861,0.993367000,-0.002541000,0.001109000,67058.799254,-2.514982,7351.094792,4779.134683,2.012909,10.740768,148.271335,0.991517000,-0.004391000,-0.000741000,67443.919622,-1.955123,7430.611485,9619.964666,145.372448,0.995908000,68788.825789
Wiki-1M,4,float32,1000000,10000,3624.081903,0.992236000,71201.752360,8529.242753,446.995490,42.792124,1.000000,148.337612,0.990158000,-0.006359000,0.000000000,67413.785790,0.042256,8559.075456,1163.881376,16.434567,2.603788,147.681778,0.993733000,-0.002784000,0.003575000,67713.160929,0.486529,8360.402164,2237.416598,8.549095,5.005457,149.384662,0.994050000,-0.002467000,0.003892000,66941.276742,-0.658949,8344.122003,4789.187278,3.993973,10.714174,146.501281,0.992925000,-0.003592000,0.002767000,68258.788809,1.296243,8389.916680,19127.886551,148.400293,0.996517000,67385.311699
Wiki-1M,8,float32,1000000,10000,3624.081903,0.992236000,71201.752360,11637.099726,436.544621,65.776656,1.000000,150.256265,0.985017000,-0.010675000,0.000000000,66552.965362,1.110617,11640.937616,1149.192547,24.986627,2.632474,148.227743,0.992150000,-0.003542000,0.007133000,67463.754069,2.494333,11531.004692,2232.811325,12.860220,5.114738,148.696258,0.993833000,-0.001859000,0.008816000,67251.187989,2.171392,11555.952156,4790.397766,5.994167,10.973444,145.113351,0.993367000,-0.002325000,0.008350000,68911.646868,4.694044,11790.855174,28714.445555,151.925036,0.995692000,65821.936024
Wiki-1M,16,float32,1000000,10000,3624.081903,0.992236000,71201.752360,18062.653931,427.626208,87.559211,1.000000,150.134840,0.977033000,-0.017959000,0.000000000,66606.791601,1.408972,17944.022213,1143.497944,32.743927,2.674060,148.863707,0.990917000,-0.004075000,0.013884000,67175.540644,2.274894,17724.148974,2229.252418,16.796040,5.213087,148.661298,0.993783000,-0.001209000,0.016750000,67267.003144,2.414145,17825.883445,4779.944089,7.833274,11.177856,144.479706,0.993825000,-0.001167000,0.016792000,69213.872847,5.378258,17834.892254,37442.613247,152.250198,0.994992000,65681.359574
Wiki-1M,32,float32,1000000,10000,3624.081903,0.992236000,71201.752360,30316.888020,421.824126,109.740395,1.000000,152.454519,0.964908000,-0.029134000,0.000000000,65593.332789,1.049851,29960.438462,1136.441172,40.733429,2.694111,149.565872,0.989233000,-0.004809000,0.024325000,66860.172486,3.001482,29798.854959,2217.277892,20.877467,5.256404,148.536185,0.993417000,-0.000625000,0.028509000,67323.662581,3.715512,29833.594222,4770.129520,9.704379,11.308337,144.346914,0.993958000,-0.000084000,0.029050000,69277.546176,6.725569,29843.258675,46291.146175,154.055065,0.994042000,64911.854732
Wiki-1M,64,float32,1000000,10000,3624.081903,0.992236000,71201.752360,52157.977584,407.080934,135.406272,1.000000,153.488221,0.948267000,-0.044791000,0.000000000,65151.579286,2.040666,51265.581353,1128.978396,48.824062,2.773351,149.681714,0.987258000,-0.005800000,0.038991000,66808.427915,4.635629,52099.899598,2205.835487,24.988859,5.418666,148.837227,0.993200000,0.000142000,0.044933000,67187.492011,5.229321,51567.411398,4779.155307,11.533693,11.740062,144.108832,0.994000000,0.000942000,0.045733000,69391.999513,8.682029,51742.853955,55121.311511,156.620403,0.993058000,63848.641738
Wiki-1M,128,float32,1000000,10000,3624.081903,0.992236000,71201.752360,97131.664266,397.657063,163.451050,1.000000,154.357529,0.929517000,-0.062516000,0.000000000,64784.659775,0.985226,97757.080599,1123.638196,57.845546,2.825646,148.970428,0.986242000,-0.005791000,0.056725000,67127.416725,4.637076,97444.949395,2204.949121,29.477988,5.544851,149.040629,0.992550000,0.000517000,0.063033000,67095.798422,4.587790,98237.602210,4769.259674,13.628418,11.993399,143.899030,0.994042000,0.002009000,0.064525000,69493.171705,8.324775,97461.238763,64997.464640,155.878300,0.992033000,64152.611364
OpenAI-2M,2,float32,2321096,20000,12685.437343,0.967943333,34312.426431,18725.281211,1980.688025,25.531085,1.000000,600.998206,0.960137000,-0.011117000,0.000000000,33277.969552,-0.740450,18912.602537,4763.692149,10.615530,2.405069,609.006369,0.961217000,-0.010037000,0.001080000,32840.379047,-2.045669,18938.400424,8821.465174,5.732507,4.453738,615.675140,0.960746000,-0.010508000,0.000609000,32484.663909,-3.106675,18935.310680,18497.255902,2.733871,9.338803,617.148951,0.957275000,-0.013979000,-0.002862000,32407.087410,-3.338065,18964.645278,50569.114775,596.548117,0.971254000,33526.214282
OpenAI-2M,4,float32,2321096,20000,12685.437343,0.967943333,34312.426431,21907.926940,1976.291731,51.381171,1.000000,607.092590,0.951192000,-0.020937000,0.000000000,32943.903993,-0.155279,22047.290570,4778.300938,21.251107,2.417812,611.414667,0.958696000,-0.013433000,0.007504000,32711.024252,-0.861079,22169.238654,8841.883486,11.484452,4.473977,615.254536,0.961475000,-0.010654000,0.010283000,32506.871270,-1.479816,22064.577128,18507.923598,5.486525,9.364975,613.904283,0.961579000,-0.010550000,0.010387000,32578.368573,-1.263125,22010.870777,101544.183225,606.149904,0.972129000,32995.138444
OpenAI-2M,8,float32,2321096,20000,12685.437343,0.967943333,34312.426431,43644.379844,1960.854771,77.435084,1.000000,612.540794,0.935496000,-0.037271000,0.000000000,32650.886595,-0.049221,44483.669834,4763.070664,31.878375,2.429079,612.410835,0.953821000,-0.018946000,0.018325000,32657.815403,-0.028010,43877.088270,8809.322314,17.236167,4.492593,614.755249,0.959508000,-0.013259000,0.024012000,32533.272441,-0.409261,43859.814221,18460.703367,8.224982,9.414620,610.834220,0.962429000,-0.010338000,0.026933000,32742.107998,0.230026,43900.883247,151838.952996,612.239297,0.972767000,32666.965512
