dataset,parts,implementation,dtype,rows,queries,graph_degree,intermediate_graph_degree,itopk,oracle_partition_build_ms_excluded,merge_api_e2e_ms,search_ms,recall,qps
Wiki-1M,2,rebuild,float32,1000000,10000,64,128,160,7332.765676,3624.497899,140.155464,0.991950,71349.341043
Wiki-1M,2,k4-scaffold-cap64,float32,1000000,10000,64,128,160,7370.980071,1066.732895,143.184242,0.994092,69840.087571
Wiki-1M,4,rebuild,float32,1000000,10000,64,128,160,8349.505622,3612.417185,140.405466,0.992350,71222.298425
Wiki-1M,4,k4-scaffold-cap64,float32,1000000,10000,64,128,160,8500.426392,1062.916911,144.121328,0.994183,69385.982899
Wiki-1M,8,rebuild,float32,1000000,10000,64,128,160,11519.310119,3631.667464,141.089190,0.992250,70877.152247
Wiki-1M,8,k4-scaffold-cap64,float32,1000000,10000,64,128,160,11544.017431,1052.757609,145.020454,0.992867,68955.790195
OpenAI-2M,2,rebuild,float32,2321096,20000,64,128,160,18946.753098,12528.958982,582.498310,0.967538,34334.863564
OpenAI-2M,2,k4-scaffold-cap64,float32,2321096,20000,64,128,160,18783.126050,4536.196239,593.169295,0.965767,33717.186929
OpenAI-2M,4,rebuild,float32,2321096,20000,64,128,160,21878.826289,12620.056863,583.379796,0.968254,34282.983636
OpenAI-2M,4,k4-scaffold-cap64,float32,2321096,20000,64,128,160,22044.299949,4544.704451,597.624203,0.962092,33465.846764
OpenAI-2M,8,rebuild,float32,2321096,20000,64,128,160,43712.480301,12838.416410,583.257195,0.968196,34290.189939
OpenAI-2M,8,k4-scaffold-cap64,float32,2321096,20000,64,128,160,43283.158574,4530.726245,601.766029,0.956925,33235.508547
YFCC-10M,2,rebuild,uint8,10000000,100000,64,128,160,22046.773924,23379.134577,284.037831,0.988586,352065.778167
YFCC-10M,2,k4-scaffold-cap64,uint8,10000000,100000,64,128,160,21916.117920,2522.081025,286.473006,0.988167,349073.029240
YFCC-10M,4,rebuild,uint8,10000000,100000,64,128,160,21240.091882,23002.919522,286.073701,0.988198,349560.269436
YFCC-10M,4,k4-scaffold-cap64,uint8,10000000,100000,64,128,160,21452.255189,2527.591975,287.348628,0.985107,348009.317796
YFCC-10M,8,rebuild,uint8,10000000,100000,64,128,160,21647.725886,22719.389638,285.043294,0.988389,350823.899755
YFCC-10M,8,k4-scaffold-cap64,uint8,10000000,100000,64,128,160,21710.488157,2525.187560,289.891165,0.980975,344957.046207
