dataset,parts,implementation,repeat,dtype,rows,queries,graph_degree,intermediate_graph_degree,itopk,oracle_partition_build_ms_excluded,merge_api_e2e_ms,search_ms,recall,qps
Wiki-1M,8,batched-gemm-fp32,1,float32,1000000,10000,64,128,160,11875.729994,320.827999,148.979784,0.974400,67123.201091
Wiki-1M,8,batched-gemm-fp32,2,float32,1000000,10000,64,128,160,11726.225767,321.340930,150.376807,0.974308,66499.616527
Wiki-1M,8,batched-gemm-fp32-chunk2g,1,float32,1000000,10000,64,128,160,11676.220429,322.676852,149.515317,0.974450,66882.779642
Wiki-1M,8,batched-gemm-tf32,1,float32,1000000,10000,64,128,160,11838.769950,312.548744,148.761183,0.974467,67221.837030
Wiki-1M,8,direct-l2,1,float32,1000000,10000,64,128,160,11709.002703,474.646051,149.155074,0.974633,67044.316575
Wiki-1M,8,gemm-production,1,float32,1000000,10000,64,128,160,11909.516290,320.338613,149.043845,0.974675,67094.350659
Wiki-1M,8,symmetric-l2,1,float32,1000000,10000,64,128,160,11888.684470,488.363666,149.390756,0.974525,66938.546050
Wiki-1M,8,symmetric-norm-dot,1,float32,1000000,10000,64,128,160,11684.299173,474.860212,149.393476,0.974258,66937.327303
OpenAI-2M,8,batched-gemm-fp32,1,float32,2321096,20000,64,128,160,44693.538564,1511.254456,610.728959,0.913804,32747.751200
OpenAI-2M,8,batched-gemm-fp32,2,float32,2321096,20000,64,128,160,44435.082030,1512.867864,610.922181,0.913017,32737.393766
OpenAI-2M,8,batched-gemm-fp32-chunk2g,1,float32,2321096,20000,64,128,160,43516.861260,1482.653409,610.681636,0.913488,32750.288892
OpenAI-2M,8,batched-gemm-fp32-chunk512m,1,float32,2321096,20000,64,128,160,44093.313351,1497.612924,610.712556,0.912750,32748.630765
OpenAI-2M,8,batched-gemm-tf32,1,float32,2321096,20000,64,128,160,44270.857332,1478.154644,610.957400,0.913771,32735.506600
OpenAI-2M,8,direct-l2,1,float32,2321096,20000,64,128,160,44531.118511,2370.525936,610.531793,0.913892,32758.326805
OpenAI-2M,8,gemm-production,1,float32,2321096,20000,64,128,160,44107.598279,1482.531066,610.699744,0.913754,32749.317806
OpenAI-2M,8,symmetric-l2,1,float32,2321096,20000,64,128,160,44199.629081,2617.117445,610.372431,0.913442,32766.879669
OpenAI-2M,8,symmetric-norm-dot,1,float32,2321096,20000,64,128,160,43346.308446,2475.668230,610.653714,0.913925,32751.786391
YFCC-10M,8,batched-gemm-int8-int32,1,uint8,10000000,100000,64,128,160,21962.621122,1689.527745,288.788335,0.950896,346274.374275
YFCC-10M,8,batched-gemm-int8-int32,2,uint8,10000000,100000,64,128,160,22027.379249,1683.768865,287.017432,0.950967,348410.893733
YFCC-10M,8,batched-gemm-int8-int32-chunk2g,1,uint8,10000000,100000,64,128,160,22076.603947,1676.680507,287.545860,0.950795,347770.613008
YFCC-10M,8,batched-gemm-int8-int32-chunk512m,1,uint8,10000000,100000,64,128,160,21738.851962,1688.433699,288.106913,0.951213,347093.372244
YFCC-10M,8,direct-l2,1,uint8,10000000,100000,64,128,160,21989.097910,1838.227404,285.171190,0.950550,350666.559269
YFCC-10M,8,gemm-production,1,uint8,10000000,100000,64,128,160,22078.661893,1697.319593,284.556064,0.950523,351424.596595
YFCC-10M,8,symmetric-l2,1,uint8,10000000,100000,64,128,160,21769.276546,1971.344471,285.459112,0.950825,350312.867224
YFCC-10M,8,symmetric-norm-dot-dp4a,1,uint8,10000000,100000,64,128,160,21990.126478,1985.912735,287.668127,0.950912,347622.800770
