dataset,parts,implementation,dtype,rows,queries,graph_degree,intermediate_graph_degree,itopk,oracle_partition_build_ms_excluded,merge_api_e2e_ms,search_ms,recall,qps
Wiki-1M,8,gemm-fp16-fp32-1g-r1,float32,1000000,10000,64,128,160,11838.158364,308.101904,148.710535,0.974508,67244.731518
Wiki-1M,8,gemm-fp32-control-r1,float32,1000000,10000,64,128,160,11762.691529,319.903544,149.116579,0.974500,67061.624315
Wiki-1M,8,gemm-fp32-control-r2,float32,1000000,10000,64,128,160,11903.129008,317.112925,148.738296,0.974467,67232.180742
Wiki-1M,8,gemm-fp16-fp32-2g-r1,float32,1000000,10000,64,128,160,11753.126805,304.794818,149.520990,0.974642,66880.242032
Wiki-1M,8,gemm-fp16-fp32-2g-r2,float32,1000000,10000,64,128,160,11718.311135,303.504089,149.626031,0.974017,66833.290525
Wiki-1M,8,gemm-fp16-fp32-1g-r2,float32,1000000,10000,64,128,160,11657.649214,304.649576,149.714032,0.974575,66794.006323
Wiki-1M,8,gemm-fp16-fp16-1g-r1,float32,1000000,10000,64,128,160,11925.875109,371.739261,149.534470,0.974150,66874.213016
OpenAI-2M,8,gemm-fp32-control-r1,float32,2321096,20000,64,128,160,44010.786630,1483.960584,610.692122,0.913408,32749.726547
OpenAI-2M,8,gemm-fp16-fp32-2g-r1,float32,2321096,20000,64,128,160,43919.216383,1421.351450,610.616683,0.913217,32753.772632
OpenAI-2M,8,gemm-fp16-fp32-1g-r1,float32,2321096,20000,64,128,160,43750.379906,1452.466616,610.639803,0.913625,32752.532511
OpenAI-2M,8,gemm-fp32-control-r2,float32,2321096,20000,64,128,160,43987.369755,1486.053358,610.679323,0.913117,32750.412936
OpenAI-2M,8,gemm-fp16-fp32-2g-r2,float32,2321096,20000,64,128,160,44085.338844,1421.577130,611.234166,0.913554,32720.684007
OpenAI-2M,8,gemm-fp16-fp32-1g-r2,float32,2321096,20000,64,128,160,43666.037587,1425.964680,611.184926,0.913275,32723.320143
YFCC-10M,8,gemm-int8-int32-production-r1,uint8,10000000,100000,64,128,160,21998.340268,1709.965400,288.779551,0.951047,346284.907133
