dataset,parts,leaf_size,repeat,dtype,rows,queries,graph_degree,intermediate_graph_degree,itopk,oracle_partition_build_ms_excluded,merge_api_e2e_ms,search_ms,recall,qps
Wiki-1M,8,64,1,float32,1000000,10000,64,128,160,11834.718557,399.044782,148.787411,0.969108,67209.987275
Wiki-1M,8,64,2,float32,1000000,10000,64,128,160,11816.835983,401.272309,150.274179,0.969000,66545.031665
Wiki-1M,8,128,1,float32,1000000,10000,64,128,160,11674.198973,475.157782,149.398896,0.974025,66934.898903
Wiki-1M,8,128,2,float32,1000000,10000,64,128,160,11757.199642,477.906689,150.283939,0.974175,66540.709982
Wiki-1M,8,256,1,float32,1000000,10000,64,128,160,11598.817859,650.313521,148.894012,0.976750,67161.868135
Wiki-1M,8,256,2,float32,1000000,10000,64,128,160,11681.805751,653.986890,150.079218,0.977075,66631.477251
Wiki-1M,8,512,1,float32,1000000,10000,64,128,160,11657.584082,1017.832735,149.178695,0.974517,67033.700757
Wiki-1M,8,512,2,float32,1000000,10000,64,128,160,11809.145071,1024.860365,149.760208,0.974717,66773.411533
Wiki-1M,8,1024,1,float32,1000000,10000,64,128,160,11616.688199,1738.905174,150.265064,0.963217,66549.068252
Wiki-1M,8,1024,2,float32,1000000,10000,64,128,160,11752.158738,1743.020262,150.075770,0.963742,66633.008113
OpenAI-2M,8,64,1,float32,2321096,20000,64,128,160,44364.466003,1916.332651,610.348927,0.904746,32768.141493
OpenAI-2M,8,64,2,float32,2321096,20000,64,128,160,44210.772743,1917.428917,610.431263,0.903496,32763.721671
OpenAI-2M,8,128,1,float32,2321096,20000,64,128,160,44253.508610,2374.534219,610.802210,0.913067,32743.823897
OpenAI-2M,8,128,2,float32,2321096,20000,64,128,160,44653.399902,2376.147911,610.956667,0.913654,32735.545875
OpenAI-2M,8,256,1,float32,2321096,20000,64,128,160,44078.324030,3348.188487,610.889250,0.920225,32739.158530
OpenAI-2M,8,256,2,float32,2321096,20000,64,128,160,44423.819965,3343.053446,611.043668,0.919971,32730.884955
OpenAI-2M,8,512,1,float32,2321096,20000,64,128,160,44315.107402,5324.837196,611.033667,0.920050,32731.420673
OpenAI-2M,8,512,2,float32,2321096,20000,64,128,160,44265.506423,5335.180599,611.259121,0.920037,32719.348167
OpenAI-2M,8,1024,1,float32,2321096,20000,64,128,160,44483.670288,9382.276145,611.566990,0.906079,32702.876916
OpenAI-2M,8,1024,2,float32,2321096,20000,64,128,160,44056.261502,9375.197710,611.764245,0.905963,32692.332322
YFCC-10M,8,64,1,uint8,10000000,100000,64,128,160,21941.928679,1850.722087,290.702689,0.944297,343994.066047
YFCC-10M,8,64,2,uint8,10000000,100000,64,128,160,21765.846917,1851.985856,290.569369,0.944407,344151.898544
YFCC-10M,8,128,1,uint8,10000000,100000,64,128,160,21865.571860,1836.602267,287.589628,0.951013,347717.686119
YFCC-10M,8,128,2,uint8,10000000,100000,64,128,160,21658.258839,1833.440565,290.526928,0.950980,344202.173232
YFCC-10M,8,256,1,uint8,10000000,100000,64,128,160,21787.199708,1888.769355,291.584896,0.955320,342953.292066
YFCC-10M,8,256,2,uint8,10000000,100000,64,128,160,21875.505864,1891.499578,291.551602,0.955363,342992.455929
YFCC-10M,8,512,1,uint8,10000000,100000,64,128,160,21908.394682,2201.845922,288.975557,0.954248,346050.029415
YFCC-10M,8,512,2,uint8,10000000,100000,64,128,160,22026.529854,2203.504625,290.948988,0.954375,343702.862441
YFCC-10M,8,1024,1,uint8,10000000,100000,64,128,160,21815.385347,2749.905385,290.967212,0.942380,343681.335476
YFCC-10M,8,1024,2,uint8,10000000,100000,64,128,160,21808.483601,2746.243284,292.853762,0.941969,341467.356667
