dataset,size,count,percent_of_leaves,covered_points
Wiki-1M,1,175,1.066357931,175
Wiki-1M,2,175,1.066357931,350
Wiki-1M,3,197,1.200414356,591
Wiki-1M,4,168,1.023703613,672
Wiki-1M,5,200,1.218694778,1000
Wiki-1M,6,165,1.005423192,990
Wiki-1M,7,164,0.999329718,1148
Wiki-1M,8,165,1.005423192,1320
Wiki-1M,9,170,1.035890561,1530
Wiki-1M,10,149,0.907927610,1490
Wiki-1M,11,155,0.944488453,1705
Wiki-1M,12,141,0.859179818,1692
Wiki-1M,13,142,0.865273292,1846
Wiki-1M,14,146,0.889647188,2044
Wiki-1M,15,170,1.035890561,2550
Wiki-1M,16,146,0.889647188,2336
Wiki-1M,17,172,1.048077509,2924
Wiki-1M,18,150,0.914021083,2700
Wiki-1M,19,144,0.877460240,2736
Wiki-1M,20,156,0.950581927,3120
Wiki-1M,21,133,0.810432027,2793
Wiki-1M,22,148,0.901834136,3256
Wiki-1M,23,130,0.792151606,2990
Wiki-1M,24,142,0.865273292,3408
Wiki-1M,25,131,0.798245080,3275
Wiki-1M,26,149,0.907927610,3874
Wiki-1M,27,150,0.914021083,4050
Wiki-1M,28,119,0.725123393,3332
Wiki-1M,29,125,0.761684236,3625
Wiki-1M,30,124,0.755590762,3720
Wiki-1M,31,134,0.816525501,4154
Wiki-1M,32,119,0.725123393,3808
Wiki-1M,33,118,0.719029919,3894
Wiki-1M,34,137,0.834805923,4658
Wiki-1M,35,116,0.706842971,4060
Wiki-1M,36,128,0.779964658,4608
Wiki-1M,37,134,0.816525501,4958
Wiki-1M,38,107,0.652001706,4066
Wiki-1M,39,133,0.810432027,5187
Wiki-1M,40,127,0.773871184,5080
Wiki-1M,41,132,0.804338553,5412
Wiki-1M,42,116,0.706842971,4872
Wiki-1M,43,112,0.682469076,4816
Wiki-1M,44,122,0.743403815,5368
Wiki-1M,45,137,0.834805923,6165
Wiki-1M,46,127,0.773871184,5842
Wiki-1M,47,127,0.773871184,5969
Wiki-1M,48,134,0.816525501,6432
Wiki-1M,49,108,0.658095180,5292
Wiki-1M,50,123,0.749497288,6150
Wiki-1M,51,121,0.737310341,6171
Wiki-1M,52,111,0.676375602,5772
Wiki-1M,53,121,0.737310341,6413
Wiki-1M,54,121,0.737310341,6534
Wiki-1M,55,145,0.883553714,7975
Wiki-1M,56,115,0.700749497,6440
Wiki-1M,57,115,0.700749497,6555
Wiki-1M,58,127,0.773871184,7366
Wiki-1M,59,106,0.645908232,6254
Wiki-1M,60,133,0.810432027,7980
Wiki-1M,61,129,0.786058132,7869
Wiki-1M,62,141,0.859179818,8742
Wiki-1M,63,105,0.639814758,6615
Wiki-1M,64,119,0.725123393,7616
Wiki-1M,65,128,0.779964658,8320
Wiki-1M,66,119,0.725123393,7854
Wiki-1M,67,118,0.719029919,7906
Wiki-1M,68,99,0.603253915,6732
Wiki-1M,69,115,0.700749497,7935
Wiki-1M,70,138,0.840899397,9660
Wiki-1M,71,130,0.792151606,9230
Wiki-1M,72,119,0.725123393,8568
Wiki-1M,73,146,0.889647188,10658
Wiki-1M,74,131,0.798245080,9694
Wiki-1M,75,120,0.731216867,9000
Wiki-1M,76,106,0.645908232,8056
Wiki-1M,77,114,0.694656023,8778
Wiki-1M,78,113,0.688562550,8814
Wiki-1M,79,123,0.749497288,9717
Wiki-1M,80,121,0.737310341,9680
Wiki-1M,81,126,0.767777710,10206
Wiki-1M,82,115,0.700749497,9430
Wiki-1M,83,118,0.719029919,9794
Wiki-1M,84,127,0.773871184,10668
Wiki-1M,85,116,0.706842971,9860
Wiki-1M,86,125,0.761684236,10750
Wiki-1M,87,123,0.749497288,10701
Wiki-1M,88,104,0.633721285,9152
Wiki-1M,89,128,0.779964658,11392
Wiki-1M,90,117,0.712936445,10530
Wiki-1M,91,128,0.779964658,11648
Wiki-1M,92,120,0.731216867,11040
