dataset,method,rows,max_leaf_size,size,count,percent_of_leaves,covered_points
Wiki-1M,baseline,1000000,128,1,175,1.066357931,175
Wiki-1M,baseline,1000000,128,2,175,1.066357931,350
Wiki-1M,baseline,1000000,128,3,197,1.200414356,591
Wiki-1M,baseline,1000000,128,4,168,1.023703613,672
Wiki-1M,baseline,1000000,128,5,200,1.218694778,1000
Wiki-1M,baseline,1000000,128,6,165,1.005423192,990
Wiki-1M,baseline,1000000,128,7,164,0.999329718,1148
Wiki-1M,baseline,1000000,128,8,165,1.005423192,1320
Wiki-1M,baseline,1000000,128,9,170,1.035890561,1530
Wiki-1M,baseline,1000000,128,10,149,0.907927610,1490
Wiki-1M,baseline,1000000,128,11,155,0.944488453,1705
Wiki-1M,baseline,1000000,128,12,141,0.859179818,1692
Wiki-1M,baseline,1000000,128,13,142,0.865273292,1846
Wiki-1M,baseline,1000000,128,14,146,0.889647188,2044
Wiki-1M,baseline,1000000,128,15,170,1.035890561,2550
Wiki-1M,baseline,1000000,128,16,146,0.889647188,2336
Wiki-1M,baseline,1000000,128,17,172,1.048077509,2924
Wiki-1M,baseline,1000000,128,18,150,0.914021083,2700
Wiki-1M,baseline,1000000,128,19,144,0.877460240,2736
Wiki-1M,baseline,1000000,128,20,156,0.950581927,3120
Wiki-1M,baseline,1000000,128,21,133,0.810432027,2793
Wiki-1M,baseline,1000000,128,22,148,0.901834136,3256
Wiki-1M,baseline,1000000,128,23,130,0.792151606,2990
Wiki-1M,baseline,1000000,128,24,142,0.865273292,3408
Wiki-1M,baseline,1000000,128,25,131,0.798245080,3275
Wiki-1M,baseline,1000000,128,26,149,0.907927610,3874
Wiki-1M,baseline,1000000,128,27,150,0.914021083,4050
Wiki-1M,baseline,1000000,128,28,119,0.725123393,3332
Wiki-1M,baseline,1000000,128,29,125,0.761684236,3625
Wiki-1M,baseline,1000000,128,30,124,0.755590762,3720
Wiki-1M,baseline,1000000,128,31,134,0.816525501,4154
Wiki-1M,baseline,1000000,128,32,119,0.725123393,3808
Wiki-1M,baseline,1000000,128,33,118,0.719029919,3894
Wiki-1M,baseline,1000000,128,34,137,0.834805923,4658
Wiki-1M,baseline,1000000,128,35,116,0.706842971,4060
Wiki-1M,baseline,1000000,128,36,128,0.779964658,4608
Wiki-1M,baseline,1000000,128,37,134,0.816525501,4958
Wiki-1M,baseline,1000000,128,38,107,0.652001706,4066
Wiki-1M,baseline,1000000,128,39,133,0.810432027,5187
Wiki-1M,baseline,1000000,128,40,127,0.773871184,5080
Wiki-1M,baseline,1000000,128,41,132,0.804338553,5412
Wiki-1M,baseline,1000000,128,42,116,0.706842971,4872
Wiki-1M,baseline,1000000,128,43,112,0.682469076,4816
Wiki-1M,baseline,1000000,128,44,122,0.743403815,5368
Wiki-1M,baseline,1000000,128,45,137,0.834805923,6165
Wiki-1M,baseline,1000000,128,46,127,0.773871184,5842
Wiki-1M,baseline,1000000,128,47,127,0.773871184,5969
Wiki-1M,baseline,1000000,128,48,134,0.816525501,6432
Wiki-1M,baseline,1000000,128,49,108,0.658095180,5292
Wiki-1M,baseline,1000000,128,50,123,0.749497288,6150
Wiki-1M,baseline,1000000,128,51,121,0.737310341,6171
Wiki-1M,baseline,1000000,128,52,111,0.676375602,5772
Wiki-1M,baseline,1000000,128,53,121,0.737310341,6413
Wiki-1M,baseline,1000000,128,54,121,0.737310341,6534
Wiki-1M,baseline,1000000,128,55,145,0.883553714,7975
Wiki-1M,baseline,1000000,128,56,115,0.700749497,6440
Wiki-1M,baseline,1000000,128,57,115,0.700749497,6555
Wiki-1M,baseline,1000000,128,58,127,0.773871184,7366
Wiki-1M,baseline,1000000,128,59,106,0.645908232,6254
Wiki-1M,baseline,1000000,128,60,133,0.810432027,7980
Wiki-1M,baseline,1000000,128,61,129,0.786058132,7869
Wiki-1M,baseline,1000000,128,62,141,0.859179818,8742
Wiki-1M,baseline,1000000,128,63,105,0.639814758,6615
Wiki-1M,baseline,1000000,128,64,119,0.725123393,7616
Wiki-1M,baseline,1000000,128,65,128,0.779964658,8320
Wiki-1M,baseline,1000000,128,66,119,0.725123393,7854
Wiki-1M,baseline,1000000,128,67,118,0.719029919,7906
Wiki-1M,baseline,1000000,128,68,99,0.603253915,6732
Wiki-1M,baseline,1000000,128,69,115,0.700749497,7935
Wiki-1M,baseline,1000000,128,70,138,0.840899397,9660
Wiki-1M,baseline,1000000,128,71,130,0.792151606,9230
Wiki-1M,baseline,1000000,128,72,119,0.725123393,8568
Wiki-1M,baseline,1000000,128,73,146,0.889647188,10658
Wiki-1M,baseline,1000000,128,74,131,0.798245080,9694
Wiki-1M,baseline,1000000,128,75,120,0.731216867,9000
Wiki-1M,baseline,1000000,128,76,106,0.645908232,8056
Wiki-1M,baseline,1000000,128,77,114,0.694656023,8778
Wiki-1M,baseline,1000000,128,78,113,0.688562550,8814
Wiki-1M,baseline,1000000,128,79,123,0.749497288,9717
Wiki-1M,baseline,1000000,128,80,121,0.737310341,9680
Wiki-1M,baseline,1000000,128,81,126,0.767777710,10206
Wiki-1M,baseline,1000000,128,82,115,0.700749497,9430
Wiki-1M,baseline,1000000,128,83,118,0.719029919,9794
Wiki-1M,baseline,1000000,128,84,127,0.773871184,10668
Wiki-1M,baseline,1000000,128,85,116,0.706842971,9860
Wiki-1M,baseline,1000000,128,86,125,0.761684236,10750
Wiki-1M,baseline,1000000,128,87,123,0.749497288,10701
Wiki-1M,baseline,1000000,128,88,104,0.633721285,9152
Wiki-1M,baseline,1000000,128,89,128,0.779964658,11392
Wiki-1M,baseline,1000000,128,90,117,0.712936445,10530
Wiki-1M,baseline,1000000,128,91,128,0.779964658,11648
Wiki-1M,baseline,1000000,128,92,120,0.731216867,11040
Wiki-1M,baseline,1000000,128,93,92,0.560599598,8556
Wiki-1M,baseline,1000000,128,94,106,0.645908232,9964
Wiki-1M,baseline,1000000,128,95,116,0.706842971,11020
Wiki-1M,baseline,1000000,128,96,142,0.865273292,13632
Wiki-1M,baseline,1000000,128,97,118,0.719029919,11446
Wiki-1M,baseline,1000000,128,98,110,0.670282128,10780
Wiki-1M,baseline,1000000,128,99,117,0.712936445,11583
Wiki-1M,baseline,1000000,128,100,120,0.731216867,12000
Wiki-1M,baseline,1000000,128,101,128,0.779964658,12928
Wiki-1M,baseline,1000000,128,102,118,0.719029919,12036
Wiki-1M,baseline,1000000,128,103,117,0.712936445,12051
Wiki-1M,baseline,1000000,128,104,123,0.749497288,12792
Wiki-1M,baseline,1000000,128,105,120,0.731216867,12600
Wiki-1M,baseline,1000000,128,106,95,0.578880019,10070
Wiki-1M,baseline,1000000,128,107,108,0.658095180,11556
Wiki-1M,baseline,1000000,128,108,116,0.706842971,12528
Wiki-1M,baseline,1000000,128,109,99,0.603253915,10791
Wiki-1M,baseline,1000000,128,110,116,0.706842971,12760
Wiki-1M,baseline,1000000,128,111,115,0.700749497,12765
Wiki-1M,baseline,1000000,128,112,114,0.694656023,12768
Wiki-1M,baseline,1000000,128,113,102,0.621534337,11526
Wiki-1M,baseline,1000000,128,114,115,0.700749497,13110
Wiki-1M,baseline,1000000,128,115,118,0.719029919,13570
Wiki-1M,baseline,1000000,128,116,103,0.627627811,11948
Wiki-1M,baseline,1000000,128,117,120,0.731216867,14040
Wiki-1M,baseline,1000000,128,118,120,0.731216867,14160
Wiki-1M,baseline,1000000,128,119,124,0.755590762,14756
Wiki-1M,baseline,1000000,128,120,121,0.737310341,14520
Wiki-1M,baseline,1000000,128,121,134,0.816525501,16214
Wiki-1M,baseline,1000000,128,122,136,0.828712449,16592
Wiki-1M,baseline,1000000,128,123,138,0.840899397,16974
Wiki-1M,baseline,1000000,128,124,125,0.761684236,15500
Wiki-1M,baseline,1000000,128,125,115,0.700749497,14375
Wiki-1M,baseline,1000000,128,126,122,0.743403815,15372
Wiki-1M,baseline,1000000,128,127,111,0.676375602,14097
Wiki-1M,baseline,1000000,128,128,129,0.786058132,16512
Wiki-1M,score-median,1000000,128,1,0,0.000000000,0
Wiki-1M,score-median,1000000,128,2,0,0.000000000,0
Wiki-1M,score-median,1000000,128,3,0,0.000000000,0
Wiki-1M,score-median,1000000,128,4,0,0.000000000,0
Wiki-1M,score-median,1000000,128,5,0,0.000000000,0
Wiki-1M,score-median,1000000,128,6,0,0.000000000,0
Wiki-1M,score-median,1000000,128,7,0,0.000000000,0
Wiki-1M,score-median,1000000,128,8,0,0.000000000,0
Wiki-1M,score-median,1000000,128,9,0,0.000000000,0
Wiki-1M,score-median,1000000,128,10,0,0.000000000,0
Wiki-1M,score-median,1000000,128,11,0,0.000000000,0
Wiki-1M,score-median,1000000,128,12,0,0.000000000,0
Wiki-1M,score-median,1000000,128,13,0,0.000000000,0
Wiki-1M,score-median,1000000,128,14,0,0.000000000,0
Wiki-1M,score-median,1000000,128,15,0,0.000000000,0
Wiki-1M,score-median,1000000,128,16,0,0.000000000,0
Wiki-1M,score-median,1000000,128,17,0,0.000000000,0
Wiki-1M,score-median,1000000,128,18,0,0.000000000,0
Wiki-1M,score-median,1000000,128,19,0,0.000000000,0
Wiki-1M,score-median,1000000,128,20,0,0.000000000,0
Wiki-1M,score-median,1000000,128,21,0,0.000000000,0
Wiki-1M,score-median,1000000,128,22,0,0.000000000,0
