dataset,parts,leaf_size,repeat,implementation,dtype,rows,queries,graph_degree,intermediate_graph_degree,itopk,oracle_partition_build_ms_excluded,merge_api_e2e_ms,search_ms,recall,qps
Wiki-1M,8,64,1,gemm-fp16-fp32-leaf64-r1,float32,1000000,10000,64,128,160,11872.588251,319.937164,149.324570,0.968942,66968.215612
Wiki-1M,8,64,2,gemm-fp16-fp32-leaf64-r2,float32,1000000,10000,64,128,160,11845.319387,318.155352,148.860447,0.968400,67177.011769
Wiki-1M,8,128,1,gemm-fp16-fp32-1g-r1,float32,1000000,10000,64,128,160,11838.158364,308.101904,148.710535,0.974508,67244.731518
Wiki-1M,8,128,2,gemm-fp16-fp32-1g-r2,float32,1000000,10000,64,128,160,11657.649214,304.649576,149.714032,0.974575,66794.006323
Wiki-1M,8,256,1,gemm-fp16-fp32-leaf256-r1,float32,1000000,10000,64,128,160,11774.518788,297.391452,149.254090,0.977400,66999.838999
Wiki-1M,8,256,2,gemm-fp16-fp32-leaf256-r2,float32,1000000,10000,64,128,160,11835.584841,297.604013,148.954207,0.977408,67134.726849
OpenAI-2M,8,64,1,gemm-fp16-fp32-leaf64-r1,float32,2321096,20000,64,128,160,44152.568634,1463.428257,610.109726,0.903958,32780.988645
OpenAI-2M,8,64,2,gemm-fp16-fp32-leaf64-r2,float32,2321096,20000,64,128,160,43920.685865,1466.180436,610.182407,0.904217,32777.083984
OpenAI-2M,8,128,1,gemm-fp16-fp32-1g-r1,float32,2321096,20000,64,128,160,43750.379906,1452.466616,610.639803,0.913625,32752.532511
OpenAI-2M,8,128,2,gemm-fp16-fp32-1g-r2,float32,2321096,20000,64,128,160,43666.037587,1425.964680,611.184926,0.913275,32723.320143
OpenAI-2M,8,256,1,gemm-fp16-fp32-leaf256-r1,float32,2321096,20000,64,128,160,44634.930016,1403.169130,610.645289,0.920050,32752.238264
OpenAI-2M,8,256,2,gemm-fp16-fp32-leaf256-r2,float32,2321096,20000,64,128,160,44914.505346,1401.759840,610.805251,0.920204,32743.660876
YFCC-10M,8,64,1,gemm-int8-int32-leaf64-r1,uint8,10000000,100000,64,128,160,21812.458662,1798.253718,287.781460,0.944679,347485.901281
YFCC-10M,8,64,2,gemm-int8-int32-leaf64-r2,uint8,10000000,100000,64,128,160,21649.110441,1793.807528,287.540338,0.944307,347777.291686
YFCC-10M,8,128,1,gemm-int8-int32-production-r1,uint8,10000000,100000,64,128,160,21998.340268,1709.965400,288.779551,0.951047,346284.907133
YFCC-10M,8,256,1,gemm-int8-int32-leaf256-r1,uint8,10000000,100000,64,128,160,21626.628050,1584.113875,289.474911,0.955474,345453.081424
YFCC-10M,8,256,2,gemm-int8-int32-leaf256-r2,uint8,10000000,100000,64,128,160,22056.270105,1584.480437,290.454277,0.955463,344288.268132
