Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
81.2,74431171,203,366656.0,14000.0,200,6437806,919616.1,cudaMemcpyAsync
5.8,5283236,164,32214.9,8520.5,3640,807886,82966.4,cudaMalloc
3.6,3293746,162,20331.8,7800.0,3800,192161,36228.7,cudaFree
3.5,3200863,184,17396.0,8020.0,4600,1358770,99968.0,cudaLaunchKernel_ptsz
3.4,3096462,1,3096462.0,3096462.0,3096462,3096462,0.0,cuLibraryLoadData
2.3,2129650,101,21085.6,18160.0,5920,61081,12594.7,cudaMemcpyAsync_ptsz
0.1,93441,2,46720.5,46720.5,22040,71401,34903.5,cudaMemcpy2DAsync_ptsz
0.1,86680,184,471.1,400.0,160,12880,946.0,cuKernelGetName
0.0,31720,1,31720.0,31720.0,31720,31720,0.0,cudaMemsetAsync_ptsz
0.0,16920,13,1301.5,1160.0,480,2360,604.1,cuLibraryGetKernel
0.0,16640,1,16640.0,16640.0,16640,16640,0.0,cudaStreamCreateWithFlags
0.0,13400,1,13400.0,13400.0,13400,13400,0.0,cudaStreamDestroy
0.0,11760,5,2352.0,1880.0,1120,3520,1071.6,cudaStreamSynchronize
0.0,7240,1,7240.0,7240.0,7240,7240,0.0,cuProfilerStart
0.0,7080,1,7080.0,7080.0,7080,7080,0.0,cudaStreamSynchronize_ptsz
