Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
31.8,104137901,1,104137901.0,104137901.0,104137901,104137901,0.0,"void cuvs::neighbors::cagra::detail::graph::<unnamed>::kern_sort<float, unsigned int, (int)4>(const T1 *, T2, unsigned int, T2 *, unsigned int, unsigned int, cuvs::distance::DistanceType)"
28.7,93929114,4,23482278.5,24211940.0,18725784,26779450,3409162.8,"void cuvs::neighbors::cagra::detail::graph::<unnamed>::kern_fused_prune<unsigned int, (unsigned int)4, cuda::std::__4::mdspan<unsigned int, cuda::std::__4::extents<long, (unsigned long)18446744073709551615, (unsigned long)18446744073709551615>, cuda::std::__4::layout_stride, raft::host_device_accessor<cuda::std::__4::default_accessor<unsigned int>, (raft::memory_type)2>>, cuda::std::__4::mdspan<unsigned int, cuda::std::__4::extents<long, (unsigned long)18446744073709551615, (unsigned long)18446744073709551615>, cuda::std::__4::layout_stride, raft::host_device_accessor<cuda::std::__4::default_accessor<unsigned int>, (raft::memory_type)2>>>(T3, T4, unsigned int, unsigned int, unsigned int *, unsigned long *)"
19.4,63479141,50,1269582.8,724358.5,34624,2863287,1213569.9,"void cuvs::neighbors::cagra::detail::merge_scaffold::pivot_assign_sides_kernel<float>(const T1 *, long, const unsigned int *, const cuvs::neighbors::cagra::detail::merge_scaffold::pivot_chunk *, long, unsigned char *, unsigned int *)"
12.9,42194422,1,42194422.0,42194422.0,42194422,42194422,0.0,"void cuvs::neighbors::cagra::detail::merge_scaffold::leaf_cross_knn_kernel<float>(const T1 *, long, const unsigned int *, const unsigned int *, const unsigned int *, const unsigned int *, long, unsigned int *, unsigned char *)"
2.8,9180395,64,143443.7,143041.5,121569,192449,12851.2,"void cuvs::neighbors::cagra::detail::graph::<unnamed>::kern_make_rev_graph_k<unsigned int, cuda::std::__4::mdspan<unsigned int, cuda::std::__4::extents<long, (unsigned long)18446744073709551615, (unsigned long)18446744073709551615>, cuda::std::__4::layout_right, raft::host_device_accessor<cuda::std::__4::default_accessor<unsigned int>, (raft::memory_type)2>>>(T2, cuda::std::__4::mdspan<T1, cuda::std::__4::extents<long, (unsigned long)18446744073709551615, (unsigned long)18446744073709551615>, cuda::std::__4::layout_right, raft::host_device_accessor<cuda::std::__4::default_accessor<T1>, (raft::memory_type)2>>, cuda::std::__4::mdspan<unsigned int, cuda::std::__4::extents<long, (unsigned long)18446744073709551615>, cuda::std::__4::layout_right, raft::host_device_accessor<cuda::std::__4::default_accessor<unsigned int>, (raft::memory_type)2>>, unsigned long)"
2.0,6439636,4,1609909.0,1671533.5,1378475,1718094,155850.9,"void cuvs::neighbors::cagra::detail::graph::<unnamed>::kern_merge_graph<unsigned int, (unsigned int)4, cuda::std::__4::mdspan<unsigned int, cuda::std::__4::extents<long, (unsigned long)18446744073709551615, (unsigned long)18446744073709551615>, cuda::std::__4::layout_stride, raft::host_device_accessor<cuda::std::__4::default_accessor<unsigned int>, (raft::memory_type)2>>, cuda::std::__4::mdspan<unsigned int, cuda::std::__4::extents<long, (unsigned long)18446744073709551615, (unsigned long)18446744073709551615>, cuda::std::__4::layout_right, raft::host_device_accessor<cuda::std::__4::default_accessor<unsigned int>, (raft::memory_type)2>>, cuda::std::__4::mdspan<unsigned int, cuda::std::__4::extents<long, (unsigned long)18446744073709551615, (unsigned long)18446744073709551615>, cuda::std::__4::layout_right, raft::host_device_accessor<cuda::std::__4::default_accessor<unsigned int>, (raft::memory_type)2>>>(T3, cuda::std::__4::mdspan<T1, cuda::std::__4::extents<long, (unsigned long)18446744073709551615, (unsigned long)18446744073709551615>, cuda::std::__4::layout_right, raft::host_device_accessor<cuda::std::__4::default_accessor<T1>, (raft::memory_type)2>>, cuda::std::__4::mdspan<unsigned int, cuda::std::__4::extents<long, (unsigned long)18446744073709551615>, cuda::std::__4::layout_right, raft::host_device_accessor<cuda::std::__4::default_accessor<unsigned int>, (raft::memory_type)2>>, T4, T5, unsigned int, unsigned int, bool, unsigned int *)"
1.8,5930800,2,2965400.0,2965400.0,2963256,2967544,3032.1,"cuvs::neighbors::cagra::detail::merge_scaffold::copy_partition_graph_kernel(const unsigned int *, long, long, unsigned int *, long, long, unsigned int)"
0.4,1289710,50,25794.2,30000.5,13088,38432,9154.3,"cuvs::neighbors::cagra::detail::merge_scaffold::stable_scatter_kernel(const unsigned int *, const unsigned char *, const cuvs::neighbors::cagra::detail::merge_scaffold::pivot_chunk *, const cuvs::neighbors::cagra::detail::merge_scaffold::scatter_offset *, long, unsigned int *)"
0.1,240674,1,240674.0,240674.0,240674,240674,0.0,"cuvs::neighbors::cagra::detail::merge_scaffold::append_scaffold_kernel(const unsigned int *, unsigned int *, long, long, long)"
0.0,124417,2,62208.5,62208.5,3296,121121,83314.9,"void raft::linalg::detail::map_kernel<(int)4, (bool)0, unsigned int, long, raft::const_op<unsigned int>, >(T3 *, T4, T5, const T6 *...)"
