Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
43.5,199656094,121,1650050.4,104521.0,3920,8584451,2924432.5,cudaFree
32.6,149605482,63,2374690.2,52680.0,12840,27315122,6467871.0,cudaMemcpyAsync_ptsz
18.6,85110577,178,478149.3,415362.0,480,21015604,1553783.0,cudaMemcpyAsync
2.7,12604476,123,102475.4,138321.0,4360,793045,103257.4,cudaMalloc
1.3,6096474,434,14047.2,5160.0,4320,1279167,61760.5,cudaLaunchKernel_ptsz
0.6,2824057,1,2824057.0,2824057.0,2824057,2824057,0.0,cuLibraryLoadData
0.4,2020569,301,6712.9,4760.0,4280,34120,3613.7,cudaMemsetAsync_ptsz
0.1,291561,13,22427.8,4280.0,1960,66200,28363.1,cudaStreamSynchronize
0.1,274961,51,5391.4,4960.0,4280,19880,2312.3,cudaStreamSynchronize_ptsz
0.0,184962,434,426.2,200.0,160,10720,741.1,cuKernelGetName
0.0,91120,2,45560.0,45560.0,21480,69640,34054.3,cudaMemcpy2DAsync_ptsz
0.0,19080,14,1362.9,1320.0,600,2880,699.6,cuLibraryGetKernel
0.0,16920,1,16920.0,16920.0,16920,16920,0.0,cudaStreamCreateWithFlags
0.0,14880,1,14880.0,14880.0,14880,14880,0.0,cudaStreamDestroy
0.0,5480,1,5480.0,5480.0,5480,5480,0.0,cuProfilerStart
