Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
41.5,195174340,50,3903486.8,2527754.0,101856,8634339,3526211.4,"void cuvs::neighbors::cagra::detail::merge_scaffold::pivot_assign_keys_kernel<float>(const T1 *, long, const unsigned int *, const cuvs::neighbors::cagra::detail::merge_scaffold::pivot_chunk *, long, unsigned int *)"
22.0,103708316,1,103708316.0,103708316.0,103708316,103708316,0.0,"void cuvs::neighbors::cagra::detail::graph::<unnamed>::kern_sort<float, unsigned int, (int)4>(const T1 *, T2, unsigned int, T2 *, unsigned int, unsigned int, cuvs::distance::DistanceType)"
19.8,92966514,4,23241628.5,24013343.5,18727851,26211976,3198529.3,"void cuvs::neighbors::cagra::detail::graph::<unnamed>::kern_fused_prune<unsigned int, (unsigned int)4, cuda::std::__4::mdspan<unsigned int, cuda::std::__4::extents<long, (unsigned long)18446744073709551615, (unsigned long)18446744073709551615>, cuda::std::__4::layout_stride, raft::host_device_accessor<cuda::std::__4::default_accessor<unsigned int>, (raft::memory_type)2>>, cuda::std::__4::mdspan<unsigned int, cuda::std::__4::extents<long, (unsigned long)18446744073709551615, (unsigned long)18446744073709551615>, cuda::std::__4::layout_right, raft::host_device_accessor<cuda::std::__4::default_accessor<unsigned int>, (raft::memory_type)2>>>(T3, T4, unsigned int, unsigned int, unsigned int *, unsigned long *)"
12.0,56405056,1,56405056.0,56405056.0,56405056,56405056,0.0,"void cuvs::neighbors::cagra::detail::merge_scaffold::leaf_cross_knn_kernel<float>(const T1 *, long, const unsigned int *, const unsigned int *, const unsigned int *, const unsigned int *, long, unsigned int *, unsigned char *)"
1.3,6307674,4,1576918.5,1636567.0,1353093,1681447,150711.3,"void cuvs::neighbors::cagra::detail::graph::<unnamed>::kern_merge_graph<unsigned int, (unsigned int)4, cuda::std::__4::mdspan<unsigned int, cuda::std::__4::extents<long, (unsigned long)18446744073709551615, (unsigned long)18446744073709551615>, cuda::std::__4::layout_right, raft::host_device_accessor<cuda::std::__4::default_accessor<unsigned int>, (raft::memory_type)2>>, cuda::std::__4::mdspan<unsigned int, cuda::std::__4::extents<long, (unsigned long)18446744073709551615, (unsigned long)18446744073709551615>, cuda::std::__4::layout_right, raft::host_device_accessor<cuda::std::__4::default_accessor<unsigned int>, (raft::memory_type)2>>, cuda::std::__4::mdspan<unsigned int, cuda::std::__4::extents<long, (unsigned long)18446744073709551615, (unsigned long)18446744073709551615>, cuda::std::__4::layout_right, raft::host_device_accessor<cuda::std::__4::default_accessor<unsigned int>, (raft::memory_type)2>>>(T3, cuda::std::__4::mdspan<T1, cuda::std::__4::extents<long, (unsigned long)18446744073709551615, (unsigned long)18446744073709551615>, cuda::std::__4::layout_right, raft::host_device_accessor<cuda::std::__4::default_accessor<T1>, (raft::memory_type)2>>, cuda::std::__4::mdspan<unsigned int, cuda::std::__4::extents<long, (unsigned long)18446744073709551615>, cuda::std::__4::layout_right, raft::host_device_accessor<cuda::std::__4::default_accessor<unsigned int>, (raft::memory_type)2>>, T4, T5, unsigned int, unsigned int, bool, unsigned int *)"
1.3,5977145,64,93392.9,96080.0,67264,106624,9767.2,"void cuvs::neighbors::cagra::detail::graph::<unnamed>::kern_make_rev_graph_k<unsigned int, cuda::std::__4::mdspan<unsigned int, cuda::std::__4::extents<long, (unsigned long)18446744073709551615, (unsigned long)18446744073709551615>, cuda::std::__4::layout_right, raft::host_device_accessor<cuda::std::__4::default_accessor<unsigned int>, (raft::memory_type)2>>>(T2, cuda::std::__4::mdspan<T1, cuda::std::__4::extents<long, (unsigned long)18446744073709551615, (unsigned long)18446744073709551615>, cuda::std::__4::layout_right, raft::host_device_accessor<cuda::std::__4::default_accessor<T1>, (raft::memory_type)2>>, cuda::std::__4::mdspan<unsigned int, cuda::std::__4::extents<long, (unsigned long)18446744073709551615>, cuda::std::__4::layout_right, raft::host_device_accessor<cuda::std::__4::default_accessor<unsigned int>, (raft::memory_type)2>>, unsigned long)"
1.3,5970232,2,2985116.0,2985116.0,2971148,2999084,19753.7,"cuvs::neighbors::cagra::detail::merge_scaffold::copy_partition_graph_kernel(const unsigned int *, long, long, unsigned int *, long, long, unsigned int)"
0.7,3321962,200,16609.8,14080.0,13281,21504,3241.9,"void cub::detail::radix_sort::DeviceRadixSortOnesweepKernel<cub::detail::radix_sort::policy_selector_from_types<unsigned int, unsigned int, unsigned long long>, (cub::SortOrder)0, unsigned int, unsigned int, unsigned long long, int, int, cub::detail::identity_decomposer_t>(T7 *, T7 *, T5 *, const T5 *, T3 *, const T3 *, T4 *, const T4 *, T6, int, int, T8)"
0.1,259842,50,5196.8,5440.0,4320,5696,506.5,"void cub::detail::radix_sort::DeviceRadixSortHistogramKernel<cub::detail::radix_sort::policy_selector_from_types<unsigned int, unsigned int, unsigned long long>, (cub::SortOrder)0, unsigned int, unsigned long long, cub::detail::identity_decomposer_t>(T4 *, const T3 *, T4, int, int, T5)"
0.1,241185,1,241185.0,241185.0,241185,241185,0.0,"cuvs::neighbors::cagra::detail::merge_scaffold::append_scaffold_kernel(const unsigned int *, unsigned int *, long, long, long)"
0.0,124801,2,62400.5,62400.5,3840,120961,82817.1,"void raft::linalg::detail::map_kernel<(int)4, (bool)0, unsigned int, long, raft::const_op<unsigned int>, >(T3 *, T4, T5, const T6 *...)"
0.0,74112,50,1482.2,1472.0,1472,1504,15.1,"void cub::detail::radix_sort::DeviceRadixSortExclusiveSumKernel<cub::detail::radix_sort::policy_selector_from_types<unsigned int, unsigned int, unsigned long long>, unsigned long long>(T2 *)"
0.0,14304,1,14304.0,14304.0,14304,14304,0.0,"cuvs::neighbors::cagra::detail::merge_scaffold::pad_scaffold_kernel(unsigned int *, unsigned char *, const unsigned int *, long)"
0.0,5088,2,2544.0,2544.0,2336,2752,294.2,"cuvs::neighbors::cagra::detail::merge_scaffold::initialize_partition_kernel(unsigned int *, unsigned int *, long, long, unsigned int, unsigned int)"
0.0,2528,1,2528.0,2528.0,2528,2528,0.0,"void cub::detail::transform::transform_kernel<cub::detail::transform::policy_selector_from_types<(bool)0, (bool)1, cuda::std::__4::tuple<cuda::__4::counting_iterator<long, __int128>>, thrust::device_ptr<unsigned int>>, int, cuda::__4::always_true, cuda::__4::__callable_permitting_copied_arguments<thrust::system::detail::generic::detail::compute_sequence_value<unsigned int>>, unsigned int *, cuda::__4::counting_iterator<long, __int128>>(T2, int, bool, T3, T4, T5, cub::detail::transform::kernel_arg<T6>...)"
0.0,1216,1,1216.0,1216.0,1216,1216,0.0,"void raft::linalg::detail::map_kernel<(int)1, (bool)0, unsigned long, int, raft::const_op<unsigned long>, >(T3 *, T4, T5, const T6 *...)"
