dataset,parts,implementation,dtype,rows,queries,graph_degree,intermediate_graph_degree,itopk,oracle_partition_build_ms_excluded,merge_api_e2e_ms,search_ms,recall,qps
Wiki-1M,2,checkpoint,float32,1000000,10000,64,128,160,7401.140085,822.477028,145.358423,0.990817,68795.462923
OpenAI-2M,2,checkpoint,float32,2321096,20000,64,128,160,18749.466339,2973.209499,598.264574,0.956317,33430.025559
YFCC-10M,2,checkpoint,uint8,10000000,100000,64,128,160,22036.903925,6576.884984,282.639463,0.984183,353807.635136
Wiki-1M,2,optA-no-id-copy,float32,1000000,10000,64,128,160,7415.661826,787.481837,146.165875,0.990775,68415.421862
OpenAI-2M,2,optA-no-id-copy,float32,2321096,20000,64,128,160,18659.572688,2910.815000,598.147988,0.955842,33436.541460
YFCC-10M,2,optA-no-id-copy,uint8,10000000,100000,64,128,160,22114.853512,5310.507163,283.376407,0.984154,352887.528848
Wiki-1M,2,optA2-pool,float32,1000000,10000,64,128,160,7564.734799,799.519304,146.413153,0.990925,68299.874670
OpenAI-2M,2,optA2-pool,float32,2321096,20000,64,128,160,19018.886872,2930.634811,598.249309,0.956604,33430.878564
YFCC-10M,2,optA2-pool,uint8,10000000,100000,64,128,160,22334.444577,5448.779778,283.284607,0.984227,353001.884073
Wiki-1M,2,optB-cap20,float32,1000000,10000,64,128,160,7470.847361,678.611225,145.711156,0.986692,68628.925022
OpenAI-2M,2,optB-cap20,float32,2321096,20000,64,128,160,18915.766564,2644.995952,595.186243,0.952721,33602.927210
YFCC-10M,2,optB-cap20,uint8,10000000,100000,64,128,160,22078.558506,3865.485993,287.624964,0.976757,347674.967462
Wiki-1M,2,optB-cap24,float32,1000000,10000,64,128,160,7493.023223,724.031027,145.971598,0.990108,68506.477541
OpenAI-2M,2,optB-cap24,float32,2321096,20000,64,128,160,19007.717234,2785.723523,597.226726,0.955838,33488.119552
YFCC-10M,2,optB-cap24,uint8,10000000,100000,64,128,160,22263.802705,4145.348993,284.030906,0.983298,352074.361936
Wiki-1M,2,optB-cap32,float32,1000000,10000,64,128,160,7419.825198,748.182920,146.075719,0.990167,68457.646955
OpenAI-2M,2,optB-cap32,float32,2321096,20000,64,128,160,18754.806794,2855.250462,598.165453,0.957183,33435.565193
YFCC-10M,2,optB-cap32,uint8,10000000,100000,64,128,160,21839.989851,4295.012979,285.201908,0.984138,350628.790324
Wiki-1M,2,optC-stable-scatter,float32,1000000,10000,64,128,160,7507.052606,735.724993,145.679044,0.991700,68644.052881
OpenAI-2M,2,optC-stable-scatter,float32,2321096,20000,64,128,160,19004.442531,2752.889091,598.338129,0.956258,33425.915934
YFCC-10M,2,optC-stable-scatter,uint8,10000000,100000,64,128,160,22906.378137,3780.835619,284.628120,0.984260,351335.630506
Wiki-1M,2,optD-vector-load,float32,1000000,10000,64,128,160,7476.600867,668.619930,145.684284,0.990383,68641.583879
OpenAI-2M,2,optD-vector-load,float32,2321096,20000,64,128,160,18960.370922,2469.896749,598.092684,0.956021,33439.633246
YFCC-10M,2,optD-vector-load,uint8,10000000,100000,64,128,160,21983.591605,3428.166796,283.028511,0.984264,353321.294900
Wiki-1M,2,optE-fused-pivots,float32,1000000,10000,64,128,160,7455.925709,583.181074,145.377625,0.990400,68786.376170
OpenAI-2M,2,optE-fused-pivots,float32,2321096,20000,64,128,160,19143.167318,2169.271414,598.304525,0.956287,33427.793313
YFCC-10M,2,optE-fused-pivots,uint8,10000000,100000,64,128,160,22230.996041,3419.837610,283.063307,0.984152,353277.862326
Wiki-1M,2,optG-shared-pivots,float32,1000000,10000,64,128,160,7397.138923,591.337383,146.162274,0.990708,68417.107413
OpenAI-2M,2,optG-shared-pivots,float32,2321096,20000,64,128,160,18949.601384,2193.572883,598.422363,0.956296,33421.210898
YFCC-10M,2,optG-shared-pivots,uint8,10000000,100000,64,128,160,22052.555874,3407.539771,283.635328,0.983892,352565.389880
YFCC-10M,2,optF-dp4a,uint8,10000000,100000,64,128,160,22331.771404,3471.414355,280.506264,0.984022,356498.277700
