dataset,parts,implementation,repeat,dtype,rows,queries,graph_degree,intermediate_graph_degree,itopk,oracle_partition_build_ms_excluded,merge_api_e2e_ms,search_ms,recall,qps
Wiki-1M,8,direct-l2,1,float32,1000000,10000,64,128,160,11709.002703,474.646051,149.155074,0.974633,67044.316575
Wiki-1M,8,direct-l2-distinct-origin,1,float32,1000000,10000,64,128,160,11800.195752,474.208039,148.630826,0.974333,67280.794093
Wiki-1M,8,direct-l2-min2-origins,1,float32,1000000,10000,64,128,160,11898.016311,475.213537,150.078147,0.974467,66631.952752
Wiki-1M,8,direct-l2-min3-origins,1,float32,1000000,10000,64,128,160,11926.354313,478.689562,149.923986,0.974825,66700.467796
OpenAI-2M,8,direct-l2,1,float32,2321096,20000,64,128,160,44531.118511,2370.525936,610.531793,0.913892,32758.326805
OpenAI-2M,8,direct-l2-distinct-origin,1,float32,2321096,20000,64,128,160,45017.055719,2372.901425,610.995160,0.912338,32733.483519
OpenAI-2M,8,direct-l2-min2-origins,1,float32,2321096,20000,64,128,160,44362.348215,2367.809147,610.709340,0.913000,32748.803220
OpenAI-2M,8,direct-l2-min3-origins,1,float32,2321096,20000,64,128,160,43889.345174,2377.021452,610.572619,0.913646,32756.136416
YFCC-10M,8,direct-l2,1,uint8,10000000,100000,64,128,160,21989.097910,1838.227404,285.171190,0.950550,350666.559269
YFCC-10M,8,direct-l2-distinct-origin,1,uint8,10000000,100000,64,128,160,22075.934569,1815.129719,289.144338,0.950823,345848.031096
YFCC-10M,8,direct-l2-min2-origins,1,uint8,10000000,100000,64,128,160,21584.062784,1799.802350,287.657124,0.950986,347636.097481
YFCC-10M,8,direct-l2-min3-origins,1,uint8,10000000,100000,64,128,160,22065.185644,1808.795814,287.190481,0.951049,348200.955867
