dataset,parts,implementation,dtype,rows,queries,graph_degree,intermediate_graph_degree,itopk,oracle_partition_build_ms_excluded,merge_api_e2e_ms,search_ms,recall,qps
Wiki-1M,8,pivot-baseline-r1,float32,1000000,10000,64,128,160,11790.869609,320.131180,149.071900,0.974092,67081.723651
Wiki-1M,8,score-median-r1,float32,1000000,10000,64,128,160,11783.285794,283.359360,148.720162,0.973958,67240.378611
Wiki-1M,8,balanced-retry-r1,float32,1000000,10000,64,128,160,11672.007814,349.467112,148.710442,0.973350,67244.773571
Wiki-1M,8,pivot-baseline-r2,float32,1000000,10000,64,128,160,11633.025623,318.964291,148.505840,0.973575,67337.419188
Wiki-1M,8,score-median-r2,float32,1000000,10000,64,128,160,11806.302811,282.657996,149.770848,0.973300,66768.667825
Wiki-1M,8,balanced-retry-r2,float32,1000000,10000,64,128,160,11613.784469,347.751742,149.732768,0.973117,66785.648416
OpenAI-2M,8,pivot-baseline-r1,float32,2321096,20000,64,128,160,43602.261838,1481.669946,610.477100,0.913033,32761.261643
OpenAI-2M,8,score-median-r1,float32,2321096,20000,64,128,160,44629.739250,1435.782434,611.067944,0.908992,32729.584650
OpenAI-2M,8,balanced-retry-r1,float32,2321096,20000,64,128,160,43221.591140,1657.170627,610.822062,0.912300,32742.759707
OpenAI-2M,8,pivot-baseline-r2,float32,2321096,20000,64,128,160,44182.491639,1485.570889,610.637141,0.913613,32752.675291
OpenAI-2M,8,score-median-r2,float32,2321096,20000,64,128,160,44382.397621,1436.835439,611.024619,0.908871,32731.905357
OpenAI-2M,8,balanced-retry-r2,float32,2321096,20000,64,128,160,44492.178736,1655.211592,611.014305,0.912129,32732.457876
YFCC-10M,8,pivot-baseline-r1,uint8,10000000,100000,64,128,160,21827.970496,1674.298272,286.435212,0.950856,349119.088054
YFCC-10M,8,score-median-r1,uint8,10000000,100000,64,128,160,21542.571650,1559.305985,287.476099,0.948800,347855.005504
YFCC-10M,8,balanced-retry-r1,uint8,10000000,100000,64,128,160,22067.185810,1864.560796,287.715781,0.950593,347565.224446
YFCC-10M,8,pivot-baseline-r2,uint8,10000000,100000,64,128,160,21140.896790,1665.920739,286.412692,0.951044,349146.538520
YFCC-10M,8,score-median-r2,uint8,10000000,100000,64,128,160,21566.247641,1558.061257,287.133737,0.948438,348269.768105
YFCC-10M,8,balanced-retry-r2,uint8,10000000,100000,64,128,160,21986.607260,1873.511293,287.586179,0.950492,347721.856272
