dataset,parts,implementation,dtype,rows,queries,graph_degree,intermediate_graph_degree,itopk,oracle_partition_build_ms_excluded,merge_api_e2e_ms,search_ms,recall,qps
Wiki-1M,2,rebuild,float32,1000000,10000,64,128,160,7439.913968,3632.564693,140.373877,0.992233,71238.325917
Wiki-1M,2,k4-scaffold,float32,1000000,10000,64,128,160,7296.460104,811.624006,145.300295,0.990458,68822.984840
Wiki-1M,4,rebuild,float32,1000000,10000,64,128,160,8435.036075,3673.052845,140.574583,0.992125,71136.615074
Wiki-1M,4,k4-scaffold,float32,1000000,10000,64,128,160,8557.244496,867.043057,147.252708,0.985033,67910.465864
Wiki-1M,8,rebuild,float32,1000000,10000,64,128,160,11617.694350,3566.628170,140.389662,0.992350,71230.316090
Wiki-1M,8,k4-scaffold,float32,1000000,10000,64,128,160,11744.895443,864.100478,149.758405,0.969400,66774.215444
OpenAI-2M,2,rebuild,float32,2321096,20000,64,128,160,19073.776257,12742.179494,582.116986,0.967746,34357.355104
OpenAI-2M,2,k4-scaffold,float32,2321096,20000,64,128,160,19015.661307,2975.149042,598.313055,0.955571,33427.316741
OpenAI-2M,4,rebuild,float32,2321096,20000,64,128,160,22208.917372,12595.550551,583.244873,0.968196,34290.914376
OpenAI-2M,4,k4-scaffold,float32,2321096,20000,64,128,160,22204.267541,3151.024302,605.168340,0.938821,33048.655520
OpenAI-2M,8,rebuild,float32,2321096,20000,64,128,160,44341.373392,12718.581985,583.277269,0.967888,34289.009812
OpenAI-2M,8,k4-scaffold,float32,2321096,20000,64,128,160,44319.836162,3237.991738,611.428934,0.903867,32710.260977
YFCC-10M,2,rebuild,uint8,10000000,100000,64,128,160,22433.539037,23758.834978,285.693197,0.988858,350025.835582
YFCC-10M,2,k4-scaffold,uint8,10000000,100000,64,128,160,22908.171024,6891.581027,285.658558,0.984146,350068.279768
YFCC-10M,4,rebuild,uint8,10000000,100000,64,128,160,21493.119728,23615.842714,284.940433,0.988560,350950.544109
YFCC-10M,4,k4-scaffold,uint8,10000000,100000,64,128,160,21445.291040,6737.876053,288.231495,0.972943,346943.348436
YFCC-10M,8,rebuild,uint8,10000000,100000,64,128,160,22239.096560,23680.669599,285.042673,0.988664,350824.664067
YFCC-10M,8,k4-scaffold,uint8,10000000,100000,64,128,160,22165.040332,6850.790467,288.101534,0.944492,347099.852651
Wiki-1M,2,k4-optimized,float32,1000000,10000,64,128,160,7423.521064,362.391729,146.416310,0.990825,68298.402002
OpenAI-2M,2,k4-optimized,float32,2321096,20000,64,128,160,18616.762085,1729.791245,598.252813,0.956200,33430.682757
YFCC-10M,2,k4-optimized,uint8,10000000,100000,64,128,160,21850.277121,1831.169666,286.657855,0.984067,348847.932320
Wiki-1M,4,k4-optimized,float32,1000000,10000,64,128,160,8599.268070,389.073992,147.789756,0.984325,67663.688409
Wiki-1M,8,k4-optimized,float32,1000000,10000,64,128,160,11823.390617,398.618742,149.236446,0.969192,67007.760289
OpenAI-2M,4,k4-optimized,float32,2321096,20000,64,128,160,21682.986061,1857.641520,604.639641,0.939079,33077.553379
OpenAI-2M,8,k4-optimized,float32,2321096,20000,64,128,160,43396.094580,1919.506491,610.518084,0.903054,32759.062383
YFCC-10M,4,k4-optimized,uint8,10000000,100000,64,128,160,21406.854251,1841.052520,284.341190,0.973110,351690.164904
YFCC-10M,8,k4-optimized,uint8,10000000,100000,64,128,160,21684.533552,1846.874562,288.401939,0.944563,346738.306777
