dataset,parts,implementation,dtype,rows,queries,graph_degree,intermediate_graph_degree,itopk,scaffold_repeats,scaffold_neighbors_per_leaf,scaffold_first_repeat_neighbors_per_leaf,scaffold_seed,preopt_graph_degree_cap,quality_sample_rows,oracle_partition_build_ms_excluded,merge_api_e2e_ms_instrumented,quality_measurement_ms,merge_api_ms_excluding_quality_measurement,search_ms,recall,qps,unique_scaffold_degree_mean,preopt_candidate_rank_mean,preopt_best_candidate_rank_mean,preopt_top4_candidate_rank_mean,preopt_fraction_rank_le_16,preopt_fraction_rank_le_32,preopt_fraction_rank_le_64,preopt_fraction_rank_le_output_degree,missing_candidates
Wiki-1M,128,k4-scaffold-repeat2,float32,1000000,10000,64,128,160,2,4,4,1234,0,65536,95361.949492,396.117715,0.708004,395.409711,154.549324,0.929650,64704.262310,7.784622,15.063269,4.689240,8.484756,0.692585,0.876661,0.982214,0.982214,0
Wiki-1M,128,k4-scaffold-repeat2-cap64,float32,1000000,10000,64,128,160,2,4,4,1234,64,65536,95361.949492,364.380541,0.689884,363.690657,153.911639,0.930367,64972.344294,7.784622,15.063269,4.689240,8.484756,0.692585,0.876661,0.982214,0.982214,0
Wiki-1M,128,k4-scaffold-repeat2-k8,float32,1000000,10000,64,128,160,2,8,8,1234,0,65536,95361.949492,440.011412,0.713445,439.297967,152.825072,0.936442,65434.289473,15.605850,22.636311,4.689240,8.476524,0.486707,0.760708,0.950402,0.950402,0
Wiki-1M,128,k4-scaffold-repeat2-k8-cap64,float32,1000000,10000,64,128,160,2,8,8,1234,64,65536,95361.949492,382.369463,0.739085,381.630378,152.023627,0.938375,65779.248906,15.605850,22.636311,4.689240,8.476524,0.486707,0.760708,0.950402,0.950402,0
OpenAI-2M,128,k4-scaffold-repeat2,float32,2321096,20000,64,128,160,2,4,4,1234,0,65536,191331.669918,1713.425413,0.751525,1712.673888,627.665639,0.796617,31864.098904,7.933807,13.035809,2.574646,5.894985,0.756877,0.895750,0.985264,0.985264,0
OpenAI-2M,128,k4-scaffold-repeat2-cap64,float32,2321096,20000,64,128,160,2,4,4,1234,64,65536,191331.669918,1644.471888,0.754245,1643.717643,627.459831,0.797588,31874.550389,7.933807,13.035809,2.574646,5.894985,0.756877,0.895750,0.985264,0.985264,0
OpenAI-2M,128,k4-scaffold-repeat2-k8,float32,2321096,20000,64,128,160,2,8,8,1234,0,65536,191331.669918,1886.007078,0.738725,1885.268353,627.810473,0.808992,31856.747952,15.887451,21.118661,2.574646,5.892311,0.542331,0.780418,0.950478,0.950478,0
OpenAI-2M,128,k4-scaffold-repeat2-k8-cap64,float32,2321096,20000,64,128,160,2,8,8,1234,64,65536,191331.669918,1757.088208,0.761165,1756.327043,625.168054,0.812817,31991.397948,15.887451,21.118661,2.574646,5.892311,0.542331,0.780418,0.950478,0.950478,0
YFCC-10M,128,k4-scaffold-repeat2,uint8,10000000,100000,64,128,160,2,4,4,1234,0,65536,52922.418351,1745.015682,0.655524,1744.360158,289.552405,0.833071,345360.626516,7.870667,9.674808,1.589844,3.927742,0.856779,0.945798,0.990140,0.990140,0
YFCC-10M,128,k4-scaffold-repeat2-cap64,uint8,10000000,100000,64,128,160,2,4,4,1234,64,65536,52922.418351,1369.441550,0.626685,1368.814865,293.123630,0.834685,341152.980399,7.870667,9.674808,1.589844,3.927742,0.856779,0.945798,0.990140,0.990140,0
YFCC-10M,128,k4-scaffold-repeat2-k8,uint8,10000000,100000,64,128,160,2,8,8,1234,0,65536,52922.418351,1983.165204,0.635885,1982.529319,293.493312,0.848392,340723.266634,15.762451,16.674687,1.589844,3.923714,0.655082,0.867882,0.970966,0.970966,0
YFCC-10M,128,k4-scaffold-repeat2-k8-cap64,uint8,10000000,100000,64,128,160,2,8,8,1234,64,65536,52922.418351,1404.984881,0.629285,1404.355596,294.285919,0.852122,339805.588863,15.762451,16.674687,1.589844,3.923714,0.655082,0.867882,0.970966,0.970966,0
Wiki-1M,8,k4-scaffold-repeat2,float32,1000000,10000,64,128,160,2,4,4,1234,0,65536,11337.814662,434.995711,0.717365,434.278346,149.920619,0.984542,66701.965792,7.770676,30.966997,12.462570,20.068902,0.357651,0.585794,0.864588,0.864588,0
Wiki-1M,8,k4-scaffold-repeat2-cap64,float32,1000000,10000,64,128,160,2,4,4,1234,64,65536,11337.814662,404.689138,0.744806,403.944332,149.002452,0.984767,67112.989523,7.770676,30.966997,12.462570,20.068902,0.357651,0.585794,0.864588,0.864588,0
Wiki-1M,8,k4-scaffold-repeat2-k8,float32,1000000,10000,64,128,160,2,8,8,1234,0,65536,11337.814662,479.201184,0.898366,478.302818,150.937826,0.984725,66252.444897,15.456512,40.994666,12.462570,20.087260,0.212968,0.417658,0.750347,0.750347,0
Wiki-1M,8,k4-scaffold-repeat2-k8-cap64,float32,1000000,10000,64,128,160,2,8,8,1234,64,65536,11337.814662,421.135374,0.919887,420.215487,148.911692,0.985208,67153.894135,15.456512,40.994666,12.462570,20.087260,0.212968,0.417658,0.750347,0.750347,0
OpenAI-2M,8,k4-scaffold-repeat2,float32,2321096,20000,64,128,160,2,4,4,1234,0,65536,43114.044729,1957.097220,0.725405,1956.371815,612.564846,0.935842,32649.604578,7.940521,31.580125,9.175995,18.247059,0.336115,0.560005,0.884988,0.884988,0
OpenAI-2M,8,k4-scaffold-repeat2-cap64,float32,2321096,20000,64,128,160,2,4,4,1234,64,65536,43114.044729,1883.936623,0.671925,1883.264698,610.682352,0.936667,32750.250494,7.940521,31.580125,9.175995,18.247059,0.336115,0.560005,0.884988,0.884988,0
OpenAI-2M,8,k4-scaffold-repeat2-k8,float32,2321096,20000,64,128,160,2,8,8,1234,0,65536,43114.044729,2119.250845,0.855686,2118.395159,614.893622,0.935579,32525.951294,15.896149,43.129459,9.175995,18.244164,0.191989,0.373331,0.729008,0.729008,0
OpenAI-2M,8,k4-scaffold-repeat2-k8-cap64,float32,2321096,20000,64,128,160,2,8,8,1234,64,65536,43114.044729,1987.019431,0.864006,1986.155425,609.811386,0.937908,32797.026194,15.896149,43.129459,9.175995,18.244164,0.191989,0.373331,0.729008,0.729008,0
YFCC-10M,8,k4-scaffold-repeat2,uint8,10000000,100000,64,128,160,2,4,4,1234,0,65536,21148.975383,1847.545566,0.644924,1846.900642,290.390170,0.965623,344364.273763,7.874084,24.874228,5.675674,12.471180,0.468494,0.690961,0.926505,0.926505,0
YFCC-10M,8,k4-scaffold-repeat2-cap64,uint8,10000000,100000,64,128,160,2,4,4,1234,64,65536,21148.975383,1466.100313,0.605044,1465.495269,293.962596,0.966538,340179.333564,7.874084,24.874228,5.675674,12.471180,0.468494,0.690961,0.926505,0.926505,0
YFCC-10M,8,k4-scaffold-repeat2-k8,uint8,10000000,100000,64,128,160,2,8,8,1234,0,65536,21148.975383,2083.630593,0.731325,2082.899268,293.692994,0.965453,340491.608731,15.771133,35.954212,5.675674,12.466206,0.282339,0.501828,0.818663,0.818663,0
YFCC-10M,8,k4-scaffold-repeat2-k8-cap64,uint8,10000000,100000,64,128,160,2,8,8,1234,64,65536,21148.975383,1502.292929,0.730366,1501.562563,293.564313,0.967457,340640.859845,15.771133,35.954212,5.675674,12.466206,0.282339,0.501828,0.818663,0.818663,0
Wiki-1M,2,k4-scaffold-repeat2,float32,1000000,10000,64,128,160,2,4,4,1234,0,65536,7214.911068,444.544419,0.812125,443.732294,147.421361,0.992117,67832.774926,7.299713,50.351662,32.372650,42.010515,0.112777,0.233533,0.595024,0.595024,0
Wiki-1M,2,k4-scaffold-repeat2-cap64,float32,1000000,10000,64,128,160,2,4,4,1234,64,65536,7214.911068,417.725030,0.861246,416.863784,146.423874,0.992142,68294.873826,7.299713,50.351662,32.372650,42.010515,0.112777,0.233533,0.595024,0.595024,0
