dataset,parts,implementation,dtype,rows,queries,graph_degree,intermediate_graph_degree,itopk,scaffold_repeats,scaffold_neighbors_per_leaf,scaffold_first_repeat_neighbors_per_leaf,scaffold_seed,preopt_graph_degree_cap,quality_sample_rows,oracle_partition_build_ms_excluded,merge_api_e2e_ms_instrumented,quality_measurement_ms,merge_api_ms_excluding_quality_measurement,search_ms,recall,qps,unique_scaffold_degree_mean,preopt_candidate_rank_mean,preopt_best_candidate_rank_mean,preopt_top4_candidate_rank_mean,preopt_fraction_rank_le_16,preopt_fraction_rank_le_32,preopt_fraction_rank_le_64,preopt_fraction_rank_le_output_degree,missing_candidates
Wiki-1M,128,k4-scaffold-repeat1,float32,1000000,10000,64,128,160,1,4,4,1234,0,65536,95242.561288,274.910969,0.680364,274.230605,153.857835,0.842983,64995.065087,3.998352,12.842220,7.433075,12.842220,0.745272,0.898056,0.989288,0.989288,0
Wiki-1M,128,k4-scaffold-repeat1-cap64,float32,1000000,10000,64,128,160,1,4,4,1234,64,65536,95242.561288,251.323570,0.654444,250.669126,152.841268,0.843458,65427.355654,3.998352,12.842220,7.433075,12.842220,0.745272,0.898056,0.989288,0.989288,0
Wiki-1M,128,k4-scaffold-repeat2,float32,1000000,10000,64,128,160,2,4,4,1234,0,65536,95242.561288,398.036237,0.692485,397.343752,154.091716,0.929583,64896.415327,7.784622,15.063249,4.690155,8.485794,0.692557,0.876581,0.982253,0.982253,0
Wiki-1M,128,k4-scaffold-repeat2-cap64,float32,1000000,10000,64,128,160,2,4,4,1234,64,65536,95242.561288,363.488365,0.698845,362.789520,152.747587,0.930050,65467.482639,7.784622,15.063249,4.690155,8.485794,0.692557,0.876581,0.982253,0.982253,0
Wiki-1M,128,k4-scaffold-repeat4,float32,1000000,10000,64,128,160,4,4,4,1234,0,65536,95242.561288,642.892483,0.669245,642.223238,151.681501,0.969933,65927.617633,14.889343,19.354413,3.544479,6.627247,0.566275,0.823862,0.968035,0.968035,0
Wiki-1M,128,k4-scaffold-repeat4-cap64,float32,1000000,10000,64,128,160,4,4,4,1234,64,65536,95242.561288,584.129768,0.672004,583.457764,150.824134,0.971225,66302.386328,14.889343,19.354413,3.544479,6.627247,0.566275,0.823862,0.968035,0.968035,0
Wiki-1M,128,k4-scaffold-repeat8,float32,1000000,10000,64,128,160,8,4,4,1234,0,65536,95242.561288,1124.808404,0.904206,1123.904198,149.050362,0.986275,67091.417061,27.770798,27.878698,3.014053,5.936001,0.347563,0.669559,0.930939,0.930939,0
Wiki-1M,128,k4-scaffold-repeat8-cap64,float32,1000000,10000,64,128,160,8,4,4,1234,64,65536,95242.561288,1023.686044,0.910206,1022.775838,147.803474,0.987167,67657.408377,27.770798,27.878698,3.014053,5.936001,0.347563,0.669559,0.930939,0.930939,0
Wiki-1M,128,k4-scaffold-repeat16,float32,1000000,10000,64,128,160,16,4,4,1234,0,65536,95242.561288,2211.579472,1.347009,2210.232463,147.905275,0.992717,67610.840790,50.024612,44.830712,2.754868,5.860249,0.185475,0.389993,0.761415,0.761415,0
Wiki-1M,128,k4-scaffold-repeat16-cap64,float32,1000000,10000,64,128,160,16,4,4,1234,64,65536,95242.561288,1904.884530,1.342329,1903.542201,145.365818,0.993675,68791.963184,50.024612,44.830712,2.754868,5.860249,0.185475,0.389993,0.761415,0.761415,0
Wiki-1M,128,k4-scaffold-repeat1-k8,float32,1000000,10000,64,128,160,1,8,8,1234,0,65536,95242.561288,297.293639,0.652164,296.641475,152.728627,0.856583,65475.609887,7.991196,18.379014,7.433441,12.843994,0.604660,0.822083,0.972615,0.972615,0
Wiki-1M,128,k4-scaffold-repeat1-k8-cap64,float32,1000000,10000,64,128,160,1,8,8,1234,64,65536,95242.561288,260.506912,0.681045,259.825867,152.673587,0.857533,65499.214347,7.991196,18.379014,7.433441,12.843994,0.604660,0.822083,0.972615,0.972615,0
Wiki-1M,128,k4-scaffold-repeat2-k8,float32,1000000,10000,64,128,160,2,8,8,1234,0,65536,95242.561288,437.631583,0.713525,436.918058,152.376625,0.937075,65626.863700,15.605850,22.636116,4.690155,8.477566,0.486695,0.760628,0.950524,0.950524,0
Wiki-1M,128,k4-scaffold-repeat2-k8-cap64,float32,1000000,10000,64,128,160,2,8,8,1234,64,65536,95242.561288,381.840367,0.725605,381.114762,151.873381,0.938600,65844.323305,15.605850,22.636116,4.690155,8.477566,0.486695,0.760628,0.950524,0.950524,0
Wiki-1M,128,k4-scaffold-repeat4-k8,float32,1000000,10000,64,128,160,4,8,8,1234,0,65536,95242.561288,719.807480,0.925446,718.882034,151.058056,0.972958,66199.713308,29.989349,30.969574,3.544479,6.607983,0.314425,0.610043,0.899038,0.899038,0
Wiki-1M,128,k4-scaffold-repeat4-k8-cap64,float32,1000000,10000,64,128,160,4,8,8,1234,64,65536,95242.561288,618.757681,0.932247,617.825434,150.299331,0.974850,66533.895617,29.989349,30.969574,3.544479,6.607983,0.314425,0.610043,0.899038,0.899038,0
Wiki-1M,128,k4-scaffold-repeat8-k8,float32,1000000,10000,64,128,160,8,8,8,1234,0,65536,95242.561288,1397.411278,1.391970,1396.019308,150.848094,0.986983,66291.855169,56.265808,47.661275,3.014053,5.903393,0.177304,0.370355,0.719535,0.719535,0
Wiki-1M,128,k4-scaffold-repeat8-k8-cap64,float32,1000000,10000,64,128,160,8,8,8,1234,64,65536,95242.561288,1089.496407,1.380129,1088.116278,148.465159,0.988325,67355.870343,56.265808,47.661275,3.014053,5.903393,0.177304,0.370355,0.719535,0.719535,0
Wiki-1M,128,k4-scaffold-repeat16-k8,float32,1000000,10000,64,128,160,16,8,8,1234,0,65536,95242.561288,3173.914784,2.724058,3171.190726,148.478958,0.990975,67349.610576,102.057556,81.026695,2.754868,5.811211,0.092585,0.196261,0.411923,0.411923,0
