dataset,parts,scaffold_neighbors_per_leaf,scaffold_repeats,candidate_budget,uncapped_merge_seconds,cap64_merge_seconds,merge_time_ratio,merge_time_reduction_pct,uncapped_recall,cap64_recall,recall_delta,uncapped_qps,cap64_qps,qps_ratio
Wiki-1M,128,4,1,4,0.274230605,0.250669126,0.914081512,8.591848820,0.842983000,0.843458000,0.000475000,64995.065087000,65427.355654000,1.006651129
Wiki-1M,128,4,2,8,0.397343752,0.362789520,0.913036931,8.696306869,0.929583000,0.930050000,0.000467000,64896.415327000,65467.482639000,1.008799674
Wiki-1M,128,4,4,16,0.642223238,0.583457764,0.908496812,9.150318849,0.969933000,0.971225000,0.001292000,65927.617633000,66302.386328000,1.005684548
Wiki-1M,128,4,8,32,1.123904198,1.022775838,0.910020480,8.997951977,0.986275000,0.987167000,0.000892000,67091.417061000,67657.408377000,1.008436121
Wiki-1M,128,4,16,64,2.210232463,1.903542201,0.861240721,13.875927855,0.992717000,0.993675000,0.000958000,67610.840790000,68791.963184000,1.017469423
Wiki-1M,128,4,32,128,4.763628754,3.660877003,0.768505942,23.149405799,0.993975000,0.995433000,0.001458000,69490.218713000,70018.706268000,1.007605208
Wiki-1M,128,8,1,8,0.296641475,0.259825867,0.875891906,12.410809379,0.856583000,0.857533000,0.000950000,65475.609887000,65499.214347000,1.000360508
Wiki-1M,128,8,2,16,0.436918058,0.381114762,0.872279722,12.772027839,0.937075000,0.938600000,0.001525000,65626.863700000,65844.323305000,1.003313576
Wiki-1M,128,8,4,32,0.718882034,0.617825434,0.859425337,14.057466346,0.972958000,0.974850000,0.001892000,66199.713308000,66533.895617000,1.005048093
Wiki-1M,128,8,8,64,1.396019308,1.088116278,0.779442141,22.055785922,0.986983000,0.988325000,0.001342000,66291.855169000,67355.870343000,1.016050466
Wiki-1M,128,8,16,128,3.171190726,2.059323569,0.649384962,35.061503803,0.990975000,0.993600000,0.002625000,67349.610576000,69518.381105000,1.032201679
OpenAI-2M,128,4,1,4,1.243861606,1.188375435,0.955392006,4.460799395,0.666775000,0.667117000,0.000342000,31964.362242000,31958.666093000,0.999821797
OpenAI-2M,128,4,2,8,1.726104433,1.641234922,0.950831763,4.916823651,0.797083000,0.798058000,0.000975000,31763.955087000,31878.695443000,1.003612282
OpenAI-2M,128,4,4,16,2.672016757,2.542461645,0.951514109,4.848589054,0.877387000,0.879696000,0.002309000,31977.991825000,32100.777180000,1.003839683
OpenAI-2M,128,4,8,32,4.591200166,4.360053626,0.949654441,5.034555925,0.923763000,0.926442000,0.002679000,32345.318674000,32580.875462000,1.007282562
OpenAI-2M,128,4,16,64,8.692001565,8.031264252,0.923983296,7.601670433,0.948375000,0.952250000,0.003875000,32509.447331000,33070.667298000,1.017263288
OpenAI-2M,128,4,32,128,18.242908135,15.777475490,0.864855284,13.514471633,0.959958000,0.964667000,0.004709000,32952.790065000,33917.521085000,1.029276156
OpenAI-2M,128,8,1,8,1.339734242,1.250899886,0.933692554,6.630744607,0.690025000,0.691450000,0.001425000,31897.336509000,31977.482582000,1.002512626
OpenAI-2M,128,8,2,16,1.900043225,1.765977459,0.929440676,7.055932425,0.809975000,0.813021000,0.003046000,31837.273582000,31988.227309000,1.004741415
OpenAI-2M,128,8,4,32,3.018713645,2.782860132,0.921869531,7.813046905,0.883262000,0.888050000,0.004788000,32026.563549000,32264.846483000,1.007440166
OpenAI-2M,128,8,8,64,5.529009676,4.824396769,0.872560739,12.743926097,0.924333000,0.931021000,0.006688000,32206.131039000,32756.016835000,1.017073948
OpenAI-2M,128,8,16,128,12.118079647,9.548359005,0.787943245,21.205675461,0.945117000,0.952800000,0.007683000,32338.063618000,33561.380847000,1.037829019
YFCC-10M,128,4,1,4,1.475270534,1.198427539,0.812344252,18.765574762,0.684534000,0.685120000,0.000586000,343033.813896000,340023.837303000,0.991225423
YFCC-10M,128,4,2,8,1.750419116,1.370192396,0.782779612,21.722038826,0.832880000,0.834498000,0.001618000,337879.569389000,338207.216105000,1.000969714
YFCC-10M,128,4,4,16,2.315536660,1.746700971,0.754339588,24.566041161,0.916530000,0.918765000,0.002235000,337707.818046000,335142.458016000,0.992403611
YFCC-10M,128,4,8,32,3.462083935,2.465965336,0.712277744,28.772225564,0.959640000,0.961651000,0.002011000,338726.312378000,340115.430007000,1.004101003
YFCC-10M,128,4,16,64,6.980806726,4.005542814,0.573793685,42.620631523,0.978863000,0.981023000,0.002160000,338727.322053000,340839.920159000,1.006236870
YFCC-10M,128,4,32,128,18.138501927,7.020824483,0.387067494,61.293250615,0.986196000,0.989067000,0.002871000,348591.344989000,343693.395631000,0.985949309
YFCC-10M,128,8,1,8,1.598086907,1.212854195,0.758941325,24.105867479,0.708913000,0.710967000,0.002054000,334849.017365000,335488.179502000,1.001908807
YFCC-10M,128,8,2,16,1.977205058,1.410972787,0.713619855,28.638014490,0.848347000,0.851978000,0.003631000,333862.053975000,334536.393110000,1.002019814
YFCC-10M,128,8,4,32,2.888066893,1.863463785,0.645228748,35.477125218,0.922937000,0.927592000,0.004655000,336033.731765000,336392.069047000,1.001066373
YFCC-10M,128,8,8,64,5.880993919,2.839365610,0.482803698,51.719630234,0.960381000,0.965427000,0.005046000,337141.134544000,338038.377964000,1.002661329
YFCC-10M,128,8,16,128,16.050044110,4.954175137,0.308670500,69.132950022,0.976873000,0.982043000,0.005170000,339216.310931000,341017.348804000,1.005309408
