dataset,parts,strategy,trials,sources,merge_ratio_mean,merge_ratio_min,merge_ratio_max,recall_delta_mean,recall_delta_min,recall_delta_max,qps_ratio_mean,qps_ratio_min,qps_ratio_max,top16_delta_mean,top16_delta_min,top16_delta_max
Wiki-1M,2,k4-cap64,2,cap-width;cap64-confirmation,0.936503184,0.933557539,0.939448829,-0.000133000,-0.000291000,0.000025000,1.005930949,1.005049574,1.006812325,0.000000000,0.000000000,0.000000000
Wiki-1M,8,k4-cap64,2,cap-width;cap64-confirmation,0.929935102,0.929719448,0.930150756,0.000158500,0.000092000,0.000225000,1.006438318,1.006162093,1.006714544,0.000000000,0.000000000,0.000000000
Wiki-1M,128,k4-cap64,2,cap-width;cap64-confirmation,0.920102812,0.919781803,0.920423821,0.000796000,0.000717000,0.000875000,1.002043511,0.999943833,1.004143189,0.000000000,0.000000000,0.000000000
OpenAI-2M,2,k4-cap64,2,cap-width;cap64-confirmation,0.963775679,0.962756170,0.964795187,0.000685500,0.000625000,0.000746000,1.006184681,1.005914127,1.006455236,0.000000000,0.000000000,0.000000000
OpenAI-2M,8,k4-cap64,2,cap-width;cap64-confirmation,0.962532860,0.962434444,0.962631277,0.000658500,0.000492000,0.000825000,1.004511482,1.003082608,1.005940357,0.000000000,0.000000000,0.000000000
OpenAI-2M,128,k4-cap64,2,cap-width;cap64-confirmation,0.957172649,0.954607630,0.959737668,0.001071000,0.000971000,0.001171000,1.000577769,1.000328002,1.000827536,0.000000000,0.000000000,0.000000000
YFCC-10M,2,k4-cap64,2,cap-width;cap64-confirmation,0.798641280,0.795975409,0.801307150,0.000090500,-0.000015000,0.000196000,0.997059292,0.993212870,1.000905715,0.000000000,0.000000000,0.000000000
YFCC-10M,8,k4-cap64,2,cap-width;cap64-confirmation,0.795748505,0.793488960,0.798008050,0.000874500,0.000834000,0.000915000,0.991150581,0.987847345,0.994453818,0.000000000,0.000000000,0.000000000
YFCC-10M,128,k4-cap64,2,cap-width;cap64-confirmation,0.786957705,0.784708857,0.789206553,0.001647500,0.001614000,0.001681000,0.989328102,0.987816659,0.990839545,0.000000000,0.000000000,0.000000000
Wiki-1M,2,k8-cap64,2,cap-width;cap64-confirmation,0.965293590,0.961755293,0.968831888,-0.000121000,-0.000258000,0.000016000,1.007372984,1.007046675,1.007699293,0.067421800,0.067330211,0.067513389
Wiki-1M,8,k8-cap64,2,cap-width;cap64-confirmation,0.966819625,0.966021382,0.967617867,0.000558000,0.000450000,0.000666000,1.008223665,1.006775338,1.009671992,0.512769051,0.512552406,0.512985697
Wiki-1M,128,k8-cap64,2,cap-width;cap64-confirmation,0.964356673,0.963561588,0.965151759,0.009025000,0.008725000,0.009325000,1.012765193,1.008916540,1.016613845,2.203811238,2.203658468,2.203964008
OpenAI-2M,2,k8-cap64,2,cap-width;cap64-confirmation,1.015389072,1.013727608,1.017050536,0.000812000,0.000741000,0.000883000,1.006199575,1.006164724,1.006234427,0.030021593,0.030009671,0.030033515
OpenAI-2M,8,k8-cap64,2,cap-width;cap64-confirmation,1.016832486,1.015223901,1.018441071,0.001999500,0.001933000,0.002066000,1.005311763,1.004515265,1.006108260,0.383475338,0.382957534,0.383993141
OpenAI-2M,128,k8-cap64,2,cap-width;cap64-confirmation,1.024391324,1.023294342,1.025488305,0.016400000,0.016200000,0.016600000,1.004030359,1.003995062,1.004065657,2.611356747,2.611341148,2.611372347
YFCC-10M,2,k8-cap64,2,cap-width;cap64-confirmation,0.815301186,0.813360178,0.817242194,0.000103000,-0.000053000,0.000259000,0.994173922,0.988488242,0.999859602,0.062598999,0.061533866,0.063664131
YFCC-10M,8,k8-cap64,2,cap-width;cap64-confirmation,0.815954686,0.813017511,0.818891862,0.001734000,0.001634000,0.001834000,0.991641775,0.989187572,0.994095977,0.764718250,0.763844811,0.765591689
YFCC-10M,128,k8-cap64,2,cap-width;cap64-confirmation,0.807020896,0.805083508,0.808958283,0.019089000,0.019051000,0.019127000,0.984054161,0.983915255,0.984193068,3.582633776,3.582275724,3.582991828
