dataset,parts,implementation,dtype,rows,queries,graph_degree,intermediate_graph_degree,itopk,scaffold_repeats,scaffold_neighbors_per_leaf,scaffold_first_repeat_neighbors_per_leaf,scaffold_seed,preopt_graph_degree_cap,quality_sample_rows,oracle_partition_build_ms_excluded,merge_api_e2e_ms_instrumented,quality_measurement_ms,merge_api_ms_excluding_quality_measurement,search_ms,recall,qps,unique_scaffold_degree_mean,preopt_candidate_rank_mean,preopt_best_candidate_rank_mean,preopt_top4_candidate_rank_mean,preopt_fraction_rank_le_16,preopt_fraction_rank_le_32,preopt_fraction_rank_le_64,preopt_fraction_rank_le_output_degree,missing_candidates
Wiki-1M,2,k4-scaffold-repeat2,float32,1000000,10000,64,128,160,2,4,4,1234,0,65536,7405.676939,442.248280,0.805965,441.442315,146.547407,0.993008,68237.304260,7.299713,50.346886,32.365128,42.003482,0.112815,0.233613,0.595756,0.595756,0
Wiki-1M,2,k4-scaffold-repeat2-cap64,float32,1000000,10000,64,128,160,2,4,4,1234,64,65536,7405.676939,412.964086,0.852285,412.111801,145.811123,0.992717,68581.873552,7.299713,50.346886,32.365128,42.003482,0.112815,0.233613,0.595756,0.595756,0
Wiki-1M,2,k4-scaffold-repeat2-cap68,float32,1000000,10000,64,128,160,2,4,4,1234,68,65536,7405.676939,446.573029,0.839645,445.733384,145.876843,0.993225,68550.976251,7.299713,50.346886,32.365128,42.003482,0.112815,0.233613,0.595756,0.595756,0
Wiki-1M,2,k4-scaffold-repeat2-cap72,float32,1000000,10000,64,128,160,2,4,4,1234,72,65536,7405.676939,450.478775,0.843885,449.634890,146.844690,0.993017,68099.159731,7.299713,50.346886,32.365128,42.003482,0.112815,0.233613,0.595756,0.595756,0
Wiki-1M,2,k4-scaffold-repeat2-k8,float32,1000000,10000,64,128,160,2,8,8,1234,0,65536,7405.676939,482.164823,0.955766,481.209057,147.891136,0.992475,67617.304664,13.956589,58.550712,32.365128,42.212552,0.063843,0.146726,0.442739,0.442739,0
Wiki-1M,2,k4-scaffold-repeat2-k8-cap64,float32,1000000,10000,64,128,160,2,8,8,1234,64,65536,7405.676939,425.530409,0.970926,424.559483,145.521961,0.992750,68718.150383,13.956589,58.550712,32.365128,42.212552,0.063843,0.146726,0.442739,0.442739,0
Wiki-1M,2,k4-scaffold-repeat2-k8-cap68,float32,1000000,10000,64,128,160,2,8,8,1234,68,65536,7405.676939,460.617761,0.981567,459.636194,145.932844,0.993208,68524.670156,13.956589,58.550712,32.365128,42.212552,0.063843,0.146726,0.442739,0.442739,0
Wiki-1M,2,k4-scaffold-repeat2-k8-cap72,float32,1000000,10000,64,128,160,2,8,8,1234,72,65536,7405.676939,470.460786,0.992606,469.468180,147.067491,0.993183,67995.992398,13.956589,58.550712,32.365128,42.212552,0.063843,0.146726,0.442739,0.442739,0
Wiki-1M,2,k4-scaffold-repeat2-k8-cap76,float32,1000000,10000,64,128,160,2,8,8,1234,76,65536,7405.676939,479.144844,0.986326,478.158518,147.170372,0.992933,67948.459083,13.956589,58.550712,32.365128,42.212552,0.063843,0.146726,0.442739,0.442739,0
OpenAI-2M,2,k4-scaffold-repeat2,float32,2321096,20000,64,128,160,2,4,4,1234,0,65536,19070.122678,1971.864940,0.785126,1971.079814,600.981368,0.959738,33278.901918,7.948624,48.586131,22.041656,36.044567,0.116668,0.248437,0.673108,0.673108,0
