dataset,parts,scaffold_neighbors_per_leaf,preopt_graph_degree_cap,retained_degree,configuration,merge_seconds,merge_slowdown_vs_k4_uncapped_x,recall,recall_delta_vs_k4_uncapped,preopt_count_rank_le_16,pareto
Wiki-1M,128,4,64,64,k4-cap64,0.364564059,0.920423821,0.930133000,0.000875000,5.390990858,True
Wiki-1M,128,4,68,68,k4-cap68,0.397816669,1.004377501,0.929817000,0.000559000,5.390990858,False
Wiki-1M,128,4,0,72,k4-uncapped,0.396082816,1.000000000,0.929258000,0.000000000,5.390990858,False
Wiki-1M,128,4,72,72,k4-cap72,0.403725994,1.019296919,0.929317000,0.000059000,5.390990858,False
Wiki-1M,128,8,64,64,k8-cap64,0.381650187,0.963561588,0.938583000,0.009325000,7.594649326,True
Wiki-1M,128,8,68,68,k8-cap68,0.415194400,1.048251485,0.938092000,0.008834000,7.594649326,False
Wiki-1M,128,8,72,72,k8-cap72,0.424257068,1.071132225,0.938042000,0.008784000,7.594649326,False
Wiki-1M,128,8,76,76,k8-cap76,0.436536279,1.102133850,0.937375000,0.008117000,7.594649326,False
Wiki-1M,128,8,0,80,k8-uncapped,0.439515263,1.109654964,0.936700000,0.007442000,7.594649326,False
OpenAI-2M,128,4,64,64,k4-cap64,1.638409105,0.954607630,0.797367000,0.001171000,6.004455880,True
OpenAI-2M,128,4,68,68,k4-cap68,1.717244678,1.000540627,0.796500000,0.000304000,6.004455880,False
OpenAI-2M,128,4,0,72,k4-uncapped,1.716316791,1.000000000,0.796196000,0.000000000,6.004455880,False
OpenAI-2M,128,4,72,72,k4-cap72,1.729095518,1.007445436,0.796212000,0.000016000,6.004455880,False
OpenAI-2M,128,8,64,64,k8-cap64,1.756297262,1.023294342,0.812796000,0.016600000,8.615828227,True
OpenAI-2M,128,8,68,68,k8-cap68,1.835576278,1.069485708,0.811829000,0.015633000,8.615828227,False
OpenAI-2M,128,8,72,72,k8-cap72,1.861425212,1.084546409,0.810712000,0.014516000,8.615828227,False
OpenAI-2M,128,8,76,76,k8-cap76,1.882561114,1.096861095,0.809946000,0.013750000,8.615828227,False
OpenAI-2M,128,8,0,80,k8-uncapped,1.889560722,1.100939367,0.809108000,0.012912000,8.615828227,False
YFCC-10M,128,4,64,64,k4-cap64,1.368678523,0.789206553,0.834703000,0.001681000,6.742611523,True
YFCC-10M,128,4,68,68,k4-cap68,1.689393010,0.974136740,0.833909000,0.000887000,6.742611523,False
YFCC-10M,128,4,0,72,k4-uncapped,1.734246272,1.000000000,0.833022000,0.000000000,6.742611523,False
YFCC-10M,128,4,72,72,k4-cap72,1.747921915,1.007885641,0.833018000,-0.000004000,6.742611523,False
YFCC-10M,128,8,64,64,k8-cap64,1.402932886,0.808958283,0.852149000,0.019127000,10.325603351,True
YFCC-10M,128,8,68,68,k8-cap68,1.729305087,0.997150817,0.851032000,0.018010000,10.325603351,False
YFCC-10M,128,8,72,72,k8-cap72,1.834052591,1.057550257,0.850097000,0.017075000,10.325603351,False
YFCC-10M,128,8,76,76,k8-cap76,1.930972479,1.113436142,0.849294000,0.016272000,10.325603351,False
YFCC-10M,128,8,0,80,k8-uncapped,1.983958695,1.143989021,0.848182000,0.015160000,10.325603351,False
