dataset,parts,implementation,dtype,rows,queries,graph_degree,intermediate_graph_degree,itopk,scaffold_repeats,scaffold_neighbors_per_leaf,scaffold_first_repeat_neighbors_per_leaf,scaffold_seed,preopt_graph_degree_cap,quality_sample_rows,oracle_partition_build_ms_excluded,merge_api_e2e_ms_instrumented,quality_measurement_ms,merge_api_ms_excluding_quality_measurement,search_ms,recall,qps,unique_scaffold_degree_mean,preopt_candidate_rank_mean,preopt_best_candidate_rank_mean,preopt_top4_candidate_rank_mean,preopt_fraction_rank_le_16,preopt_fraction_rank_le_32,preopt_fraction_rank_le_64,preopt_fraction_rank_le_output_degree,missing_candidates
Wiki-1M,128,k4-scaffold-repeat1-k8,float32,1000000,10000,64,128,160,1,8,8,1234,0,65536,95054.975853,294.634189,0.678965,293.955224,152.902353,0.857617,65401.217207,7.991196,18.373013,7.431458,12.839217,0.604755,0.822081,0.972643,0.972643,0
Wiki-1M,128,k4-scaffold-repeat2-k8,float32,1000000,10000,64,128,160,2,8,8,1234,0,65536,95054.975853,439.455606,0.730285,438.725321,153.387197,0.936658,65194.489472,15.605850,22.631191,4.689758,8.474579,0.486727,0.760706,0.950600,0.950600,0
Wiki-1M,128,k4-scaffold-repeat4-k8,float32,1000000,10000,64,128,160,4,8,8,1234,0,65536,95054.975853,722.637554,0.935046,721.702508,151.246782,0.972983,66117.109189,29.989349,30.966897,3.545197,6.606434,0.314423,0.610041,0.899147,0.899147,0
Wiki-1M,128,k4-scaffold-repeat1-k16,float32,1000000,10000,64,128,160,1,16,16,1234,0,65536,95054.975853,340.178828,0.740685,339.438143,153.607599,0.859950,65100.945950,15.945282,27.334967,7.432190,12.847479,0.381523,0.669330,0.921822,0.921822,0
Wiki-1M,128,k4-scaffold-repeat2-k16,float32,1000000,10000,64,128,160,2,16,16,1234,0,65536,95054.975853,521.913544,1.010967,520.902577,153.816560,0.937092,65012.505806,31.251755,35.627216,4.689758,8.472691,0.260667,0.524564,0.848510,0.848510,0
Wiki-1M,128,k4-scaffold-repeat4-k16,float32,1000000,10000,64,128,160,4,16,16,1234,0,65536,95054.975853,998.402090,1.448131,996.953959,152.428830,0.972392,65604.387307,60.388855,52.010894,3.545197,6.589794,0.159313,0.335377,0.660555,0.660555,0
Wiki-1M,128,k4-scaffold-repeat1-k32,float32,1000000,10000,64,128,160,1,32,32,1234,0,65536,95054.975853,419.501745,1.015247,418.486498,154.574806,0.857133,64693.595669,31.662811,41.910748,7.433655,12.879928,0.191928,0.410964,0.774581,0.774581,0
Wiki-1M,128,k4-scaffold-repeat2-k32,float32,1000000,10000,64,128,160,2,32,32,1234,0,65536,95054.975853,800.507341,1.457330,799.050011,154.026961,0.935408,64923.698650,62.294266,58.219713,4.689758,8.480495,0.130836,0.278890,0.578134,0.578134,0
Wiki-1M,128,k4-scaffold-repeat4-k32,float32,1000000,10000,64,128,160,4,32,32,1234,0,65536,95054.975853,2006.297128,2.699379,2003.597749,153.509878,0.969950,65142.387775,121.096909,90.645176,3.545197,6.583004,0.079774,0.169713,0.359144,0.359144,0
OpenAI-2M,128,k4-scaffold-repeat1-k8,float32,2321096,20000,64,128,160,1,8,8,1234,0,65536,192151.197042,1322.666706,0.769405,1321.897301,625.915431,0.689425,31953.198482,7.998474,17.132788,5.394531,11.028970,0.650230,0.830845,0.975213,0.975213,0
OpenAI-2M,128,k4-scaffold-repeat2-k8,float32,2321096,20000,64,128,160,2,8,8,1234,0,65536,192151.197042,1889.087451,0.745725,1888.341726,626.627076,0.809242,31916.910019,15.887451,21.120870,2.574158,5.892292,0.542244,0.780302,0.950446,0.950446,0
OpenAI-2M,128,k4-scaffold-repeat4-k8,float32,2321096,20000,64,128,160,4,8,8,1234,0,65536,192151.197042,2998.067498,0.955846,2997.111652,624.101419,0.882375,32046.073589,31.365997,29.420224,1.685501,4.016003,0.364373,0.642936,0.896195,0.896195,0
OpenAI-2M,128,k4-scaffold-repeat1-k16,float32,2321096,20000,64,128,160,1,16,16,1234,0,65536,192151.197042,1493.638152,0.796245,1492.841907,626.329274,0.692638,31932.085614,15.988907,27.187117,5.394531,11.030603,0.407866,0.665207,0.914054,0.914054,0
OpenAI-2M,128,k4-scaffold-repeat2-k16,float32,2321096,20000,64,128,160,2,16,16,1234,0,65536,192151.197042,2222.128763,1.002687,2221.126076,628.223127,0.809113,31835.822561,31.797485,35.143108,2.574158,5.889973,0.295172,0.539850,0.834660,0.834660,0
OpenAI-2M,128,k4-scaffold-repeat4-k16,float32,2321096,20000,64,128,160,4,16,16,1234,0,65536,192151.197042,3929.764937,1.458810,3928.306127,624.995184,0.880696,32000.246581,62.913559,51.505435,1.685501,4.008530,0.186082,0.360936,0.657923,0.657923,0
OpenAI-2M,128,k4-scaffold-repeat1-k32,float32,2321096,20000,64,128,160,1,32,32,1234,0,65536,192151.197042,1822.791559,1.003207,1821.788352,627.756643,0.685750,31859.479661,31.896683,43.310257,5.394531,11.039709,0.204399,0.399248,0.735513,0.735513,0
OpenAI-2M,128,k4-scaffold-repeat2-k32,float32,2321096,20000,64,128,160,2,32,32,1234,0,65536,192151.197042,3168.649782,1.483730,3167.166052,628.606770,0.804383,31816.392941,63.503204,59.241545,2.574158,5.893459,0.147814,0.289107,0.557927,0.557927,0
OpenAI-2M,128,k4-scaffold-repeat4-k32,float32,2321096,20000,64,128,160,4,32,32,1234,0,65536,192151.197042,7536.653229,2.271816,7534.381413,626.488355,0.876350,31923.977262,125.925842,91.638057,1.685501,4.006638,0.093130,0.183315,0.361919,0.361919,0
YFCC-10M,128,k4-scaffold-repeat1-k8,uint8,10000000,100000,64,128,160,1,8,8,1234,0,65536,52818.559588,1581.122270,0.637244,1580.485026,290.200061,0.708952,344589.865541,7.998795,12.779353,3.529236,7.760302,0.774485,0.904040,0.982692,0.982692,0
YFCC-10M,128,k4-scaffold-repeat2-k8,uint8,10000000,100000,64,128,160,2,8,8,1234,0,65536,52818.559588,1983.798617,0.610004,1983.188613,292.909398,0.848141,341402.497437,15.762451,16.673448,1.588806,3.922386,0.655126,0.868042,0.970971,0.970971,0
YFCC-10M,128,k4-scaffold-repeat4-k8,uint8,10000000,100000,64,128,160,4,8,8,1234,0,65536,52818.559588,2868.128332,0.759765,2867.368567,291.989873,0.923098,342477.631065,30.854355,24.943117,1.229599,3.055107,0.419728,0.733774,0.938123,0.938123,0
YFCC-10M,128,k4-scaffold-repeat1-k16,uint8,10000000,100000,64,128,160,1,16,16,1234,0,65536,52818.559588,1820.611984,0.616684,1819.995300,296.558584,0.712357,337201.502149,15.991318,21.648707,3.529236,7.761561,0.527114,0.778960,0.946572,0.946572,0
YFCC-10M,128,k4-scaffold-repeat2-k16,uint8,10000000,100000,64,128,160,2,16,16,1234,0,65536,52818.559588,2573.849044,0.784846,2573.064198,295.345016,0.848308,338587.057789,31.571915,29.515982,1.588806,3.917870,0.359896,0.644315,0.895087,0.895087,0
YFCC-10M,128,k4-scaffold-repeat4-k16,uint8,10000000,100000,64,128,160,4,16,16,1234,0,65536,52818.559588,5367.335546,1.200088,5366.135458,295.278935,0.921098,338662.830791,61.945969,45.896649,1.229599,3.043385,0.213988,0.413593,0.733949,0.733949,0
YFCC-10M,128,k4-scaffold-repeat1-k32,uint8,10000000,100000,64,128,160,1,32,32,1234,0,65536,52818.559588,2367.714117,0.834206,2366.879911,297.439350,0.705811,336202.993989,31.906082,36.870520,3.529236,7.769530,0.264139,0.507901,0.818618,0.818618,0
YFCC-10M,128,k4-scaffold-repeat2-k32,uint8,10000000,100000,64,128,160,2,32,32,1234,0,65536,52818.559588,5107.544694,1.221088,5106.323606,298.624998,0.841363,334868.147910,63.133530,52.708673,1.588806,3.918148,0.180207,0.349504,0.644367,0.644367,0
YFCC-10M,128,k4-scaffold-repeat4-k32,uint8,10000000,100000,64,128,160,4,32,32,1234,0,65536,52818.559588,15161.351820,2.189415,15159.162405,293.240161,0.915290,341017.409276,124.219223,85.213729,1.229599,3.033627,0.107057,0.210084,0.407961,0.407961,0
Wiki-1M,128,k4-scaffold-repeat1-k1,float32,1000000,10000,64,128,160,1,1,1,1234,0,65536,95305.739340,263.433031,0.661805,262.771226,151.958416,0.734175,65807.477225,0.999908,7.428552,7.433914,7.428552,0.870838,0.954479,0.997558,0.997558,0
Wiki-1M,128,k4-scaffold-repeat2-k1,float32,1000000,10000,64,128,160,2,1,1,1234,0,65536,95305.739340,376.193374,0.654164,375.539210,154.012110,0.864200,64929.959079,1.942368,8.103838,4.691559,8.103838,0.859908,0.950980,0.996261,0.996261,0
Wiki-1M,128,k4-scaffold-repeat4-k1,float32,1000000,10000,64,128,160,4,1,1,1234,0,65536,95305.739340,590.372342,0.642365,589.729977,155.137998,0.937442,64458.740792,3.707474,9.305429,3.545731,9.305429,0.838904,0.944027,0.994115,0.994115,0
Wiki-1M,128,k4-scaffold-repeat1-k2,float32,1000000,10000,64,128,160,1,2,2,1234,0,65536,95305.739340,270.682240,0.628524,270.053716,154.332512,0.806825,64795.161242,1.999557,9.460627,7.434006,9.460627,0.825653,0.935617,0.995307,0.995307,0
Wiki-1M,128,k4-scaffold-repeat2-k2,float32,1000000,10000,64,128,160,2,2,2,1234,0,65536,95305.739340,384.162950,0.674605,383.488345,155.232039,0.909017,64419.691092,3.885574,10.651161,4.691559,10.651161,0.802863,0.927613,0.992456,0.992456,0
Wiki-1M,128,k4-scaffold-repeat4-k2,float32,1000000,10000,64,128,160,4,2,2,1234,0,65536,95305.739340,605.479647,0.636525,604.843122,153.729868,0.960325,65049.167934,7.414719,12.893802,3.545731,7.066081,0.754021,0.910195,0.987389,0.987389,0
OpenAI-2M,128,k4-scaffold-repeat1-k1,float32,2321096,20000,64,128,160,1,1,1,1234,0,65536,191028.381239,1186.215482,0.818286,1185.397196,620.379350,0.534450,32238.339332,0.999939,5.401178,5.404877,5.401178,0.915324,0.967207,0.999100,0.999100,0
OpenAI-2M,128,k4-scaffold-repeat2-k1,float32,2321096,20000,64,128,160,2,1,1,1234,0,65536,191028.381239,1614.238656,0.727125,1613.511531,628.675248,0.695592,31812.927364,1.979950,5.918363,2.577209,5.918363,0.910356,0.965466,0.998212,0.998212,0
OpenAI-2M,128,k4-scaffold-repeat4-k1,float32,2321096,20000,64,128,160,4,1,1,1234,0,65536,191028.381239,2419.810453,0.707765,2419.102688,631.059584,0.814246,31692.728400,3.890472,7.064228,1.687378,7.064228,0.895229,0.960285,0.996490,0.996490,0
OpenAI-2M,128,k4-scaffold-repeat1-k2,float32,2321096,20000,64,128,160,1,2,2,1234,0,65536,191028.381239,1217.549860,0.762845,1216.787015,625.851229,0.617258,31956.476353,1.999817,7.446330,5.400925,7.446330,0.874760,0.949138,0.997497,0.997497,0
OpenAI-2M,128,k4-scaffold-repeat2-k2,float32,2321096,20000,64,128,160,2,2,2,1234,0,65536,191028.381239,1651.162712,0.744125,1650.418587,629.787656,0.759692,31756.735480,3.962250,8.454839,2.577026,8.454839,0.860889,0.944345,0.995171,0.995171,0
OpenAI-2M,128,k4-scaffold-repeat4-k2,float32,2321096,20000,64,128,160,4,2,2,1234,0,65536,191028.381239,2513.699585,0.763445,2512.936140,628.534767,0.856029,31820.037729,7.793121,10.637051,1.687378,4.349428,0.822654,0.930404,0.990469,0.990469,0
YFCC-10M,128,k4-scaffold-repeat1-k1,uint8,10000000,100000,64,128,160,1,1,1,1234,0,65536,53119.509878,1404.738080,0.650485,1404.087595,287.896001,0.524668,347347.652113,0.999985,3.532296,3.533249,3.532296,0.959014,0.983703,0.998474,0.998474,0
YFCC-10M,128,k4-scaffold-repeat2-k1,uint8,10000000,100000,64,128,160,2,1,1,1234,0,65536,53119.509878,1589.766166,0.597764,1589.168402,293.346398,0.715948,340893.907959,1.963943,3.974120,1.590118,3.974120,0.957299,0.983459,0.997879,0.997879,0
