dataset,parts,scaffold_neighbors_per_leaf,scaffold_first_repeat_neighbors_per_leaf,scaffold_repeats,candidate_budget,source,merge_seconds,recall,preopt_count_rank_le_16,preopt_best_candidate_rank_mean,merge_slowdown_vs_k4_same_repeats_x,recall_delta_vs_k4_same_repeats,count16_delta_vs_k4_same_repeats,merge_speedup_vs_k4_same_budget_x,recall_delta_vs_k4_same_budget
Wiki-1M,128,1,1,1,1,variant,0.262771226,0.734175000,0.870757883,7.433914000,0.949110714,-0.109075000,-2.109177878,,
Wiki-1M,128,1,1,2,2,variant,0.375539210,0.864200000,1.670257782,4.691559000,0.943102727,-0.065408000,-3.720032460,,
Wiki-1M,128,1,1,4,4,variant,0.589729977,0.937442000,3.110214768,3.545731000,0.919677451,-0.032758000,-5.320994820,0.469469872,0.094192000
Wiki-1M,128,2,2,1,2,variant,0.270053716,0.806825000,1.650940236,7.434006000,0.975414542,-0.036425000,-1.328995525,,
Wiki-1M,128,2,2,2,4,variant,0.383488345,0.909017000,3.119583598,4.691559000,0.963065625,-0.020591000,-2.270706644,0.721952728,0.065767000
Wiki-1M,128,2,2,4,8,variant,0.604843122,0.960325000,5.590853835,3.545731000,0.943246235,-0.009875000,-2.840355753,0.658345000,0.030717000
Wiki-1M,128,4,4,1,4,repeat,0.276860457,0.843250000,2.979935760,7.433350000,1.000000000,0.000000000,0.000000000,1.000000000,0.000000000
Wiki-1M,128,4,4,2,8,repeat,0.398195445,0.929608000,5.390290242,4.689407000,1.000000000,0.000000000,0.000000000,1.000000000,0.000000000
Wiki-1M,128,4,4,4,16,repeat,0.641235660,0.970200000,8.431209588,3.545425000,1.000000000,0.000000000,0.000000000,1.000000000,0.000000000
Wiki-1M,128,4,4,8,32,repeat,1.123241104,0.986183000,9.652490656,3.014847000,1.000000000,0.000000000,0.000000000,1.000000000,0.000000000
Wiki-1M,128,4,4,16,64,repeat,2.204503386,0.992650000,9.278164837,2.755798000,1.000000000,0.000000000,0.000000000,1.000000000,0.000000000
Wiki-1M,128,4,4,32,128,repeat,4.770687397,0.994042000,8.099350624,2.652863000,1.000000000,0.000000000,0.000000000,1.000000000,0.000000000
Wiki-1M,128,8,8,1,8,variant,0.293955224,0.857617000,4.832715737,7.431458000,1.061745065,0.014367000,1.852779977,1.354612582,-0.071991000
Wiki-1M,128,8,8,2,16,variant,0.438725321,0.936658000,7.595788553,4.689758000,1.101783877,0.007050000,2.205498311,1.461587990,-0.033542000
Wiki-1M,128,8,8,4,32,variant,0.721702508,0.972983000,9.429341081,3.545197000,1.125487170,0.002783000,0.998131492,1.556376889,-0.013200000
Wiki-1M,128,16,16,1,16,variant,0.339438143,0.859950000,6.083491824,7.432190000,1.226026088,0.016700000,3.103556064,1.889109027,-0.110250000
Wiki-1M,128,16,16,2,32,variant,0.520902577,0.937092000,8.146301221,4.689758000,1.308158050,0.007484000,2.756010978,2.156336239,-0.049091000
Wiki-1M,128,16,16,4,64,variant,0.996953959,0.972392000,9.620729657,3.545197000,1.554738798,0.002192000,1.189520068,2.211238910,-0.020258000
Wiki-1M,128,32,32,1,32,variant,0.418486498,0.857133000,6.076979990,7.433655000,1.511543044,0.013883000,3.097044229,2.684055780,-0.129050000
Wiki-1M,128,32,32,2,64,variant,0.799050011,0.935408000,8.150332586,4.689758000,2.006677929,0.005800000,2.760042344,2.758905395,-0.057242000
Wiki-1M,128,32,32,4,128,variant,2.003597749,0.969950000,9.660384819,3.545197000,3.124588781,-0.000250000,1.229175230,2.381060470,-0.024092000
OpenAI-2M,128,1,1,1,1,variant,1.185397196,0.534450000,0.915268165,5.404877000,0.953867010,-0.131517000,-2.270051713,,
OpenAI-2M,128,1,1,2,2,variant,1.613511531,0.695592000,1.802459362,2.577209000,0.933264813,-0.100283000,-4.201504622,,
OpenAI-2M,128,1,1,4,4,variant,2.419102688,0.814246000,3.482863358,1.687378000,0.911183407,-0.063075000,-6.495644512,0.513714427,0.148279000
OpenAI-2M,128,2,2,1,2,variant,1.216787015,0.617258000,1.749359919,5.400925000,0.979125812,-0.048709000,-1.435959959,,
OpenAI-2M,128,2,2,2,4,variant,1.650418587,0.759692000,3.411057440,2.577026000,0.954612077,-0.036183000,-2.592906544,0.752977434,0.093725000
OpenAI-2M,128,2,2,4,8,variant,2.512936140,0.856029000,6.411042163,1.687378000,0.946526878,-0.021292000,-3.567465707,0.687995709,0.060154000
OpenAI-2M,128,4,4,1,4,repeat,1.242727952,0.665967000,3.185319878,5.398636000,1.000000000,0.000000000,0.000000000,1.000000000,0.000000000
OpenAI-2M,128,4,4,2,8,repeat,1.728889281,0.795875000,6.003963984,2.576065000,1.000000000,0.000000000,0.000000000,1.000000000,0.000000000
OpenAI-2M,128,4,4,4,16,repeat,2.654902042,0.877321000,9.978507870,1.686417000,1.000000000,0.000000000,0.000000000,1.000000000,0.000000000
OpenAI-2M,128,4,4,8,32,repeat,4.561774838,0.923700000,12.461584341,1.365540000,1.000000000,0.000000000,0.000000000,1.000000000,0.000000000
OpenAI-2M,128,4,4,16,64,repeat,8.632098632,0.948342000,12.932276828,1.237457000,1.000000000,0.000000000,0.000000000,1.000000000,0.000000000
OpenAI-2M,128,4,4,32,128,repeat,18.346652108,0.960075000,12.131333708,1.183029000,1.000000000,0.000000000,0.000000000,1.000000000,0.000000000
OpenAI-2M,128,8,8,1,8,variant,1.321897301,0.689425000,5.200847749,5.394531000,1.063706098,0.023458000,2.015527871,1.307884720,-0.106450000
OpenAI-2M,128,8,8,2,16,variant,1.888341726,0.809242000,8.614874980,2.574158000,1.092228257,0.013367000,2.610910996,1.405943641,-0.068079000
OpenAI-2M,128,8,8,4,32,variant,2.997111652,0.882375000,11.428922425,1.685501000,1.128897264,0.005054000,1.450414555,1.522057023,-0.041325000
OpenAI-2M,128,16,16,1,16,variant,1.492841907,0.692638000,6.521331542,5.394531000,1.201262034,0.026671000,3.336011664,1.778421432,-0.184683000
OpenAI-2M,128,16,16,2,32,variant,2.221126076,0.809113000,9.385727242,2.574158000,1.284712735,0.013238000,3.381763259,2.053811752,-0.114587000
OpenAI-2M,128,16,16,4,64,variant,3.928306127,0.880696000,11.707080886,1.685501000,1.479642588,0.003375000,1.728573016,2.197409864,-0.067646000
OpenAI-2M,128,32,32,1,32,variant,1.821788352,0.685750000,6.519650109,5.394531000,1.465959102,0.019783000,3.334330230,2.504009224,-0.237950000
OpenAI-2M,128,32,32,2,64,variant,3.167166052,0.804383000,9.386662596,2.574158000,1.831907969,0.008508000,3.382698612,2.725496071,-0.143959000
