dataset,parts,strategy,family,scaffold_repeats,scaffold_neighbors_per_leaf,scaffold_first_repeat_neighbors_per_leaf,preopt_graph_degree_cap,candidate_budget,comparison_baseline_source,merge_seconds,recall,normalized_merge_seconds,normalized_recall,preopt_count_rank_le_16,merge_slowdown_vs_k4_r2_x,extra_merge_seconds_vs_k4_r2,recall_delta_vs_k4_r2,top16_delta_vs_k4_r2,recall_gain_per_extra_second,pareto
Wiki-1M,128,k4-r1 + unique cap64,capped-k4,1,4,4,64,4,cap64-repeat,0.250669126,0.843458000,0.250669126,0.843458000,2.979859792,0.630862131,-0.146674626,-0.086125000,-2.411434667,,True
Wiki-1M,128,k8-r1 + unique cap64,capped-k8,1,8,8,64,8,cap64-repeat,0.259825867,0.857533000,0.259825867,0.857533000,4.831956573,0.653907016,-0.137517885,-0.072050000,-0.559337885,,True
Wiki-1M,128,k1-r1,uniform,1,1,1,0,1,variant,0.262771226,0.734175000,0.262771226,0.734175000,0.870757883,0.661319637,-0.134572526,-0.195408000,-4.520536576,,False
Wiki-1M,128,k2-r1,uniform,1,2,2,0,2,variant,0.270053716,0.806825000,0.270053716,0.806825000,1.650940236,0.679647571,-0.127290036,-0.122758000,-3.740354223,,False
Wiki-1M,128,k4-r1,uniform,1,4,4,0,4,cap64-repeat,0.274230605,0.842983000,0.274230605,0.842983000,2.979859792,0.690159600,-0.123113147,-0.086600000,-2.411434667,,False
Wiki-1M,128,k8-r1,uniform,1,8,8,0,8,cap64-repeat,0.296641475,0.856583000,0.296641475,0.856583000,4.831956573,0.746561318,-0.100702277,-0.073000000,-0.559337885,,False
Wiki-1M,128,k16-r1,uniform,1,16,16,0,16,variant,0.339438143,0.859950000,0.339438143,0.859950000,6.083491824,0.854268228,-0.057905609,-0.069633000,0.692197366,,True
Wiki-1M,128,k4-r2 + unique cap64,capped-k4,2,4,4,64,8,cap64-repeat,0.362789520,0.930050000,0.362789520,0.930050000,5.391294458,0.913036931,-0.034554232,0.000467000,0.000000000,,True
Wiki-1M,128,k1-r2,uniform,2,1,1,0,2,variant,0.375539210,0.864200000,0.375539210,0.864200000,1.670257782,0.945124236,-0.021804542,-0.065383000,-3.721036676,,False
Wiki-1M,128,k8-r2 + unique cap64,capped-k8,2,8,8,64,16,cap64-repeat,0.381114762,0.938600000,0.381114762,0.938600000,7.595289166,0.959156297,-0.016228990,0.009017000,2.203994707,,True
Wiki-1M,128,k2-r2,uniform,2,2,2,0,4,variant,0.383488345,0.909017000,0.383488345,0.909017000,3.119583598,0.965129924,-0.013855407,-0.020566000,-2.271710860,,False
Wiki-1M,128,k4-r2,uniform,2,4,4,0,8,cap64-repeat,0.397343752,0.929583000,0.397343752,0.929583000,5.391294458,1.000000000,0.000000000,0.000000000,0.000000000,,False
Wiki-1M,128,k32-r1,uniform,1,32,32,0,32,variant,0.418486498,0.857133000,0.418486498,0.857133000,6.076979990,1.053210214,0.021142746,-0.072450000,0.685685531,-3.426707203,False
Wiki-1M,128,k4+k8 mixed (wide second),mixed-second,2,8,4,0,12,mixed,0.421742066,0.933517000,0.422468468,0.933500000,6.730377172,1.063231688,0.025124716,0.003917000,1.339082713,0.155902260,False
Wiki-1M,128,k8+k4 mixed (wide first),mixed-first,2,4,8,0,12,mixed,0.422440031,0.934058000,0.423167635,0.934041000,6.760966751,1.064991290,0.025823883,0.004458000,1.369672293,0.172630892,False
Wiki-1M,128,k8-r2,uniform,2,8,8,0,16,cap64-repeat,0.436918058,0.937075000,0.436918058,0.937075000,7.595289166,1.099597152,0.039574306,0.007492000,2.203994707,0.189314754,False
Wiki-1M,128,k16-r2,uniform,2,16,16,0,32,variant,0.520902577,0.937092000,0.520902577,0.937092000,8.146301221,1.310962043,0.123558825,0.007509000,2.755006762,0.060772672,False
Wiki-1M,128,k4-r4 + unique cap64,capped-k4,4,4,4,64,16,cap64-repeat,0.583457764,0.971225000,0.583457764,0.971225000,8.431462707,1.468395466,0.186114012,0.041642000,3.040168249,0.223744572,True
Wiki-1M,128,k1-r4,uniform,4,1,1,0,4,variant,0.589729977,0.937442000,0.589729977,0.937442000,3.110214768,1.484180823,0.192386225,0.007859000,-2.281079690,0.040850118,False
