dataset,parts,implementation,dtype,rows,queries,graph_degree,intermediate_graph_degree,itopk,scaffold_repeats,scaffold_neighbors_per_leaf,scaffold_first_repeat_neighbors_per_leaf,scaffold_seed,preopt_graph_degree_cap,quality_sample_rows,oracle_partition_build_ms_excluded,merge_api_e2e_ms_instrumented,quality_measurement_ms,merge_api_ms_excluding_quality_measurement,search_ms,recall,qps,unique_scaffold_degree_mean,preopt_candidate_rank_mean,preopt_best_candidate_rank_mean,preopt_top4_candidate_rank_mean,preopt_fraction_rank_le_16,preopt_fraction_rank_le_32,preopt_fraction_rank_le_64,preopt_fraction_rank_le_output_degree,missing_candidates
Wiki-1M,128,k4-scaffold-repeat2-cap72,float32,1000000,10000,64,128,160,2,4,4,1234,72,65536,95407.552827,393.676946,0.689925,392.987021,153.498271,0.929308,65147.313614,7.784622,15.063733,4.690414,8.486500,0.692426,0.876542,0.982216,0.982216,0
Wiki-1M,128,k4-scaffold-repeat2-k8-cap72,float32,1000000,10000,64,128,160,2,8,8,1234,72,65536,95407.552827,433.437304,0.723166,432.714138,151.835899,0.937333,65860.577544,15.605850,22.637670,4.690414,8.478268,0.486635,0.760541,0.950603,0.950603,0
OpenAI-2M,128,k4-scaffold-repeat2-cap72,float32,2321096,20000,64,128,160,2,4,4,1234,72,65536,192724.135622,1713.688511,0.760166,1712.928345,627.496198,0.795742,31872.703076,7.933807,13.035351,2.574692,5.894501,0.756607,0.895696,0.985254,0.985254,0
OpenAI-2M,128,k4-scaffold-repeat2-k8-cap72,float32,2321096,20000,64,128,160,2,8,8,1234,72,65536,192724.135622,1913.564126,0.763126,1912.801000,625.613624,0.810871,31968.613267,15.887451,21.117341,2.574692,5.891827,0.542212,0.780498,0.950563,0.950563,0
YFCC-10M,128,k4-scaffold-repeat2-cap72,uint8,10000000,100000,64,128,160,2,4,4,1234,72,65536,53201.897852,1748.744032,0.680805,1748.063227,286.689812,0.833386,348809.046622,7.870667,9.673585,1.590073,3.927635,0.856752,0.945990,0.990165,0.990165,0
YFCC-10M,128,k4-scaffold-repeat2-k8-cap72,uint8,10000000,100000,64,128,160,2,8,8,1234,72,65536,53201.897852,2220.417358,0.613444,2219.803914,288.868628,0.850165,346178.124957,15.762451,16.673487,1.590073,3.923607,0.655114,0.867948,0.970890,0.970890,0
Wiki-1M,8,k4-scaffold-repeat2-cap72,float32,1000000,10000,64,128,160,2,4,4,1234,72,65536,11622.535288,434.713551,0.716725,433.996826,150.363275,0.984525,66505.601185,7.770676,30.971352,12.464462,20.064147,0.357600,0.585292,0.864387,0.864387,0
Wiki-1M,8,k4-scaffold-repeat2-k8-cap72,float32,1000000,10000,64,128,160,2,8,8,1234,72,65536,11622.535288,474.976188,0.914726,474.061462,149.562989,0.985125,66861.461294,15.456512,41.003992,12.464462,20.082551,0.212985,0.417335,0.750089,0.750089,0
OpenAI-2M,8,k4-scaffold-repeat2-cap72,float32,2321096,20000,64,128,160,2,4,4,1234,72,65536,43758.456524,1956.196077,0.739325,1955.456752,612.716171,0.936388,32641.540972,7.940521,31.567790,9.168335,18.234600,0.336648,0.560157,0.885349,0.885349,0
OpenAI-2M,8,k4-scaffold-repeat2-k8-cap72,float32,2321096,20000,64,128,160,2,8,8,1234,72,65536,43758.456524,2147.133356,0.868206,2146.265150,611.650684,0.938025,32698.402083,15.896149,43.114742,9.168335,18.231686,0.192303,0.373383,0.729281,0.729281,0
YFCC-10M,8,k4-scaffold-repeat2-cap72,uint8,10000000,100000,64,128,160,2,4,4,1234,72,65536,21748.720951,1855.586186,0.671805,1854.914381,290.016679,0.965618,344807.755005,7.874084,24.871284,5.668854,12.468807,0.468684,0.690851,0.926631,0.926631,0
YFCC-10M,8,k4-scaffold-repeat2-k8-cap72,uint8,10000000,100000,64,128,160,2,8,8,1234,72,65536,21748.720951,2325.193509,0.733964,2324.459545,292.237774,0.966732,342187.112334,15.771133,35.952019,5.668854,12.463757,0.282381,0.501701,0.818401,0.818401,0
Wiki-1M,2,k4-scaffold-repeat2-cap72,float32,1000000,10000,64,128,160,2,4,4,1234,72,65536,7405.585515,445.644448,0.833685,444.810763,146.703311,0.992600,68164.787365,7.299713,50.354227,32.370316,42.009399,0.112756,0.233596,0.595371,0.595371,0
Wiki-1M,2,k4-scaffold-repeat2-k8-cap72,float32,1000000,10000,64,128,160,2,8,8,1234,72,65536,7405.585515,486.386392,0.982686,485.403706,147.350155,0.992392,67865.554671,13.956589,58.563418,32.370316,42.218485,0.063800,0.146584,0.442145,0.442145,0
OpenAI-2M,2,k4-scaffold-repeat2-cap72,float32,2321096,20000,64,128,160,2,4,4,1234,72,65536,19058.106153,1981.425281,0.814205,1980.611076,601.131456,0.959358,33270.592980,7.948624,48.593138,22.040512,36.048115,0.116663,0.248537,0.673329,0.673329,0
OpenAI-2M,2,k4-scaffold-repeat2-k8-cap72,float32,2321096,20000,64,128,160,2,8,8,1234,72,65536,19058.106153,2166.496681,0.922566,2165.574115,602.255903,0.959638,33208.474837,15.897308,58.889962,22.040512,36.047222,0.060201,0.137933,0.452175,0.452175,0
YFCC-10M,2,k4-scaffold-repeat2-cap72,uint8,10000000,100000,64,128,160,2,4,4,1234,72,65536,21902.309866,1858.385684,0.747165,1857.638519,288.753751,0.985440,346315.847513,7.895157,43.494072,17.193298,30.069630,0.164571,0.333957,0.754546,0.754546,0
YFCC-10M,2,k4-scaffold-repeat2-k8-cap72,uint8,10000000,100000,64,128,160,2,8,8,1234,72,65536,21902.309866,2336.089220,0.839606,2335.249614,292.235654,0.985383,342189.594703,15.805252,54.562956,17.193298,30.065880,0.086140,0.192487,0.548490,0.548490,0
