dataset,parts,implementation,dtype,rows,queries,graph_degree,intermediate_graph_degree,itopk,scaffold_repeats,scaffold_neighbors_per_leaf,scaffold_first_repeat_neighbors_per_leaf,scaffold_seed,preopt_graph_degree_cap,quality_sample_rows,oracle_partition_build_ms_excluded,merge_api_e2e_ms_instrumented,quality_measurement_ms,merge_api_ms_excluding_quality_measurement,search_ms,recall,qps,unique_scaffold_degree_mean,preopt_candidate_rank_mean,preopt_best_candidate_rank_mean,preopt_top4_candidate_rank_mean,preopt_fraction_rank_le_16,preopt_fraction_rank_le_32,preopt_fraction_rank_le_64,preopt_fraction_rank_le_output_degree,missing_candidates
Wiki-1M,128,k4-scaffold-repeat2-cap72,float32,1000000,10000,64,128,160,2,4,4,1234,72,65536,94532.308268,394.658639,0.680045,393.978594,153.540986,0.928958,65129.189674,7.784622,15.064558,4.690353,8.486092,0.692526,0.876840,0.982269,0.982269,0
Wiki-1M,128,k4-scaffold-repeat2-k8-cap72,float32,1000000,10000,64,128,160,2,8,8,1234,72,65536,94532.308268,421.603859,0.707205,420.896654,152.446420,0.937258,65596.817557,15.605850,22.639116,4.690353,8.477863,0.486701,0.760621,0.950358,0.950358,0
OpenAI-2M,128,k4-scaffold-repeat2-cap72,float32,2321096,20000,64,128,160,2,4,4,1234,72,65536,191697.478106,1715.743025,0.782685,1714.960340,627.473244,0.796733,31873.869031,7.933807,13.040302,2.576126,5.897839,0.756734,0.895827,0.985116,0.985116,0
OpenAI-2M,128,k4-scaffold-repeat2-k8-cap72,float32,2321096,20000,64,128,160,2,8,8,1234,72,65536,191697.478106,1852.578933,0.740885,1851.838048,625.388950,0.810987,31980.098145,15.887451,21.123732,2.576126,5.895164,0.542296,0.780405,0.950345,0.950345,0
YFCC-10M,128,k4-scaffold-repeat2-cap72,uint8,10000000,100000,64,128,160,2,4,4,1234,72,65536,53576.157250,1739.095044,0.657164,1738.437880,287.070382,0.833424,348346.629504,7.870667,9.674461,1.589828,3.927383,0.856764,0.945934,0.990186,0.990186,0
YFCC-10M,128,k4-scaffold-repeat2-k8-cap72,uint8,10000000,100000,64,128,160,2,8,8,1234,72,65536,53576.157250,1840.324515,0.618484,1839.706031,289.166276,0.850348,345821.792857,15.762451,16.673965,1.589828,3.923351,0.655118,0.867845,0.970784,0.970784,0
Wiki-1M,8,k4-scaffold-repeat2-cap72,float32,1000000,10000,64,128,160,2,4,4,1234,72,65536,11536.459844,433.684554,0.707805,432.976749,149.869833,0.984967,66724.568913,7.770676,30.968012,12.463882,20.068104,0.357535,0.585525,0.864699,0.864699,0
Wiki-1M,8,k4-scaffold-repeat2-k8-cap72,float32,1000000,10000,64,128,160,2,8,8,1234,72,65536,11536.459844,463.200989,0.913086,462.287903,149.412510,0.985525,66928.800005,15.456512,40.997569,12.463882,20.086466,0.212925,0.417404,0.750459,0.750459,0
OpenAI-2M,8,k4-scaffold-repeat2-cap72,float32,2321096,20000,64,128,160,2,4,4,1234,72,65536,43493.264801,1961.012434,0.751645,1960.260789,612.758420,0.936217,32639.290375,7.940521,31.584890,9.179138,18.254993,0.336334,0.560264,0.884786,0.884786,0
OpenAI-2M,8,k4-scaffold-repeat2-k8-cap72,float32,2321096,20000,64,128,160,2,8,8,1234,72,65536,43493.264801,2088.031356,0.845246,2087.186110,611.889975,0.937208,32685.614763,15.896149,43.129993,9.179138,18.252094,0.192134,0.373278,0.728984,0.728984,0
YFCC-10M,8,k4-scaffold-repeat2-cap72,uint8,10000000,100000,64,128,160,2,4,4,1234,72,65536,21730.918556,1846.367874,0.645724,1845.722150,289.798080,0.965479,345067.848621,7.874084,24.870621,5.666611,12.465221,0.468529,0.691097,0.926596,0.926596,0
YFCC-10M,8,k4-scaffold-repeat2-k8-cap72,uint8,10000000,100000,64,128,160,2,8,8,1234,72,65536,21730.918556,1938.409084,0.734165,1937.674919,292.882700,0.966449,341433.618305,15.771133,35.952831,5.666611,12.460175,0.282386,0.501769,0.818320,0.818320,0
Wiki-1M,2,k4-scaffold-repeat2-cap72,float32,1000000,10000,64,128,160,2,4,4,1234,72,65536,7390.900255,446.608360,0.837365,445.770995,147.050654,0.992967,68003.777800,7.299713,50.354609,32.377213,42.013829,0.113043,0.233617,0.595676,0.595676,0
Wiki-1M,2,k4-scaffold-repeat2-k8-cap72,float32,1000000,10000,64,128,160,2,8,8,1234,72,65536,7390.900255,472.586492,0.991967,471.594525,147.626978,0.993008,67738.296451,13.956589,58.558252,32.377213,42.222919,0.063954,0.146624,0.442400,0.442400,0
