dataset,parts,implementation,dtype,rows,queries,graph_degree,intermediate_graph_degree,itopk,scaffold_repeats,scaffold_neighbors_per_leaf,scaffold_first_repeat_neighbors_per_leaf,scaffold_seed,preopt_graph_degree_cap,quality_sample_rows,oracle_partition_build_ms_excluded,merge_api_e2e_ms_instrumented,quality_measurement_ms,merge_api_ms_excluding_quality_measurement,search_ms,recall,qps,unique_scaffold_degree_mean,preopt_candidate_rank_mean,preopt_best_candidate_rank_mean,preopt_top4_candidate_rank_mean,preopt_fraction_rank_le_16,preopt_fraction_rank_le_32,preopt_fraction_rank_le_64,preopt_fraction_rank_le_output_degree,missing_candidates
Wiki-1M,8,k4-scaffold-repeat2,float32,1000000,10000,64,128,160,2,4,4,1234,0,65536,11571.213263,433.330566,0.707451,432.623115,149.228769,0.984942,67011.207470,7.770676,30.967060,12.456833,20.061562,0.357643,0.585329,0.864917,0.864917,0
Wiki-1M,8,k4-scaffold-repeat2-k8,float32,1000000,10000,64,128,160,2,8,8,1234,0,65536,11571.213263,474.745001,0.896453,473.848548,150.306745,0.985100,66530.613779,15.456512,40.999265,12.456833,20.079950,0.212975,0.417528,0.750410,0.750410,0
OpenAI-2M,8,k4-scaffold-repeat2,float32,2321096,20000,64,128,160,2,4,4,1234,0,65536,43908.842516,1955.081907,0.744645,1954.337262,612.318910,0.936063,32662.718190,7.940521,31.570101,9.170319,18.242813,0.336488,0.560266,0.885013,0.885013,0
OpenAI-2M,8,k4-scaffold-repeat2-k8,float32,2321096,20000,64,128,160,2,8,8,1234,0,65536,43908.842516,2123.515191,0.859766,2122.655425,615.650573,0.936388,32485.960181,15.896149,43.118128,9.170319,18.239880,0.192228,0.373433,0.728829,0.728829,0
YFCC-10M,8,k4-scaffold-repeat2,uint8,10000000,100000,64,128,160,2,4,4,1234,0,65536,21654.740328,1848.356810,0.639284,1847.717526,290.185605,0.965341,344607.031765,7.874084,24.868691,5.666565,12.464409,0.468896,0.690992,0.926385,0.926385,0
YFCC-10M,8,k4-scaffold-repeat2-k8,uint8,10000000,100000,64,128,160,2,8,8,1234,0,65536,21654.740328,2082.071545,0.739005,2081.332540,295.331601,0.965251,338602.437604,15.771133,35.949379,5.666565,12.459393,0.282591,0.501794,0.818480,0.818480,0
Wiki-1M,2,k4-scaffold-repeat2,float32,1000000,10000,64,128,160,2,4,4,1234,0,65536,7422.420520,446.588325,0.848686,445.739639,146.876895,0.992775,68084.227952,7.299713,50.344296,32.360886,41.999114,0.112838,0.233607,0.595787,0.595787,0
Wiki-1M,2,k4-scaffold-repeat2-k8,float32,1000000,10000,64,128,160,2,8,8,1234,0,65536,7422.420520,488.315454,1.003247,487.312207,148.531267,0.992183,67325.891726,13.956589,58.550743,32.360886,42.208196,0.063811,0.146592,0.442582,0.442582,0
OpenAI-2M,2,k4-scaffold-repeat2,float32,2321096,20000,64,128,160,2,4,4,1234,0,65536,18828.239600,1980.033000,0.854766,1979.178234,601.107033,0.959137,33271.944765,7.948624,48.598382,22.028091,36.043526,0.116732,0.248679,0.672768,0.672768,0
OpenAI-2M,2,k4-scaffold-repeat2-k8,float32,2321096,20000,64,128,160,2,8,8,1234,0,65536,18828.239600,2140.499028,0.931047,2139.567981,607.368156,0.957079,32928.957178,15.897308,58.899966,22.028091,36.042686,0.060220,0.138080,0.451618,0.451618,0
YFCC-10M,2,k4-scaffold-repeat2,uint8,10000000,100000,64,128,160,2,4,4,1234,0,65536,21972.500483,1869.200434,0.724165,1868.476269,289.140278,0.985234,345852.887366,7.895157,43.488071,17.175705,30.052803,0.164662,0.333899,0.754382,0.754382,0
YFCC-10M,2,k4-scaffold-repeat2-k8,uint8,10000000,100000,64,128,160,2,8,8,1234,0,65536,21972.500483,2104.822221,0.827006,2103.995215,292.378300,0.984395,342022.646688,15.805252,54.557364,17.175705,30.049171,0.086190,0.192660,0.548580,0.548580,0
