dataset,parts,implementation,dtype,rows,queries,graph_degree,intermediate_graph_degree,itopk,scaffold_repeats,scaffold_neighbors_per_leaf,scaffold_first_repeat_neighbors_per_leaf,scaffold_seed,preopt_graph_degree_cap,quality_sample_rows,oracle_partition_build_ms_excluded,merge_api_e2e_ms_instrumented,quality_measurement_ms,merge_api_ms_excluding_quality_measurement,search_ms,recall,qps,unique_scaffold_degree_mean,preopt_candidate_rank_mean,preopt_best_candidate_rank_mean,preopt_top4_candidate_rank_mean,preopt_fraction_rank_le_16,preopt_fraction_rank_le_32,preopt_fraction_rank_le_64,preopt_fraction_rank_le_output_degree,missing_candidates
Wiki-1M,128,k4-scaffold-repeat2,float32,1000000,10000,64,128,160,2,4,4,1234,0,65536,94452.740609,397.350234,0.689684,396.660550,153.999679,0.929600,64935.200287,7.784622,15.061818,4.691116,8.486523,0.692487,0.876654,0.982353,0.982353,0
Wiki-1M,128,k4-scaffold-repeat2-first-k8,float32,1000000,10000,64,128,160,2,4,8,1234,0,65536,94452.740609,423.156035,0.716004,422.440031,153.951959,0.934058,64955.328045,11.724457,19.401700,4.691116,8.467068,0.576655,0.812612,0.966097,0.966097,0
Wiki-1M,128,k4-scaffold-repeat2-k8-first-k4,float32,1000000,10000,64,128,160,2,8,4,1234,0,65536,94452.740609,422.449710,0.707644,421.742066,154.085599,0.933517,64898.991631,11.724640,19.480118,4.691116,8.494308,0.574037,0.811349,0.965772,0.965772,0
Wiki-1M,128,k4-scaffold-repeat2-k8,float32,1000000,10000,64,128,160,2,8,8,1234,0,65536,94452.740609,438.725932,0.729125,437.996807,153.567397,0.936808,65117.988553,15.605850,22.633946,4.691116,8.478294,0.486667,0.760553,0.950600,0.950600,0
OpenAI-2M,128,k4-scaffold-repeat2,float32,2321096,20000,64,128,160,2,4,4,1234,0,65536,191399.979671,1716.384328,0.752565,1715.631763,627.704739,0.796575,31862.114076,7.933807,13.037490,2.575836,5.896084,0.756730,0.895755,0.985131,0.985131,0
OpenAI-2M,128,k4-scaffold-repeat2-first-k8,float32,2321096,20000,64,128,160,2,4,8,1234,0,65536,191399.979671,1813.002159,0.710524,1812.291635,627.636058,0.804425,31865.600685,11.916977,17.792077,2.575836,5.891243,0.633924,0.829669,0.967592,0.967592,0
OpenAI-2M,128,k4-scaffold-repeat2-k8-first-k4,float32,2321096,20000,64,128,160,2,8,4,1234,0,65536,191399.979671,1808.801131,0.680285,1808.120846,628.817586,0.803629,31805.726248,11.916718,17.726145,2.575836,5.897804,0.636328,0.830691,0.967904,0.967904,0
OpenAI-2M,128,k4-scaffold-repeat2-k8,float32,2321096,20000,64,128,160,2,8,8,1234,0,65536,191399.979671,1893.010201,0.769845,1892.240356,627.245256,0.809967,31885.454388,15.887451,21.120103,2.575836,5.893414,0.542288,0.780309,0.950527,0.950527,0
YFCC-10M,128,k4-scaffold-repeat2,uint8,10000000,100000,64,128,160,2,4,4,1234,0,65536,52994.380202,1751.192755,0.682045,1750.510710,289.121408,0.833298,345875.460042,7.870667,9.676227,1.589264,3.927551,0.856630,0.945816,0.990192,0.990192,0
YFCC-10M,128,k4-scaffold-repeat2-first-k8,uint8,10000000,100000,64,128,160,2,4,8,1234,0,65536,52994.380202,1865.146699,0.629324,1864.517375,292.681591,0.841371,341668.226069,11.841125,13.752133,1.589264,3.915260,0.751042,0.902117,0.979819,0.979819,0
YFCC-10M,128,k4-scaffold-repeat2-k8-first-k4,uint8,10000000,100000,64,128,160,2,8,4,1234,0,65536,52994.380202,1855.261875,0.620244,1854.641631,294.291281,0.841773,339799.397591,11.839157,13.585827,1.589264,3.931721,0.754978,0.905541,0.981076,0.981076,0
YFCC-10M,128,k4-scaffold-repeat2-k8,uint8,10000000,100000,64,128,160,2,8,8,1234,0,65536,52994.380202,1987.565778,0.621084,1986.944694,293.858999,0.848228,340299.260327,15.762451,16.675254,1.589264,3.923519,0.655121,0.868093,0.970903,0.970903,0
Wiki-1M,8,k4-scaffold-repeat2,float32,1000000,10000,64,128,160,2,4,4,1234,0,65536,11664.995450,435.398243,0.723685,434.674558,149.698298,0.984683,66801.026689,7.770676,30.974253,12.459534,20.065832,0.357565,0.584952,0.864684,0.864684,0
Wiki-1M,8,k4-scaffold-repeat2-first-k8,float32,1000000,10000,64,128,160,2,4,8,1234,0,65536,11664.995450,461.992097,0.858206,461.133891,150.023179,0.984792,66656.366481,11.628433,36.917128,12.459534,20.068367,0.263656,0.479681,0.801882,0.801882,0
Wiki-1M,8,k4-scaffold-repeat2-k8-first-k4,float32,1000000,10000,64,128,160,2,8,4,1234,0,65536,11664.995450,461.742136,0.850926,460.891210,149.908338,0.984792,66707.430243,11.637039,37.043858,12.459534,20.090731,0.262641,0.478574,0.799477,0.799477,0
Wiki-1M,8,k4-scaffold-repeat2-k8,float32,1000000,10000,64,128,160,2,8,8,1234,0,65536,11664.995450,478.242762,0.906486,477.336276,150.187301,0.984775,66583.525594,15.456512,41.006375,12.459534,20.084212,0.212911,0.417197,0.750548,0.750548,0
OpenAI-2M,8,k4-scaffold-repeat2,float32,2321096,20000,64,128,160,2,4,4,1234,0,65536,43486.351436,1956.580816,0.722965,1955.857851,612.676000,0.936396,32643.681163,7.940521,31.576272,9.178452,18.246090,0.336359,0.560074,0.884825,0.884825,0
OpenAI-2M,8,k4-scaffold-repeat2-first-k8,float32,2321096,20000,64,128,160,2,4,8,1234,0,65536,43486.351436,2049.151220,0.787365,2048.363855,612.937482,0.936458,32629.755215,11.924179,38.662996,9.178452,18.241646,0.240251,0.437596,0.794666,0.794666,0
OpenAI-2M,8,k4-scaffold-repeat2-k8-first-k4,float32,2321096,20000,64,128,160,2,8,4,1234,0,65536,43486.351436,2050.223348,0.800485,2049.422863,613.950049,0.936417,32575.940066,11.924164,38.550948,9.178452,18.247524,0.241456,0.439950,0.796122,0.796122,0
OpenAI-2M,8,k4-scaffold-repeat2-k8,float32,2321096,20000,64,128,160,2,8,8,1234,0,65536,43486.351436,2124.103830,0.870766,2123.233064,614.559133,0.936500,32543.654347,15.896149,43.122412,9.178452,18.243160,0.192179,0.373184,0.729076,0.729076,0
YFCC-10M,8,k4-scaffold-repeat2,uint8,10000000,100000,64,128,160,2,4,4,1234,0,65536,21839.020844,1852.672698,0.651124,1852.021574,291.675944,0.965597,342846.237604,7.874084,24.862504,5.667358,12.460838,0.468899,0.691099,0.926842,0.926842,0
YFCC-10M,8,k4-scaffold-repeat2-first-k8,uint8,10000000,100000,64,128,160,2,4,8,1234,0,65536,21839.020844,1958.786110,0.673925,1958.112185,294.905205,0.965408,339092.014331,11.845169,31.681679,5.667358,12.448483,0.347273,0.569407,0.865229,0.865229,0
YFCC-10M,8,k4-scaffold-repeat2-k8-first-k4,uint8,10000000,100000,64,128,160,2,8,4,1234,0,65536,21839.020844,1969.978823,0.677124,1969.301699,294.933285,0.965409,339059.730067,11.843475,31.436030,5.667358,12.464439,0.349496,0.574224,0.869205,0.869205,0
YFCC-10M,8,k4-scaffold-repeat2-k8,uint8,10000000,100000,64,128,160,2,8,8,1234,0,65536,21839.020844,2088.746359,0.763085,2087.983274,294.090960,0.965339,340030.853039,15.771133,35.946973,5.667358,12.455788,0.282636,0.501792,0.818551,0.818551,0
Wiki-1M,2,k4-scaffold-repeat2,float32,1000000,10000,64,128,160,2,4,4,1234,0,65536,7392.328430,446.060273,0.854646,445.205627,147.536083,0.992700,67780.029107,7.299713,50.354737,32.375534,42.016467,0.112873,0.233347,0.595139,0.595139,0
Wiki-1M,2,k4-scaffold-repeat2-first-k8,float32,1000000,10000,64,128,160,2,4,8,1234,0,65536,7392.328430,473.533452,0.959287,472.574165,148.372048,0.992325,67398.139574,10.612045,55.067193,32.375534,42.141392,0.081083,0.177613,0.503269,0.503269,0
Wiki-1M,2,k4-scaffold-repeat2-k8-first-k4,float32,1000000,10000,64,128,160,2,8,4,1234,0,65536,7392.328430,472.539565,0.956726,471.582839,148.077207,0.992392,67532.338046,10.659012,55.154679,32.375534,42.152687,0.080597,0.176722,0.501080,0.501080,0
Wiki-1M,2,k4-scaffold-repeat2-k8,float32,1000000,10000,64,128,160,2,8,8,1234,0,65536,7392.328430,489.072794,1.010007,488.062787,149.319895,0.992075,66970.312295,13.956589,58.559330,32.375534,42.225538,0.063827,0.146457,0.442212,0.442212,0
OpenAI-2M,2,k4-scaffold-repeat2,float32,2321096,20000,64,128,160,2,4,4,1234,0,65536,18965.871303,1976.607371,0.828925,1975.778446,601.139489,0.959900,33270.148386,7.948624,48.582555,22.027130,36.037018,0.116547,0.248921,0.673185,0.673185,0
OpenAI-2M,2,k4-scaffold-repeat2-first-k8,float32,2321096,20000,64,128,160,2,4,8,1234,0,65536,18965.871303,2068.622379,0.869726,2067.752653,604.706032,0.958688,33073.921776,11.928024,54.822190,22.027130,36.033611,0.078889,0.174688,0.531156,0.531156,0
OpenAI-2M,2,k4-scaffold-repeat2-k8-first-k4,float32,2321096,20000,64,128,160,2,8,4,1234,0,65536,18965.871303,2066.524565,0.863166,2065.661399,604.820314,0.958771,33067.672393,11.927048,54.741846,22.027130,36.040627,0.078973,0.175773,0.533800,0.533800,0
OpenAI-2M,2,k4-scaffold-repeat2-k8,float32,2321096,20000,64,128,160,2,8,8,1234,0,65536,18965.871303,2140.961017,0.949566,2140.011451,607.381331,0.957321,32928.242900,15.897308,58.879891,22.027130,36.036179,0.060147,0.138212,0.452299,0.452299,0
