dataset,parts,baseline_source,variant_source,baseline_configuration,variant_configuration,baseline_merge_seconds,variant_merge_seconds,merge_slowdown_x,baseline_recall,variant_recall,recall_delta,baseline_count_rank_le_16,variant_count_rank_le_16,count_rank_le_16_delta
Wiki-1M,2,mixed,mixed,k4-r2,k8+1xk4,0.445205627,0.472574165,1.061473927,0.992700000,0.992325000,-0.000375000,0.823940505,0.860456445,0.036515939
Wiki-1M,8,mixed,mixed,k4-r2,k8+1xk4,0.434674558,0.461133891,1.060871594,0.984683000,0.984792000,0.000109000,2.778521764,3.065906131,0.287384367
Wiki-1M,128,mixed,mixed,k4-r2,k8+1xk4,0.396660550,0.422440031,1.064991290,0.929600000,0.934058000,0.004458000,5.390749535,6.760966751,1.370217216
OpenAI-2M,2,mixed,mixed,k4-r2,k8+1xk4,1.975778446,2.067752653,1.046550871,0.959900000,0.958688000,-0.001212000,0.926388281,0.940989885,0.014601604
OpenAI-2M,8,mixed,mixed,k4-r2,k8+1xk4,1.955857851,2.048363855,1.047296895,0.936396000,0.936458000,0.000062000,2.670865703,2.864795929,0.193930226
OpenAI-2M,128,mixed,mixed,k4-r2,k8+1xk4,1.715631763,1.812291635,1.056340687,0.796575000,0.804425000,0.007850000,6.003749771,7.554457728,1.550707957
YFCC-10M,2,mixed,mixed,k4-r2,k8+1xk4,1.872811685,1.983961580,1.059349211,0.985179000,0.984803000,-0.000376000,1.301911389,1.338196495,0.036285106
YFCC-10M,8,mixed,mixed,k4-r2,k8+1xk4,1.852021574,1.958112185,1.057283680,0.965597000,0.965408000,-0.000189000,3.692150114,4.113507374,0.421357261
YFCC-10M,128,mixed,mixed,k4-r2,k8+1xk4,1.750510710,1.864517375,1.065127659,0.833298000,0.841371000,0.008073000,6.742249472,8.893182202,2.150932730
Wiki-1M,2,mixed,mixed,k4-r2,k4+1xk8,0.445205627,0.471582839,1.059247257,0.992700000,0.992392000,-0.000308000,0.823940505,0.859084390,0.035143885
Wiki-1M,8,mixed,mixed,k4-r2,k4+1xk8,0.434674558,0.460891210,1.060313288,0.984683000,0.984792000,0.000109000,2.778521764,3.056363560,0.277841796
Wiki-1M,128,mixed,mixed,k4-r2,k4+1xk8,0.396660550,0.421742066,1.063231688,0.929600000,0.933517000,0.003917000,5.390749535,6.730377172,1.339627637
OpenAI-2M,2,mixed,mixed,k4-r2,k4+1xk8,1.975778446,2.065661399,1.045492425,0.959900000,0.958771000,-0.001129000,0.926388281,0.941914762,0.015526480
OpenAI-2M,8,mixed,mixed,k4-r2,k4+1xk8,1.955857851,2.049422863,1.047838350,0.936396000,0.936417000,0.000021000,2.670865703,2.879160943,0.208295240
OpenAI-2M,128,mixed,mixed,k4-r2,k4+1xk8,1.715631763,1.808120846,1.053909636,0.796575000,0.803629000,0.007054000,6.003749771,7.582941332,1.579191560
YFCC-10M,2,mixed,mixed,k4-r2,k4+1xk8,1.872811685,1.985412469,1.060123922,0.985179000,0.984731000,-0.000448000,1.301911389,1.338917319,0.037005930
YFCC-10M,8,mixed,mixed,k4-r2,k4+1xk8,1.852021574,1.969301699,1.063325464,0.965597000,0.965409000,-0.000188000,3.692150114,4.139247139,0.447097025
YFCC-10M,128,mixed,mixed,k4-r2,k4+1xk8,1.750510710,1.854641631,1.059486023,0.833298000,0.841773000,0.008475000,6.742249472,8.938303074,2.196053601
