scope,dataset,parts,scaffold_repeats,scaffold_neighbors_per_leaf,scaffold_seed,varying,samples,metric,metric_field,quality_direction,pearson,spearman
repeat-sweep,OpenAI-2M,128,,4,1234,scaffold_repeats,6,all-edge mean rank,preopt_candidate_rank_mean,-1,-0.708857085,-1.000000000
repeat-sweep,OpenAI-2M,128,,4,1234,scaffold_repeats,6,best-edge mean rank,preopt_best_candidate_rank_mean,-1,0.970320036,1.000000000
repeat-sweep,OpenAI-2M,128,,4,1234,scaffold_repeats,6,best-four mean rank,preopt_top4_candidate_rank_mean,-1,0.969978425,0.942857143
repeat-sweep,OpenAI-2M,128,,4,1234,scaffold_repeats,6,fraction rank <= 16,preopt_fraction_rank_le_16,1,-0.870500994,-1.000000000
repeat-sweep,OpenAI-2M,128,,4,1234,scaffold_repeats,6,fraction rank <= 32,preopt_fraction_rank_le_32,1,-0.754291063,-1.000000000
repeat-sweep,OpenAI-2M,128,,4,1234,scaffold_repeats,6,fraction rank <= 64,preopt_fraction_rank_le_64,1,-0.622384051,-1.000000000
repeat-sweep,OpenAI-2M,128,,4,1234,scaffold_repeats,6,count rank <= 16,preopt_count_rank_le_16,1,0.980188096,0.828571429
repeat-sweep,OpenAI-2M,128,,4,1234,scaffold_repeats,6,count rank <= 32,preopt_count_rank_le_32,1,0.944663242,0.942857143
repeat-sweep,OpenAI-2M,128,,4,1234,scaffold_repeats,6,count rank <= 64,preopt_count_rank_le_64,1,0.869436739,1.000000000
repeat-sweep,OpenAI-2M,128,,4,1234,scaffold_repeats,6,unique scaffold degree,unique_scaffold_degree_mean,1,0.730860596,1.000000000
repeat-sweep,Wiki-1M,128,,4,1234,scaffold_repeats,6,all-edge mean rank,preopt_candidate_rank_mean,-1,-0.618444253,-1.000000000
repeat-sweep,Wiki-1M,128,,4,1234,scaffold_repeats,6,best-edge mean rank,preopt_best_candidate_rank_mean,-1,0.999543555,1.000000000
repeat-sweep,Wiki-1M,128,,4,1234,scaffold_repeats,6,best-four mean rank,preopt_top4_candidate_rank_mean,-1,0.995155391,0.828571429
repeat-sweep,Wiki-1M,128,,4,1234,scaffold_repeats,6,fraction rank <= 16,preopt_fraction_rank_le_16,1,-0.813022676,-1.000000000
repeat-sweep,Wiki-1M,128,,4,1234,scaffold_repeats,6,fraction rank <= 32,preopt_fraction_rank_le_32,1,-0.682824889,-1.000000000
repeat-sweep,Wiki-1M,128,,4,1234,scaffold_repeats,6,fraction rank <= 64,preopt_fraction_rank_le_64,1,-0.531100036,-1.000000000
repeat-sweep,Wiki-1M,128,,4,1234,scaffold_repeats,6,count rank <= 16,preopt_count_rank_le_16,1,0.954738182,0.600000000
repeat-sweep,Wiki-1M,128,,4,1234,scaffold_repeats,6,count rank <= 32,preopt_count_rank_le_32,1,0.917396984,0.828571429
repeat-sweep,Wiki-1M,128,,4,1234,scaffold_repeats,6,count rank <= 64,preopt_count_rank_le_64,1,0.825711609,0.942857143
repeat-sweep,Wiki-1M,128,,4,1234,scaffold_repeats,6,unique scaffold degree,unique_scaffold_degree_mean,1,0.662904083,1.000000000
repeat-sweep,YFCC-10M,128,,4,1234,scaffold_repeats,6,all-edge mean rank,preopt_candidate_rank_mean,-1,-0.669606729,-1.000000000
repeat-sweep,YFCC-10M,128,,4,1234,scaffold_repeats,6,best-edge mean rank,preopt_best_candidate_rank_mean,-1,0.948367951,1.000000000
repeat-sweep,YFCC-10M,128,,4,1234,scaffold_repeats,6,best-four mean rank,preopt_top4_candidate_rank_mean,-1,0.923539999,0.485714286
repeat-sweep,YFCC-10M,128,,4,1234,scaffold_repeats,6,fraction rank <= 16,preopt_fraction_rank_le_16,1,-0.825106775,-1.000000000
repeat-sweep,YFCC-10M,128,,4,1234,scaffold_repeats,6,fraction rank <= 32,preopt_fraction_rank_le_32,1,-0.682902952,-1.000000000
repeat-sweep,YFCC-10M,128,,4,1234,scaffold_repeats,6,fraction rank <= 64,preopt_fraction_rank_le_64,1,-0.530828506,-1.000000000
repeat-sweep,YFCC-10M,128,,4,1234,scaffold_repeats,6,count rank <= 16,preopt_count_rank_le_16,1,0.969926374,0.771428571
repeat-sweep,YFCC-10M,128,,4,1234,scaffold_repeats,6,count rank <= 32,preopt_count_rank_le_32,1,0.928069734,0.942857143
repeat-sweep,YFCC-10M,128,,4,1234,scaffold_repeats,6,count rank <= 64,preopt_count_rank_le_64,1,0.836831026,1.000000000
repeat-sweep,YFCC-10M,128,,4,1234,scaffold_repeats,6,unique scaffold degree,unique_scaffold_degree_mean,1,0.697797082,1.000000000
seed-sweep,OpenAI-2M,128,2,4,,scaffold_seed,33,all-edge mean rank,preopt_candidate_rank_mean,-1,0.805670778,0.675467914
seed-sweep,OpenAI-2M,128,2,4,,scaffold_seed,33,best-edge mean rank,preopt_best_candidate_rank_mean,-1,0.738203822,0.584224599
seed-sweep,OpenAI-2M,128,2,4,,scaffold_seed,33,best-four mean rank,preopt_top4_candidate_rank_mean,-1,0.784327297,0.674465241
seed-sweep,OpenAI-2M,128,2,4,,scaffold_seed,33,fraction rank <= 16,preopt_fraction_rank_le_16,1,0.792599615,0.685494652
seed-sweep,OpenAI-2M,128,2,4,,scaffold_seed,33,fraction rank <= 32,preopt_fraction_rank_le_32,1,0.803277914,0.664104278
seed-sweep,OpenAI-2M,128,2,4,,scaffold_seed,33,fraction rank <= 64,preopt_fraction_rank_le_64,1,0.748137135,0.612633690
seed-sweep,OpenAI-2M,128,2,4,,scaffold_seed,33,count rank <= 16,preopt_count_rank_le_16,1,0.788230573,0.667446524
seed-sweep,OpenAI-2M,128,2,4,,scaffold_seed,33,count rank <= 32,preopt_count_rank_le_32,1,0.794715818,0.638368984
seed-sweep,OpenAI-2M,128,2,4,,scaffold_seed,33,count rank <= 64,preopt_count_rank_le_64,1,0.601380377,0.424465241
