source,dataset,parts,implementation,scaffold_repeats,scaffold_neighbors_per_leaf,scaffold_first_repeat_neighbors_per_leaf,scaffold_seed,preopt_graph_degree_cap,configuration,merge_seconds,recall,unique_scaffold_degree_mean,preopt_candidate_rank_mean,preopt_best_candidate_rank_mean,preopt_top4_candidate_rank_mean,preopt_count_rank_le_16,preopt_count_rank_le_32,preopt_count_rank_le_64,preopt_fraction_rank_le_16,preopt_fraction_rank_le_32,preopt_fraction_rank_le_64,quality_sample_rows,missing_candidates,dtype,graph_degree,intermediate_graph_degree,itopk,merge_api_e2e_ms_instrumented,merge_api_ms_excluding_quality_measurement,oracle_partition_build_ms_excluded,preopt_fraction_rank_le_output_degree,qps,quality_measurement_ms,queries,rows,search_ms
repeat,Wiki-1M,128,k4-scaffold-repeat1,1,4,4,1234,0,k4-r1,0.276860457,0.84325,3.998352,12.840358,7.43335,12.840358,2.9799357604320003,3.591291777936,3.955581628656,0.745291,0.898193,0.989303,65536,0,float32,64,128,160,277.558342,276.860457,96587.342354,0.989303,65186.644748,0.697885,10000,1000000,153.405656
repeat,Wiki-1M,128,k4-scaffold-repeat2,2,4,4,1234,0,k4-r2,0.398195445,0.929608,7.784622,15.062234,4.689407,8.485958,5.390290242216,6.824217614616,7.647075513881999,0.692428,0.876628,0.982331,65536,0,float32,64,128,160,398.870969,398.195445,96587.342354,0.982331,64841.66725,0.675524,10000,1000000,154.221821
repeat,Wiki-1M,128,k4-scaffold-repeat4,4,4,4,1234,0,k4-r4,0.6412356600000001,0.9702,14.889343,19.353892,3.545425,6.626812,8.431209588494001,12.266629898579,14.41318181086,0.566258,0.823853,0.96802,65536,0,float32,64,128,160,641.902065,641.23566,96587.342354,0.96802,65844.416951,0.666405,10000,1000000,151.873165
repeat,Wiki-1M,128,k4-scaffold-repeat8,8,4,4,1234,0,k4-r8,1.1232411039999999,0.986183,27.770798,27.879279,3.014847,5.9361,9.652490656446,18.593965571698,25.849919673137997,0.347577,0.669551,0.930831,65536,0,float32,64,128,160,1124.14755,1123.241104,96587.342354,0.930831,67074.990141,0.906446,10000,1000000,149.086865
repeat,Wiki-1M,128,k4-scaffold-repeat16,16,4,4,1234,0,k4-r16,2.204503386,0.99265,50.024612,44.83099,2.755798,5.860573,9.278164836863999,19.508898335432,38.088039232232,0.185472,0.389986,0.761386,65536,0,float32,64,128,160,2205.834916,2204.503386,96587.342354,0.761386,67757.520282,1.33153,10000,1000000,147.585094
repeat,Wiki-1M,128,k4-scaffold-repeat32,32,4,4,1234,0,k4-r32,4.770687397,0.994042,87.083237,78.723089,2.652863,6.197407,8.099350623659,17.238736346809,36.59673034925,0.093007,0.197957,0.42025,65536,0,float32,64,128,160,4773.065894,4770.687397,96587.342354,0.42025,69826.559136,2.378497,10000,1000000,143.211983
repeat,OpenAI-2M,128,k4-scaffold-repeat1,1,4,4,1234,0,k4-r1,1.2427279519999999,0.665967,3.999588,11.034359,5.398636,11.034359,3.185319878256,3.6448525415160002,3.9691911312,0.796412,0.911307,0.9924,65536,0,float32,64,128,160,1243.508718,1242.727952,192098.636884,0.9924,31960.213421,0.780766,20000,2321096,625.778049
repeat,OpenAI-2M,128,k4-scaffold-repeat2,2,4,4,1234,0,k4-r2,1.728889281,0.795875,7.933807,13.039465,2.576065,5.897099,6.003963983899,7.1052716011829995,7.815982032243,0.756757,0.895569,0.985149,65536,0,float32,64,128,160,1729.616366,1728.889281,192098.636884,0.985149,31846.302864,0.727085,20000,2321096,628.016385
repeat,OpenAI-2M,128,k4-scaffold-repeat4,4,4,4,1234,0,k4-r4,2.6549020420000002,0.877321,15.631866,17.267189,1.686417,4.025818,9.978507869904,13.32014749659,15.168209222574,0.638344,0.852115,0.970339,65536,0,float32,64,128,160,2655.645847,2654.902042,192098.636884,0.970339,31975.133783,0.743805,20000,2321096,625.486046
repeat,OpenAI-2M,128,k4-scaffold-repeat8,8,4,4,1234,0,k4-r8,4.561774838,0.9237,30.410797,25.490774,1.36554,3.370956,12.461584340675,21.897051093473998,28.440907213528,0.409775,0.720042,0.935224,65536,0,float32,64,128,160,4562.727965,4561.774838,192098.636884,0.935224,32425.302512,0.953127,20000,2321096,616.802264
repeat,OpenAI-2M,128,k4-scaffold-repeat16,16,4,4,1234,0,k4-r16,8.632098632,0.948342,58.140884,42.129927,1.237457,3.20747,12.93227682812,25.441753147792,45.836877564384,0.22243,0.437588,0.788376,65536,0,float32,64,128,160,8633.463162,8632.098632,192098.636884,0.788376,32504.056632,1.36453,20000,2321096,615.307813
repeat,OpenAI-2M,128,k4-scaffold-repeat32,32,4,4,1234,0,k4-r32,18.346652107999997,0.960075,108.0242,75.267388,1.183029,3.340672,12.1313337084,24.495675616199996,49.136967854,0.112302,0.226761,0.45487,65536,0,float32,64,128,160,18348.821244,18346.652108,192098.636884,0.45487,32938.988043,2.169136,20000,2321096,607.183195
repeat,YFCC-10M,128,k4-scaffold-repeat1,1,4,4,1234,0,k4-r1,1.474002294,0.684665,3.999756,7.760049,3.530365,7.760049,3.544327782816,3.815459242788,3.973845580632,0.886136,0.953923,0.993522,65536,0,uint8,64,128,160,1474.650298,1474.002294,53531.741411,0.993522,348425.518218,0.648004,100000,10000000,287.005385
repeat,YFCC-10M,128,k4-scaffold-repeat2,2,4,4,1234,0,k4-r2,1.751544659,0.833145,7.870667,9.674571,1.589737,3.927555,6.742383273549001,7.443880081925,7.793746971409,0.856647,0.945775,0.990227,65536,0,uint8,64,128,160,1752.158583,1751.544659,53531.741411,0.990227,341898.038757,0.613924,100000,10000000,292.48486
repeat,YFCC-10M,128,k4-scaffold-repeat4,4,4,4,1234,0,k4-r4,2.313253791,0.916581,15.376221,13.859746,1.229858,3.067081,11.323018391958,14.09215278429,15.116593508414999,0.736398,0.91649,0.983115,65536,0,uint8,64,128,160,2313.871795,2313.253791,53531.741411,0.983115,341866.526966,0.618004,100000,10000000,292.51182
repeat,YFCC-10M,128,k4-scaffold-repeat8,8,4,4,1234,0,k4-r8,3.463417426,0.959776,29.660782,22.051654,1.149719,2.951111,13.462999289018,23.628461139186,28.565320338394002,0.453899,0.796623,0.963067,65536,0,uint8,64,128,160,3464.188231,3463.417426,53531.741411,0.963067,343336.732871,0.770805,100000,10000000,291.259252
repeat,YFCC-10M,128,k4-scaffold-repeat16,16,4,4,1234,0,k4-r16,7.032553643,0.978861,56.047821,38.535355,1.126404,3.098526,13.320605377964998,26.309856038178,47.296794468165,0.237665,0.469418,0.843865,65536,0,uint8,64,128,160,7033.689131,7032.553643,53531.741411,0.843865,341520.511199,1.135488,100000,10000000,292.808182
repeat,YFCC-10M,128,k4-scaffold-repeat32,32,4,4,1234,0,k4-r32,18.188275069,0.98617,102.778915,71.598227,1.118011,3.450661,12.10488949304,24.340410987045,48.877232480655,0.117776,0.236823,0.475557,65536,0,uint8,64,128,160,18190.379282,18188.275069,53531.741411,0.475557,343268.800218,2.104213,100000,10000000,291.316892
seed,Wiki-1M,128,k4-scaffold-seed1,2,4,4,1,0,k4-r2,0.394247554,0.929583,7.792206,15.050071,4.679474,8.442346,5.412357196716,6.829954273266001,7.650590448156,0.694586,0.876511,0.981826,65536,0,float32,64,128,160,394.928639,394.247554,95587.846848,0.981826,64921.558721,0.681085,10000,1000000,154.032038
seed,Wiki-1M,128,k4-scaffold-seed2,2,4,4,2,0,k4-r2,0.406681874,0.928842,7.796234,15.100244,4.69313,8.463757,5.394931558128,6.828417307474,7.660938155164001,0.691992,0.875861,0.982646,65536,0,float32,64,128,160,407.378479,406.681874,95587.846848,0.982646,64793.696869,0.696605,10000,1000000,154.336
