dataset,parts,implementation,dtype,rows,queries,graph_degree,intermediate_graph_degree,itopk,scaffold_repeats,scaffold_neighbors_per_leaf,scaffold_first_repeat_neighbors_per_leaf,scaffold_seed,preopt_graph_degree_cap,quality_sample_rows,oracle_partition_build_ms_excluded,merge_api_e2e_ms_instrumented,quality_measurement_ms,merge_api_ms_excluding_quality_measurement,search_ms,recall,qps,unique_scaffold_degree_mean,preopt_candidate_rank_mean,preopt_best_candidate_rank_mean,preopt_top4_candidate_rank_mean,preopt_fraction_rank_le_16,preopt_fraction_rank_le_32,preopt_fraction_rank_le_64,preopt_fraction_rank_le_output_degree,missing_candidates
Wiki-1M,128,k4-scaffold-repeat1,float32,1000000,10000,64,128,160,1,4,4,1234,0,65536,96587.342354,277.558342,0.697885,276.860457,153.405656,0.843250,65186.644748,3.998352,12.840358,7.433350,12.840358,0.745291,0.898193,0.989303,0.989303,0
Wiki-1M,128,k4-scaffold-repeat2,float32,1000000,10000,64,128,160,2,4,4,1234,0,65536,96587.342354,398.870969,0.675524,398.195445,154.221821,0.929608,64841.667250,7.784622,15.062234,4.689407,8.485958,0.692428,0.876628,0.982331,0.982331,0
Wiki-1M,128,k4-scaffold-repeat4,float32,1000000,10000,64,128,160,4,4,4,1234,0,65536,96587.342354,641.902065,0.666405,641.235660,151.873165,0.970200,65844.416951,14.889343,19.353892,3.545425,6.626812,0.566258,0.823853,0.968020,0.968020,0
Wiki-1M,128,k4-scaffold-repeat8,float32,1000000,10000,64,128,160,8,4,4,1234,0,65536,96587.342354,1124.147550,0.906446,1123.241104,149.086865,0.986183,67074.990141,27.770798,27.879279,3.014847,5.936100,0.347577,0.669551,0.930831,0.930831,0
Wiki-1M,128,k4-scaffold-repeat16,float32,1000000,10000,64,128,160,16,4,4,1234,0,65536,96587.342354,2205.834916,1.331530,2204.503386,147.585094,0.992650,67757.520282,50.024612,44.830990,2.755798,5.860573,0.185472,0.389986,0.761386,0.761386,0
Wiki-1M,128,k4-scaffold-repeat32,float32,1000000,10000,64,128,160,32,4,4,1234,0,65536,96587.342354,4773.065894,2.378497,4770.687397,143.211983,0.994042,69826.559136,87.083237,78.723089,2.652863,6.197407,0.093007,0.197957,0.420250,0.420250,0
OpenAI-2M,128,k4-scaffold-repeat1,float32,2321096,20000,64,128,160,1,4,4,1234,0,65536,192098.636884,1243.508718,0.780766,1242.727952,625.778049,0.665967,31960.213421,3.999588,11.034359,5.398636,11.034359,0.796412,0.911307,0.992400,0.992400,0
OpenAI-2M,128,k4-scaffold-repeat2,float32,2321096,20000,64,128,160,2,4,4,1234,0,65536,192098.636884,1729.616366,0.727085,1728.889281,628.016385,0.795875,31846.302864,7.933807,13.039465,2.576065,5.897099,0.756757,0.895569,0.985149,0.985149,0
OpenAI-2M,128,k4-scaffold-repeat4,float32,2321096,20000,64,128,160,4,4,4,1234,0,65536,192098.636884,2655.645847,0.743805,2654.902042,625.486046,0.877321,31975.133783,15.631866,17.267189,1.686417,4.025818,0.638344,0.852115,0.970339,0.970339,0
OpenAI-2M,128,k4-scaffold-repeat8,float32,2321096,20000,64,128,160,8,4,4,1234,0,65536,192098.636884,4562.727965,0.953127,4561.774838,616.802264,0.923700,32425.302512,30.410797,25.490774,1.365540,3.370956,0.409775,0.720042,0.935224,0.935224,0
OpenAI-2M,128,k4-scaffold-repeat16,float32,2321096,20000,64,128,160,16,4,4,1234,0,65536,192098.636884,8633.463162,1.364530,8632.098632,615.307813,0.948342,32504.056632,58.140884,42.129927,1.237457,3.207470,0.222430,0.437588,0.788376,0.788376,0
OpenAI-2M,128,k4-scaffold-repeat32,float32,2321096,20000,64,128,160,32,4,4,1234,0,65536,192098.636884,18348.821244,2.169136,18346.652108,607.183195,0.960075,32938.988043,108.024200,75.267388,1.183029,3.340672,0.112302,0.226761,0.454870,0.454870,0
YFCC-10M,128,k4-scaffold-repeat1,uint8,10000000,100000,64,128,160,1,4,4,1234,0,65536,53531.741411,1474.650298,0.648004,1474.002294,287.005385,0.684665,348425.518218,3.999756,7.760049,3.530365,7.760049,0.886136,0.953923,0.993522,0.993522,0
YFCC-10M,128,k4-scaffold-repeat2,uint8,10000000,100000,64,128,160,2,4,4,1234,0,65536,53531.741411,1752.158583,0.613924,1751.544659,292.484860,0.833145,341898.038757,7.870667,9.674571,1.589737,3.927555,0.856647,0.945775,0.990227,0.990227,0
YFCC-10M,128,k4-scaffold-repeat4,uint8,10000000,100000,64,128,160,4,4,4,1234,0,65536,53531.741411,2313.871795,0.618004,2313.253791,292.511820,0.916581,341866.526966,15.376221,13.859746,1.229858,3.067081,0.736398,0.916490,0.983115,0.983115,0
YFCC-10M,128,k4-scaffold-repeat8,uint8,10000000,100000,64,128,160,8,4,4,1234,0,65536,53531.741411,3464.188231,0.770805,3463.417426,291.259252,0.959776,343336.732871,29.660782,22.051654,1.149719,2.951111,0.453899,0.796623,0.963067,0.963067,0
YFCC-10M,128,k4-scaffold-repeat16,uint8,10000000,100000,64,128,160,16,4,4,1234,0,65536,53531.741411,7033.689131,1.135488,7032.553643,292.808182,0.978861,341520.511199,56.047821,38.535355,1.126404,3.098526,0.237665,0.469418,0.843865,0.843865,0
YFCC-10M,128,k4-scaffold-repeat32,uint8,10000000,100000,64,128,160,32,4,4,1234,0,65536,53531.741411,18190.379282,2.104213,18188.275069,291.316892,0.986170,343268.800218,102.778915,71.598227,1.118011,3.450661,0.117776,0.236823,0.475557,0.475557,0
