dataset,parts,implementation,dtype,rows,queries,graph_degree,intermediate_graph_degree,itopk,oracle_partition_build_ms_excluded,merge_api_e2e_ms,search_ms,recall,qps
Wiki-1M,8,sweep-r1-repeat1,float32,1000000,10000,64,128,160,11654.741515,313.321093,148.477495,0.976417,67350.274195
Wiki-1M,8,sweep-r1-repeat2,float32,1000000,10000,64,128,160,11654.741515,436.517509,148.442894,0.984817,67365.973072
Wiki-1M,8,sweep-r1-repeat3,float32,1000000,10000,64,128,160,11654.741515,553.794567,148.306374,0.987317,67427.985260
Wiki-1M,8,sweep-r1-repeat4,float32,1000000,10000,64,128,160,11654.741515,669.760898,149.121499,0.988883,67059.411735
Wiki-1M,8,sweep-r1-repeat5,float32,1000000,10000,64,128,160,11654.741515,796.940178,148.288853,0.989825,67435.952182
Wiki-1M,8,sweep-r1-repeat6,float32,1000000,10000,64,128,160,11654.741515,913.398112,148.626896,0.991100,67282.573135
Wiki-1M,8,sweep-r1-repeat7,float32,1000000,10000,64,128,160,11654.741515,1032.603703,148.536056,0.991525,67323.721050
Wiki-1M,8,sweep-r1-repeat8,float32,1000000,10000,64,128,160,11654.741515,1151.640892,148.052052,0.991925,67543.812226
Wiki-1M,8,sweep-r2-repeat1,float32,1000000,10000,64,128,160,11609.827553,314.860583,148.730177,0.977125,67235.850866
Wiki-1M,8,sweep-r2-repeat2,float32,1000000,10000,64,128,160,11609.827553,436.116866,148.631816,0.985033,67280.345952
Wiki-1M,8,sweep-r2-repeat3,float32,1000000,10000,64,128,160,11609.827553,553.629247,148.782696,0.987583,67212.117194
Wiki-1M,8,sweep-r2-repeat4,float32,1000000,10000,64,128,160,11609.827553,673.643602,148.391854,0.989092,67389.143881
Wiki-1M,8,sweep-r2-repeat5,float32,1000000,10000,64,128,160,11609.827553,799.560795,148.893698,0.989975,67162.009772
Wiki-1M,8,sweep-r2-repeat6,float32,1000000,10000,64,128,160,11609.827553,917.222256,148.464975,0.991042,67355.953820
Wiki-1M,8,sweep-r2-repeat7,float32,1000000,10000,64,128,160,11609.827553,1034.974238,149.047099,0.991533,67092.885853
Wiki-1M,8,sweep-r2-repeat8,float32,1000000,10000,64,128,160,11609.827553,1152.451697,149.176100,0.991958,67034.866845
OpenAI-2M,8,sweep-r1-repeat1,float32,2321096,20000,64,128,160,44011.818900,1484.303052,610.847450,0.919917,32741.398855
OpenAI-2M,8,sweep-r1-repeat2,float32,2321096,20000,64,128,160,44011.818900,1966.974206,611.862016,0.935896,32687.108330
OpenAI-2M,8,sweep-r1-repeat3,float32,2321096,20000,64,128,160,44011.818900,2423.590353,612.370859,0.942408,32659.947328
OpenAI-2M,8,sweep-r1-repeat4,float32,2321096,20000,64,128,160,44011.818900,2885.698536,613.012703,0.946083,32625.751313
OpenAI-2M,8,sweep-r1-repeat5,float32,2321096,20000,64,128,160,44011.818900,3363.018975,612.608741,0.949050,32647.265149
OpenAI-2M,8,sweep-r1-repeat6,float32,2321096,20000,64,128,160,44011.818900,3831.872161,613.663508,0.950900,32591.150915
OpenAI-2M,8,sweep-r1-repeat7,float32,2321096,20000,64,128,160,44011.818900,4311.424454,613.287465,0.952425,32611.134487
