dataset,parts,scaffold_repeats,runs,scaffold_degree,merge_api_e2e_ms,merge_min_ms,merge_max_ms,merge_delta_vs_repeat1_pct,merge_delta_vs_previous_ms,search_ms,recall,recall_min,recall_max,recall_delta_vs_repeat1,recall_delta_vs_previous,qps
Wiki-1M,8,1,2,4,314.090838,313.321093,314.860583,0.000000,0.000000,148.603836,0.976771000,0.976417000,0.977125000,0.000000000,0.000000000,67293.062530
Wiki-1M,8,2,2,8,436.317188,436.116866,436.517509,38.914331,122.226350,148.537355,0.984925000,0.984817000,0.985033000,0.008154000,0.008154000,67323.159512
Wiki-1M,8,3,2,12,553.711907,553.629247,553.794567,76.290372,117.394719,148.544535,0.987450000,0.987317000,0.987583000,0.010679000,0.002525000,67320.051227
Wiki-1M,8,4,2,16,671.702250,669.760898,673.643602,113.856047,117.990343,148.756676,0.988987500,0.988883000,0.989092000,0.012216500,0.001537500,67224.277808
Wiki-1M,8,5,2,20,798.250486,796.940178,799.560795,154.146377,126.548236,148.591275,0.989900000,0.989825000,0.989975000,0.013129000,0.000912500,67298.980977
Wiki-1M,8,6,2,24,915.310184,913.398112,917.222256,191.415754,117.059697,148.545935,0.991071000,0.991042000,0.991100000,0.014300000,0.001171000,67319.263478
Wiki-1M,8,7,2,28,1033.788971,1032.603703,1034.974238,229.136939,118.478787,148.791578,0.991529000,0.991525000,0.991533000,0.014758000,0.000458000,67208.303451
Wiki-1M,8,8,2,32,1152.046294,1151.640892,1152.451697,266.787615,118.257324,148.614076,0.991941500,0.991925000,0.991958000,0.015170500,0.000412500,67289.339535
OpenAI-2M,8,1,2,4,1486.132104,1484.303052,1487.961155,0.000000,0.000000,611.067891,0.920133500,0.919917000,0.920350000,0.000000000,0.000000000,32729.591722
OpenAI-2M,8,2,2,8,1967.764271,1966.974206,1968.554335,32.408436,481.632167,612.110258,0.935941500,0.935896000,0.935987000,0.015808000,0.015808000,32673.857411
OpenAI-2M,8,3,2,12,2427.718699,2423.590353,2431.847045,63.358203,459.954428,612.550080,0.942475000,0.942408000,0.942542000,0.022341500,0.006533500,32650.394390
OpenAI-2M,8,4,2,16,2892.362278,2885.698536,2899.026020,94.623498,464.643579,613.188884,0.946125000,0.946083000,0.946167000,0.025991500,0.003650000,32616.379971
OpenAI-2M,8,5,2,20,3368.070287,3363.018975,3373.121599,126.633304,475.708009,612.991763,0.948908500,0.948767000,0.949050000,0.028775000,0.002783500,32626.878531
OpenAI-2M,8,6,2,24,3838.542024,3831.872161,3845.211886,158.290768,470.471737,613.643008,0.950800000,0.950700000,0.950900000,0.030666500,0.001891500,32592.239752
OpenAI-2M,8,7,2,28,4317.708734,4311.424454,4323.993015,190.533306,479.166711,613.475406,0.952281000,0.952137000,0.952425000,0.032147500,0.001481000,32601.146949
OpenAI-2M,8,8,2,32,4796.018220,4790.693946,4801.342494,222.718163,478.309485,613.913569,0.953691500,0.953550000,0.953833000,0.033558000,0.001410500,32577.879217
YFCC-10M,8,1,2,4,1575.900797,1575.009052,1576.792542,0.000000,0.000000,289.787382,0.955596000,0.955405000,0.955787000,0.000000000,0.000000000,345080.957675
YFCC-10M,8,2,2,8,1844.384524,1838.260605,1850.508443,17.036842,268.483727,293.499265,0.965587000,0.965442000,0.965732000,0.009991000,0.009991000,340717.688921
YFCC-10M,8,3,2,12,2127.411103,2125.948513,2128.873692,34.996512,283.026579,293.998409,0.969794000,0.969644000,0.969944000,0.014198000,0.004207000,340138.075688
YFCC-10M,8,4,2,16,2400.087956,2392.155566,2408.020346,52.299432,272.676853,294.027549,0.972412000,0.972304000,0.972520000,0.016816000,0.002618000,340104.912141
YFCC-10M,8,5,2,20,2667.601256,2659.376584,2675.825928,69.274694,267.513300,295.001456,0.974489000,0.974271000,0.974707000,0.018893000,0.002077000,338982.200072
YFCC-10M,8,6,2,24,2953.596754,2942.699625,2964.493883,87.422759,285.995498,293.351425,0.976188000,0.976009000,0.976367000,0.020592000,0.001699000,340888.085300
YFCC-10M,8,7,2,28,3250.518122,3244.488944,3256.547300,106.264133,296.921368,294.877914,0.977578500,0.977494000,0.977663000,0.021982500,0.001390500,339123.965306
YFCC-10M,8,8,2,32,3541.625212,3534.283385,3548.967039,124.736558,291.107090,294.562492,0.978822500,0.978763000,0.978882000,0.023226500,0.001244000,339487.669038
