dataset,parts,implementation,dtype,rows,queries,graph_degree,intermediate_graph_degree,itopk,scaffold_repeats,scaffold_neighbors_per_leaf,scaffold_first_repeat_neighbors_per_leaf,scaffold_seed,preopt_graph_degree_cap,quality_sample_rows,oracle_partition_build_ms_excluded,merge_api_e2e_ms_instrumented,quality_measurement_ms,merge_api_ms_excluding_quality_measurement,search_ms,recall,qps,unique_scaffold_degree_mean,preopt_candidate_rank_mean,preopt_best_candidate_rank_mean,preopt_top4_candidate_rank_mean,preopt_fraction_rank_le_16,preopt_fraction_rank_le_32,preopt_fraction_rank_le_64,preopt_fraction_rank_le_output_degree,missing_candidates
Wiki-1M,128,k4-scaffold-seed1234,float32,1000000,10000,64,128,160,2,4,4,1234,0,65536,94952.164996,394.932819,0.677685,394.255134,153.253952,0.929450,65251.172120,7.784622,15.064082,4.690994,8.487030,0.692495,0.876624,0.982247,0.982247,0
Wiki-1M,128,k4-scaffold-seed1234,float32,1000000,10000,64,128,160,2,4,4,1234,0,65536,94952.164996,403.473437,0.699724,402.773713,154.090837,0.929508,64896.785524,7.784622,15.064082,4.690994,8.487030,0.692495,0.876624,0.982247,0.982247,0
Wiki-1M,128,k4-scaffold-seed1234,float32,1000000,10000,64,128,160,2,4,4,1234,0,65536,94952.164996,401.562985,0.699445,400.863540,154.153278,0.929450,64870.498570,7.784622,15.064082,4.690994,8.487030,0.692495,0.876624,0.982247,0.982247,0
Wiki-1M,128,k4-scaffold-seed1234,float32,1000000,10000,64,128,160,2,4,4,1234,0,65536,94952.164996,401.066940,0.707685,400.359255,154.519401,0.929417,64716.792424,7.784622,15.064082,4.690994,8.487030,0.692495,0.876624,0.982247,0.982247,0
Wiki-1M,128,k4-scaffold-seed1234,float32,1000000,10000,64,128,160,2,4,4,1234,0,65536,94952.164996,400.502057,0.713245,399.788812,153.732595,0.929475,65048.014053,7.784622,15.064082,4.690994,8.487030,0.692495,0.876624,0.982247,0.982247,0
Wiki-1M,128,k4-scaffold-seed1234,float32,1000000,10000,64,128,160,2,4,4,1234,0,65536,94952.164996,401.645505,0.703204,400.942301,153.388073,0.929608,65194.117146,7.784622,15.064082,4.690994,8.487030,0.692495,0.876624,0.982247,0.982247,0
Wiki-1M,128,k4-scaffold-seed1234,float32,1000000,10000,64,128,160,2,4,4,1234,0,65536,94952.164996,402.529031,0.704365,401.824666,153.579234,0.929433,65112.969635,7.784622,15.064082,4.690994,8.487030,0.692495,0.876624,0.982247,0.982247,0
Wiki-1M,128,k4-scaffold-seed1234,float32,1000000,10000,64,128,160,2,4,4,1234,0,65536,94952.164996,404.103121,0.710005,403.393116,154.306279,0.929525,64806.176812,7.784622,15.064082,4.690994,8.487030,0.692495,0.876624,0.982247,0.982247,0
Wiki-1M,128,k4-scaffold-seed1234,float32,1000000,10000,64,128,160,2,4,4,1234,0,65536,94952.164996,403.318236,0.700445,402.617791,154.378240,0.929517,64775.968427,7.784622,15.064082,4.690994,8.487030,0.692495,0.876624,0.982247,0.982247,0
Wiki-1M,128,k4-scaffold-seed1234,float32,1000000,10000,64,128,160,2,4,4,1234,0,65536,94952.164996,395.368622,0.612004,394.756618,154.707322,0.929358,64638.181766,7.784622,15.064082,4.690994,8.487030,0.692495,0.876624,0.982247,0.982247,0
Wiki-1M,128,k4-scaffold-seed1234,float32,1000000,10000,64,128,160,2,4,4,1234,0,65536,94952.164996,401.776986,0.696844,401.080142,154.026677,0.929483,64923.818359,7.784622,15.064082,4.690994,8.487030,0.692495,0.876624,0.982247,0.982247,0
Wiki-1M,128,k4-scaffold-seed1234,float32,1000000,10000,64,128,160,2,4,4,1234,0,65536,94952.164996,403.469117,0.706125,402.762992,153.877676,0.929383,64986.684618,7.784622,15.064082,4.690994,8.487030,0.692495,0.876624,0.982247,0.982247,0
