dataset,parts,implementation,dtype,rows,queries,graph_degree,intermediate_graph_degree,itopk,oracle_partition_build_ms_excluded,merge_api_e2e_ms,search_ms,recall,qps
Wiki-1M,8,repeat1-baseline-r1,float32,1000000,10000,64,128,160,11571.641286,313.479658,148.490135,0.977108,67344.541104
Wiki-1M,8,repeat2-union8-r1,float32,1000000,10000,64,128,160,11424.484799,428.881936,149.017178,0.985175,67106.357362
Wiki-1M,8,repeat1-baseline-r2,float32,1000000,10000,64,128,160,11598.288021,313.474537,148.513175,0.977742,67334.093423
Wiki-1M,8,repeat2-union8-r2,float32,1000000,10000,64,128,160,11550.305985,430.474786,148.697017,0.984808,67250.844716
OpenAI-2M,8,repeat1-baseline-r1,float32,2321096,20000,64,128,160,43925.421522,1480.571080,610.957651,0.920667,32735.493151
OpenAI-2M,8,repeat2-union8-r1,float32,2321096,20000,64,128,160,43723.431716,1952.222215,612.090299,0.936454,32674.917463
OpenAI-2M,8,repeat1-baseline-r2,float32,2321096,20000,64,128,160,44139.361526,1487.783887,610.834530,0.920346,32742.091381
OpenAI-2M,8,repeat2-union8-r2,float32,2321096,20000,64,128,160,43538.670302,1951.620373,612.047018,0.936158,32677.228075
YFCC-10M,8,repeat1-baseline-r1,uint8,10000000,100000,64,128,160,22440.530158,1826.090708,284.218146,0.955740,351842.418957
YFCC-10M,8,repeat2-union8-r1,uint8,10000000,100000,64,128,160,21355.388354,1846.939445,285.175592,0.965680,350661.146344
YFCC-10M,8,repeat1-baseline-r2,uint8,10000000,100000,64,128,160,21714.888914,1584.313081,286.596561,0.955456,348922.539932
YFCC-10M,8,repeat2-union8-r2,uint8,10000000,100000,64,128,160,21615.195539,1847.164726,286.599641,0.965268,348918.790167
YFCC-10M,8,repeat1-baseline-r3,uint8,10000000,100000,64,128,160,21652.665066,1583.401955,286.554881,0.955734,348973.291437
YFCC-10M,8,repeat2-union8-r3,uint8,10000000,100000,64,128,160,21926.339421,1842.505209,287.480604,0.965318,347849.554400
