dataset,parts,implementation,dtype,rows,queries,graph_degree,intermediate_graph_degree,itopk,scaffold_repeats,scaffold_neighbors_per_leaf,scaffold_first_repeat_neighbors_per_leaf,scaffold_seed,preopt_graph_degree_cap,quality_sample_rows,oracle_partition_build_ms_excluded,merge_api_e2e_ms_instrumented,quality_measurement_ms,merge_api_ms_excluding_quality_measurement,search_ms,recall,qps,unique_scaffold_degree_mean,preopt_candidate_rank_mean,preopt_best_candidate_rank_mean,preopt_top4_candidate_rank_mean,preopt_fraction_rank_le_16,preopt_fraction_rank_le_32,preopt_fraction_rank_le_64,preopt_fraction_rank_le_output_degree,missing_candidates
Wiki-1M,128,k4-scaffold-seed1,float32,1000000,10000,64,128,160,2,4,4,1,0,65536,95587.846848,394.928639,0.681085,394.247554,154.032038,0.929583,64921.558721,7.792206,15.050071,4.679474,8.442346,0.694586,0.876511,0.981826,0.981826,0
Wiki-1M,128,k4-scaffold-seed2,float32,1000000,10000,64,128,160,2,4,4,2,0,65536,95587.846848,407.378479,0.696605,406.681874,154.336000,0.928842,64793.696869,7.796234,15.100244,4.693130,8.463757,0.691992,0.875861,0.982646,0.982646,0
Wiki-1M,128,k4-scaffold-seed3,float32,1000000,10000,64,128,160,2,4,4,3,0,65536,95587.846848,397.723817,0.682405,397.041412,153.319473,0.928208,65223.287064,7.791901,15.091299,4.721359,8.472237,0.691523,0.876238,0.982405,0.982405,0
Wiki-1M,128,k4-scaffold-seed4,float32,1000000,10000,64,128,160,2,4,4,4,0,65536,95587.846848,406.406232,0.688725,405.717507,153.713635,0.927575,65056.037482,7.788925,15.011382,4.680435,8.437771,0.693072,0.877756,0.983464,0.983464,0
Wiki-1M,128,k4-scaffold-seed5,float32,1000000,10000,64,128,160,2,4,4,5,0,65536,95587.846848,396.971052,0.683765,396.287287,154.754482,0.928283,64618.483877,7.791977,15.073094,4.722733,8.493240,0.692168,0.876925,0.982473,0.982473,0
Wiki-1M,128,k4-scaffold-seed6,float32,1000000,10000,64,128,160,2,4,4,6,0,65536,95587.846848,408.670167,0.701604,407.968563,153.229832,0.930417,65261.443346,7.782761,14.971485,4.690643,8.436905,0.694135,0.878396,0.983286,0.983286,0
Wiki-1M,128,k4-scaffold-seed7,float32,1000000,10000,64,128,160,2,4,4,7,0,65536,95587.846848,401.477241,0.698765,400.778476,153.303393,0.929583,65230.128338,7.785706,14.891236,4.692108,8.408058,0.697225,0.879687,0.983396,0.983396,0
Wiki-1M,128,k4-scaffold-seed8,float32,1000000,10000,64,128,160,2,4,4,8,0,65536,95587.846848,397.545695,0.707924,396.837771,154.285280,0.926858,64814.997257,7.796768,15.119896,4.711426,8.479538,0.690893,0.877073,0.981449,0.981449,0
Wiki-1M,128,k4-scaffold-seed9,float32,1000000,10000,64,128,160,2,4,4,9,0,65536,95587.846848,401.574641,0.698324,400.876317,153.395714,0.927300,65190.869674,7.791809,15.167383,4.738541,8.524517,0.688850,0.874997,0.982518,0.982518,0
Wiki-1M,128,k4-scaffold-seed10,float32,1000000,10000,64,128,160,2,4,4,10,0,65536,95587.846848,399.531868,0.697764,398.834104,154.519841,0.928033,64716.608141,7.793701,15.071498,4.686600,8.459866,0.691006,0.876960,0.983131,0.983131,0
Wiki-1M,128,k4-scaffold-seed11,float32,1000000,10000,64,128,160,2,4,4,11,0,65536,95587.846848,401.980084,0.689484,401.290600,154.723402,0.927308,64631.464088,7.787537,15.117451,4.715851,8.475010,0.691459,0.876649,0.981478,0.981478,0
Wiki-1M,128,k4-scaffold-seed12,float32,1000000,10000,64,128,160,2,4,4,12,0,65536,95587.846848,406.022950,0.712805,405.310145,154.905764,0.931117,64555.377036,7.789917,15.036057,4.691635,8.444946,0.694907,0.876391,0.982253,0.982253,0
Wiki-1M,128,k4-scaffold-seed13,float32,1000000,10000,64,128,160,2,4,4,13,0,65536,95587.846848,403.897216,0.633605,403.263611,153.301073,0.931350,65231.115506,7.790848,15.061156,4.697647,8.468281,0.693757,0.877036,0.981482,0.981482,0
Wiki-1M,128,k4-scaffold-seed14,float32,1000000,10000,64,128,160,2,4,4,14,0,65536,95587.846848,396.180967,0.704645,395.476322,153.472034,0.926317,65158.450953,7.793549,15.217953,4.744675,8.522661,0.688013,0.874328,0.981727,0.981727,0
Wiki-1M,128,k4-scaffold-seed15,float32,1000000,10000,64,128,160,2,4,4,15,0,65536,95587.846848,409.648453,0.666924,408.981529,153.432714,0.926508,65175.149023,7.785629,14.927895,4.643524,8.373764,0.696319,0.878929,0.983033,0.983033,0
Wiki-1M,128,k4-scaffold-seed16,float32,1000000,10000,64,128,160,2,4,4,16,0,65536,95587.846848,405.665948,0.688245,404.977703,154.875523,0.927042,64567.982121,7.796631,15.164698,4.751190,8.516914,0.690081,0.875207,0.981480,0.981480,0
Wiki-1M,128,k4-scaffold-seed17,float32,1000000,10000,64,128,160,2,4,4,17,0,65536,95587.846848,402.513007,0.703445,401.809562,153.570675,0.928942,65116.598595,7.789856,15.088988,4.705063,8.492092,0.692317,0.875857,0.982171,0.982171,0
Wiki-1M,128,k4-scaffold-seed18,float32,1000000,10000,64,128,160,2,4,4,18,0,65536,95587.846848,406.165151,0.712964,405.452187,153.882237,0.928858,64984.758442,7.796219,15.148131,4.704468,8.484932,0.690282,0.875598,0.981843,0.981843,0
Wiki-1M,128,k4-scaffold-seed19,float32,1000000,10000,64,128,160,2,4,4,19,0,65536,95587.846848,399.593828,0.707445,398.886383,153.701035,0.927842,65061.370602,7.795410,15.180543,4.743927,8.502241,0.690871,0.874787,0.980984,0.980984,0
Wiki-1M,128,k4-scaffold-seed20,float32,1000000,10000,64,128,160,2,4,4,20,0,65536,95587.846848,403.708095,0.707605,403.000490,153.701236,0.928933,65061.285519,7.787201,15.097102,4.699890,8.478195,0.692886,0.875389,0.981426,0.981426,0
Wiki-1M,128,k4-scaffold-seed21,float32,1000000,10000,64,128,160,2,4,4,21,0,65536,95587.846848,403.570894,0.708725,402.862169,153.908037,0.927533,64973.864880,7.784607,14.972770,4.667709,8.420126,0.695075,0.878476,0.982610,0.982610,0
Wiki-1M,128,k4-scaffold-seed22,float32,1000000,10000,64,128,160,2,4,4,22,0,65536,95587.846848,404.841183,0.708085,404.133098,154.087238,0.928650,64898.301312,7.792175,15.138742,4.719528,8.503674,0.690051,0.875077,0.982403,0.982403,0
Wiki-1M,128,k4-scaffold-seed23,float32,1000000,10000,64,128,160,2,4,4,23,0,65536,95587.846848,402.576608,0.648324,401.928284,154.270839,0.927033,64821.064466,7.794678,15.097517,4.693146,8.448334,0.690462,0.876707,0.982321,0.982321,0
