dataset,parts,implementation,dtype,rows,queries,graph_degree,intermediate_graph_degree,itopk,oracle_partition_build_ms_excluded,merge_api_e2e_ms,search_ms,recall,qps
Wiki-1M,8,separate-append-r1,float32,1000000,10000,64,128,160,12046.618517,318.735428,149.055786,0.977350,67088.975667
Wiki-1M,8,fused-append-r1,float32,1000000,10000,64,128,160,11618.627326,318.781429,148.724544,0.977050,67238.397450
Wiki-1M,8,fused-append-r2,float32,1000000,10000,64,128,160,11890.344963,317.587461,149.254147,0.976625,66999.813412
Wiki-1M,8,separate-append-r2,float32,1000000,10000,64,128,160,11781.562283,318.489027,149.052906,0.977533,67090.271960
OpenAI-2M,8,separate-append-r1,float32,2321096,20000,64,128,160,44075.003010,1488.892296,610.680603,0.920446,32750.344291
OpenAI-2M,8,fused-append-r1,float32,2321096,20000,64,128,160,43697.981626,1494.838253,610.975485,0.920358,32734.537622
OpenAI-2M,8,fused-append-r2,float32,2321096,20000,64,128,160,43936.362456,1491.616273,610.728204,0.920246,32747.791684
OpenAI-2M,8,separate-append-r2,float32,2321096,20000,64,128,160,43748.584858,1491.259791,610.821645,0.920267,32742.782060
YFCC-10M,8,separate-append-r1,uint8,10000000,100000,64,128,160,21982.693397,1593.930744,288.951781,0.955617,346078.503666
YFCC-10M,8,fused-append-r1,uint8,10000000,100000,64,128,160,21920.579894,1583.962642,288.524538,0.955435,346590.971753
YFCC-10M,8,fused-append-r2,uint8,10000000,100000,64,128,160,21946.853936,1592.399094,289.743906,0.955858,345132.366649
YFCC-10M,8,separate-append-r2,uint8,10000000,100000,64,128,160,22076.829937,1586.652979,289.922867,0.955447,344919.326422
