dataset,parts,implementation,dtype,rows,queries,graph_degree,intermediate_graph_degree,itopk,oracle_partition_build_ms_excluded,merge_api_e2e_ms,search_ms,recall,qps
Wiki-1M,8,baseline-instrumentation-r1,float32,1000000,10000,64,128,160,11814.370392,317.081258,148.918710,0.977067,67150.729415
Wiki-1M,8,no-instrumentation-r1,float32,1000000,10000,64,128,160,11930.350022,318.382305,148.316426,0.976683,67423.415394
Wiki-1M,8,no-instrumentation-r2,float32,1000000,10000,64,128,160,11759.357296,317.197858,149.317112,0.976975,66971.560500
Wiki-1M,8,baseline-instrumentation-r2,float32,1000000,10000,64,128,160,11766.235259,318.462626,149.300792,0.977350,66978.881130
OpenAI-2M,8,baseline-instrumentation-r1,float32,2321096,20000,64,128,160,44218.142118,1487.756651,610.274169,0.920512,32772.155559
OpenAI-2M,8,no-instrumentation-r1,float32,2321096,20000,64,128,160,44085.208826,1491.787916,610.717611,0.919950,32748.359700
OpenAI-2M,8,no-instrumentation-r2,float32,2321096,20000,64,128,160,45553.083315,1493.272645,610.874773,0.920200,32739.934409
OpenAI-2M,8,baseline-instrumentation-r2,float32,2321096,20000,64,128,160,44338.014371,1491.800676,610.865973,0.920004,32740.406053
YFCC-10M,8,baseline-instrumentation-r1,uint8,10000000,100000,64,128,160,21794.353816,1583.071553,288.298921,0.955988,346862.206952
YFCC-10M,8,no-instrumentation-r1,uint8,10000000,100000,64,128,160,21830.437757,1585.219166,287.008313,0.955594,348421.963652
YFCC-10M,8,no-instrumentation-r2,uint8,10000000,100000,64,128,160,21851.404445,1583.205354,288.483442,0.955438,346640.345480
YFCC-10M,8,baseline-instrumentation-r2,uint8,10000000,100000,64,128,160,22013.450068,1585.954792,288.768961,0.955532,346297.606411
