dataset,parts,implementation,dtype,rows,queries,graph_degree,intermediate_graph_degree,itopk,oracle_partition_build_ms_excluded,merge_api_e2e_ms,search_ms,recall,qps
Wiki-1M,8,compile-time-policy-r1,float32,1000000,10000,64,128,160,11690.709039,317.141271,148.428190,0.977050,67372.646665
Wiki-1M,8,runtime-policy-r1,float32,1000000,10000,64,128,160,11627.411674,317.793836,148.945114,0.977342,67138.825380
Wiki-1M,8,runtime-policy-r2,float32,1000000,10000,64,128,160,11796.873920,317.232992,148.407311,0.977225,67382.125130
Wiki-1M,8,compile-time-policy-r2,float32,1000000,10000,64,128,160,11543.436616,318.449800,149.528678,0.976800,66876.803392
OpenAI-2M,8,compile-time-policy-r1,float32,2321096,20000,64,128,160,43718.698420,1487.490488,610.481110,0.920571,32761.046447
OpenAI-2M,8,runtime-policy-r1,float32,2321096,20000,64,128,160,43911.456814,1490.531987,610.701232,0.920037,32749.238010
OpenAI-2M,8,runtime-policy-r2,float32,2321096,20000,64,128,160,44363.369669,1492.745801,610.577511,0.920462,32755.873971
OpenAI-2M,8,compile-time-policy-r2,float32,2321096,20000,64,128,160,44236.788098,1494.085250,610.709631,0.920321,32748.787615
YFCC-10M,8,compile-time-policy-r1,uint8,10000000,100000,64,128,160,21708.802205,1583.454583,287.440841,0.955457,347897.674012
YFCC-10M,8,runtime-policy-r1,uint8,10000000,100000,64,128,160,21825.779321,1593.423551,289.302177,0.955589,345659.341513
YFCC-10M,8,runtime-policy-r2,uint8,10000000,100000,64,128,160,21590.175468,1583.121396,289.810501,0.955660,345053.059344
YFCC-10M,8,compile-time-policy-r2,uint8,10000000,100000,64,128,160,21831.175614,1583.076996,289.845581,0.955478,345011.297585
