dataset,parts,implementation,dtype,rows,queries,graph_degree,intermediate_graph_degree,itopk,oracle_partition_build_ms_excluded,merge_api_e2e_ms,search_ms,recall,qps
Wiki-1M,8,separate-gather-r1,float32,1000000,10000,64,128,160,11877.633931,318.140702,149.272746,0.977125,66991.465408
Wiki-1M,8,unified-gather-r1,float32,1000000,10000,64,128,160,11681.305896,317.175496,148.684102,0.977158,67256.686260
Wiki-1M,8,unified-gather-r2,float32,1000000,10000,64,128,160,11766.806021,316.536732,148.461821,0.976692,67357.384765
Wiki-1M,8,separate-gather-r2,float32,1000000,10000,64,128,160,11820.310135,317.755619,148.861904,0.977083,67176.354267
OpenAI-2M,8,separate-gather-r1,float32,2321096,20000,64,128,160,43670.487602,1489.311760,610.146951,0.919892,32778.988680
OpenAI-2M,8,unified-gather-r1,float32,2321096,20000,64,128,160,43838.583193,1491.612895,610.695515,0.919963,32749.544591
OpenAI-2M,8,unified-gather-r2,float32,2321096,20000,64,128,160,45035.056458,1495.769282,610.599634,0.920525,32754.687174
OpenAI-2M,8,separate-gather-r2,float32,2321096,20000,64,128,160,44123.325954,1493.773829,610.706395,0.920783,32748.961144
YFCC-10M,8,separate-gather-r1,uint8,10000000,100000,64,128,160,22029.776129,1585.323165,286.822577,0.955644,348647.589203
YFCC-10M,8,unified-gather-r1,uint8,10000000,100000,64,128,160,21800.273667,1595.336992,288.782630,0.955386,346281.215044
YFCC-10M,8,unified-gather-r2,uint8,10000000,100000,64,128,160,22118.283611,1595.276911,288.699469,0.955543,346380.962689
YFCC-10M,8,separate-gather-r2,uint8,10000000,100000,64,128,160,21843.848596,1584.400719,289.807717,0.955621,345056.374051
