dataset,parts,implementation,dtype,rows,queries,graph_degree,intermediate_graph_degree,itopk,oracle_partition_build_ms_excluded,merge_api_e2e_ms,search_ms,recall,qps
Wiki-1M,8,separate-topk-r1,float32,1000000,10000,64,128,160,12126.851509,316.878625,149.343335,0.977083,66959.801052
Wiki-1M,8,unified-topk-r1,float32,1000000,10000,64,128,160,11724.399268,317.142706,149.219335,0.977192,67015.444078
Wiki-1M,8,unified-topk-r2,float32,1000000,10000,64,128,160,11796.655801,317.247066,149.447776,0.977100,66913.006454
Wiki-1M,8,separate-topk-r2,float32,1000000,10000,64,128,160,11845.949629,318.671156,148.660411,0.976692,67267.404501
OpenAI-2M,8,separate-topk-r1,float32,2321096,20000,64,128,160,43970.303645,1489.779752,610.683488,0.920217,32750.189571
OpenAI-2M,8,unified-topk-r1,float32,2321096,20000,64,128,160,44716.918752,1491.656924,610.860690,0.920550,32740.689207
OpenAI-2M,8,unified-topk-r2,float32,2321096,20000,64,128,160,44113.311032,1493.215895,610.801769,0.920683,32743.847538
OpenAI-2M,8,separate-topk-r2,float32,2321096,20000,64,128,160,44446.063321,1493.402616,611.118892,0.920238,32726.856037
YFCC-10M,8,separate-topk-r1,uint8,10000000,100000,64,128,160,21692.307933,1583.539346,285.903293,0.955476,349768.619139
YFCC-10M,8,unified-topk-r1,uint8,10000000,100000,64,128,160,21757.791615,1584.124030,288.424590,0.955658,346711.076195
YFCC-10M,8,unified-topk-r2,uint8,10000000,100000,64,128,160,21737.181835,1584.176110,288.303349,0.955368,346856.879557
YFCC-10M,8,separate-topk-r2,uint8,10000000,100000,64,128,160,21661.547565,1593.961416,289.133675,0.955773,345860.785673
