mode,build_path,parts,runs,total_mean_s,total_min_s,total_max_s,savings_vs_naive_s,reduction_vs_naive_pct,speedup_vs_naive_x,savings_vs_prefetch1_s,reduction_vs_prefetch1_pct,prepare_excluded_mean_s,device_alloc_mean_ms,download_mean_s,download_effective_mean_mib_s,disk_read_active_mean_s,h2d_active_mean_s,load_wall_sum_mean_s,build_sum_mean_s,build_wait_mean_s,merge_mean_s,serial_work_mean_s,overlap_saved_mean_s,load_build_overlap_mean_s,download_build_overlap_mean_s,download_load_overlap_mean_s
local,naive-host,1,2,90.576442,88.277563,92.875320,0.000000,0.000000,1.000000,-1.851802,-2.087133,50.137155,0.000000,0.000000,0.000000,13.923920,0.000000,25.854147,64.722276,0.000001,0.000000,90.576424,-0.000018,0.000000,0.000000,0.000000
local,prefetch-device,1,2,88.724640,87.328772,90.120508,1.851802,2.044463,1.020871,0.000000,0.000000,50.652698,1.682732,0.000000,0.000000,15.728512,2.166712,18.827812,69.894325,18.828335,0.000000,88.723820,-0.000821,0.000000,0.000000,0.000000
local,prefetch-device,2,2,88.831407,87.286155,90.376659,1.745035,1.926588,1.019644,-0.106767,-0.120335,54.667772,1.568391,0.000000,0.000000,16.004934,2.783147,20.098586,69.153534,9.685651,9.990341,99.244029,10.412622,10.413373,0.000000,0.000000
local,prefetch-device,4,2,83.876422,83.013987,84.738858,6.700020,7.397089,1.079880,4.848218,5.464342,61.430168,2.530997,0.000000,0.000000,16.723274,2.612621,20.768141,68.819410,5.067961,9.986159,99.576241,15.699818,15.700690,0.000000,0.000000
local,prefetch-device,8,2,81.304761,81.079993,81.529530,9.271681,10.236305,1.114036,7.419879,8.362817,63.742041,2.317276,0.000000,0.000000,17.525180,2.588186,21.799491,68.730987,2.591820,9.979250,100.512045,19.207284,19.208135,0.000000,0.000000
network,naive-host,1,2,117.125776,115.031745,119.219808,0.000000,0.000000,1.000000,-6.859544,-6.220893,26.327711,0.000000,36.067076,812.288603,4.812664,0.000000,14.050927,67.007451,36.067168,0.000000,117.125454,-0.000322,0.000000,0.000000,0.000000
network,prefetch-single-build,8,2,105.877757,105.104185,106.651329,11.248019,9.603368,1.106236,4.388476,3.979891,26.064977,1.676990,36.067095,812.288171,5.242046,2.162689,5.289981,69.155959,36.719759,0.000000,110.514713,4.636956,0.000000,0.000000,4.635672
network,prefetch-device,1,2,110.266232,110.191493,110.340972,6.859544,5.856562,1.062209,0.000000,0.000000,26.704717,1.659292,36.067083,812.288452,4.977206,2.158442,4.994777,69.203830,41.060244,0.000000,110.267350,0.001117,0.000000,0.000000,0.000000
network,prefetch-device,2,2,98.780494,98.608810,98.952179,18.345282,15.662890,1.185718,11.485738,10.416369,26.704325,1.602952,36.068420,812.258347,5.245615,2.237829,5.275224,68.173376,20.609893,9.995111,119.513734,20.733240,2.697376,15.456786,2.577848
network,prefetch-device,4,2,87.786789,87.456135,88.117444,29.338987,25.049129,1.334207,22.479443,20.386516,26.259124,1.938655,36.067075,812.288638,5.255944,2.466767,5.642535,67.537416,10.264260,9.982649,119.231614,31.444824,4.393219,25.800695,4.336361
network,prefetch-device,8,2,82.183522,81.787441,82.579603,34.942254,29.833103,1.425173,28.082710,25.468096,26.593304,2.412838,36.067075,812.288642,5.249457,2.388897,5.463892,67.086586,5.131602,9.962333,118.582297,36.398775,4.838388,30.932846,4.792928
