run,order,naive_total_s,prefetch_total_s,naive_minus_prefetch_s
1,naive-first,88.277563,87.328772,0.948791
2,prefetch-first,92.875320,90.120508,2.754812
3,naive-first,88.823130,89.086322,-0.263192
4,prefetch-first,92.664951,89.687375,2.977576
5,naive-first,89.535207,89.136836,0.398371
6,prefetch-first,92.477258,89.508727,2.968532
7,naive-first,90.757454,89.303824,1.453630
8,prefetch-first,91.367986,89.706079,1.661908
9,naive-first,92.675626,89.560457,3.115169
10,prefetch-first,93.863805,88.719466,5.144339
