dataset,mode,build_path,parts,run,part,row_offset,rows,payload_bytes,download_start_ms,download_end_ms,load_start_ms,load_end_ms,load_wall_ms,disk_read_active_ms,h2d_active_ms,build_wait_ms,build_start_ms,build_end_ms,build_ms
openai_5m,local,naive-host,1,3,0,0,5000000,30720000000,0.000000,0.000000,0.000720,25053.301449,25053.300729,13355.798071,0.000000,0.000480,25053.301489,88823.110952,63769.809463
openai_5m,local,prefetch-device,1,3,0,0,5000000,30720000000,0.000000,0.000000,2.355175,18718.456183,18716.101008,15581.984995,2167.099553,18716.632092,18718.528744,89086.229206,70367.700462
openai_5m,local,prefetch-device,1,4,0,0,5000000,30720000000,0.000000,0.000000,2.353657,18959.333544,18956.979887,15813.267249,2166.839105,18957.591372,18959.463185,89687.279664,70727.816479
openai_5m,local,naive-host,1,4,0,0,5000000,30720000000,0.000000,0.000000,0.000640,26568.917257,26568.916617,14541.933852,0.000000,0.000400,26568.917297,92664.932199,66096.014902
openai_5m,local,naive-host,1,5,0,0,5000000,30720000000,0.000000,0.000000,0.000560,25158.803189,25158.802629,13382.149364,0.000000,0.000360,25158.803229,89535.187702,64376.384473
openai_5m,local,prefetch-device,1,5,0,0,5000000,30720000000,0.000000,0.000000,2.289175,18471.076513,18468.787338,15348.818931,2165.113502,18469.306741,18471.139913,89136.726609,70665.586696
openai_5m,local,prefetch-device,1,6,0,0,5000000,30720000000,0.000000,0.000000,2.349056,18811.854500,18809.505444,15672.976621,2165.307394,18810.041848,18811.909701,89508.623333,70696.713632
openai_5m,local,naive-host,1,6,0,0,5000000,30720000000,0.000000,0.000000,0.000680,26506.263622,26506.262942,14323.379973,0.000000,0.000440,26506.264022,92477.237726,65970.973704
openai_5m,local,naive-host,1,7,0,0,5000000,30720000000,0.000000,0.000000,0.000960,26094.280322,26094.279362,14031.325729,0.000000,0.000360,26094.280602,90757.435866,64663.155264
openai_5m,local,prefetch-device,1,7,0,0,5000000,30720000000,0.000000,0.000000,2.192417,18682.694268,18680.501851,15526.360576,2164.875874,18680.901095,18682.744589,89303.697607,70620.953018
openai_5m,local,prefetch-device,1,8,0,0,5000000,30720000000,0.000000,0.000000,2.324896,18893.215220,18890.890324,15711.148478,2164.898626,18891.402727,18893.262100,89705.979989,70812.717889
openai_5m,local,naive-host,1,8,0,0,5000000,30720000000,0.000000,0.000000,0.000680,26007.133445,26007.132765,13912.350039,0.000000,0.000440,26007.133485,91367.967049,65360.833564
openai_5m,local,naive-host,1,9,0,0,5000000,30720000000,0.000000,0.000000,0.000600,26866.766233,26866.765633,14602.811750,0.000000,0.000360,26866.766273,92675.607504,65808.841231
openai_5m,local,prefetch-device,1,9,0,0,5000000,30720000000,0.000000,0.000000,2.212417,18871.862911,18869.650494,15718.744063,2165.191294,18870.051138,18871.899592,89560.350883,70688.451291
openai_5m,local,prefetch-device,1,10,0,0,5000000,30720000000,0.000000,0.000000,2.298457,18276.290183,18273.991726,15119.913171,2165.407651,18274.474129,18276.334583,88719.372872,70443.038289
openai_5m,local,naive-host,1,10,0,0,5000000,30720000000,0.000000,0.000000,0.000560,26860.993851,26860.993291,14674.925353,0.000000,0.000320,26860.993891,93863.786541,67002.792650
