dataset,mode,build_path,parts,run,rows,dim,data_bytes,network_target_s,prepare_ms_excluded,device_alloc_ms,download_wall_ms,download_achieved_mib_s,disk_read_active_ms,h2d_active_ms,load_wall_sum_ms,build_sum_ms,build_wait_ms,merge_ms,total_ms,serial_work_ms,overlap_saved_ms,load_build_overlap_ms,download_build_overlap_ms,download_load_overlap_ms,allocation_download_overlap_ms,graph_degree,intermediate_graph_degree,valid
openai_5m,local,naive-host,1,3,5000000,1536,30720000000,0.000000,55338.879312,0.000000,0.000000,0.000000,13355.798071,0.000000,25053.300729,63769.809463,0.000480,0.000000,88823.130272,88823.110192,-0.020080,0.000000,0.000000,0.000000,0.000000,64,128,1
openai_5m,local,prefetch-device,1,3,5000000,1536,30720000000,0.000000,47424.291888,1.689130,0.000000,0.000000,15581.984995,2167.099553,18716.101008,70367.700462,18716.632092,0.000000,89086.322447,89085.490600,-0.831847,0.000000,0.000000,0.000000,0.000000,64,128,1
openai_5m,local,prefetch-device,1,4,5000000,1536,30720000000,0.000000,48627.087422,1.683652,0.000000,0.000000,15813.267249,2166.839105,18956.979887,70727.816479,18957.591372,0.000000,89687.374905,89686.480018,-0.894887,0.000000,0.000000,0.000000,0.000000,64,128,1
openai_5m,local,naive-host,1,4,5000000,1536,30720000000,0.000000,50771.455646,0.000000,0.000000,0.000000,14541.933852,0.000000,26568.916617,66096.014902,0.000400,0.000000,92664.951279,92664.931519,-0.019760,0.000000,0.000000,0.000000,0.000000,64,128,1
openai_5m,local,naive-host,1,5,5000000,1536,30720000000,0.000000,49329.890315,0.000000,0.000000,0.000000,13382.149364,0.000000,25158.802629,64376.384473,0.000360,0.000000,89535.207423,89535.187102,-0.020321,0.000000,0.000000,0.000000,0.000000,64,128,1
openai_5m,local,prefetch-device,1,5,5000000,1536,30720000000,0.000000,45610.493297,1.650451,0.000000,0.000000,15348.818931,2165.113502,18468.787338,70665.586696,18469.306741,0.000000,89136.836410,89136.024485,-0.811925,0.000000,0.000000,0.000000,0.000000,64,128,1
openai_5m,local,prefetch-device,1,6,5000000,1536,30720000000,0.000000,54274.473431,1.677011,0.000000,0.000000,15672.976621,2165.307394,18809.505444,70696.713632,18810.041848,0.000000,89508.726773,89507.896087,-0.830686,0.000000,0.000000,0.000000,0.000000,64,128,1
openai_5m,local,naive-host,1,6,5000000,1536,30720000000,0.000000,48586.196998,0.000000,0.000000,0.000000,14323.379973,0.000000,26506.262942,65970.973704,0.000440,0.000000,92477.258406,92477.236646,-0.021760,0.000000,0.000000,0.000000,0.000000,64,128,1
openai_5m,local,naive-host,1,7,5000000,1536,30720000000,0.000000,52077.871877,0.000000,0.000000,0.000000,14031.325729,0.000000,26094.279362,64663.155264,0.000360,0.000000,90757.453906,90757.434626,-0.019280,0.000000,0.000000,0.000000,0.000000,64,128,1
openai_5m,local,prefetch-device,1,7,5000000,1536,30720000000,0.000000,51776.002928,1.655093,0.000000,0.000000,15526.360576,2164.875874,18680.501851,70620.953018,18680.901095,0.000000,89303.824368,89303.109962,-0.714406,0.000000,0.000000,0.000000,0.000000,64,128,1
openai_5m,local,prefetch-device,1,8,5000000,1536,30720000000,0.000000,50283.021203,1.640691,0.000000,0.000000,15711.148478,2164.898626,18890.890324,70812.717889,18891.402727,0.000000,89706.078629,89705.248904,-0.829725,0.000000,0.000000,0.000000,0.000000,64,128,1
openai_5m,local,naive-host,1,8,5000000,1536,30720000000,0.000000,50771.916488,0.000000,0.000000,0.000000,13912.350039,0.000000,26007.132765,65360.833564,0.000440,0.000000,91367.986489,91367.966329,-0.020160,0.000000,0.000000,0.000000,0.000000,64,128,1
openai_5m,local,naive-host,1,9,5000000,1536,30720000000,0.000000,53037.314698,0.000000,0.000000,0.000000,14602.811750,0.000000,26866.765633,65808.841231,0.000360,0.000000,92675.626064,92675.606864,-0.019200,0.000000,0.000000,0.000000,0.000000,64,128,1
openai_5m,local,prefetch-device,1,9,5000000,1536,30720000000,0.000000,48630.752592,1.678933,0.000000,0.000000,15718.744063,2165.191294,18869.650494,70688.451291,18870.051138,0.000000,89560.457484,89559.780718,-0.676766,0.000000,0.000000,0.000000,0.000000,64,128,1
openai_5m,local,prefetch-device,1,10,5000000,1536,30720000000,0.000000,50335.626045,1.659853,0.000000,0.000000,15119.913171,2165.407651,18273.991726,70443.038289,18274.474129,0.000000,88719.466233,88718.689868,-0.776365,0.000000,0.000000,0.000000,0.000000,64,128,1
openai_5m,local,naive-host,1,10,5000000,1536,30720000000,0.000000,49518.369453,0.000000,0.000000,0.000000,14674.925353,0.000000,26860.993291,67002.792650,0.000320,0.000000,93863.805262,93863.785941,-0.019321,0.000000,0.000000,0.000000,0.000000,64,128,1
