dataset,mode,build_path,parts,run,part,row_offset,rows,payload_bytes,download_start_ms,download_end_ms,load_start_ms,load_end_ms,load_wall_ms,disk_read_active_ms,h2d_active_ms,build_wait_ms,build_start_ms,build_end_ms,build_ms
openai_5m,local,naive-host,1,1,0,0,5000000,30720000000,0.000000,0.000000,0.000680,24769.316412,24769.315732,13261.314329,0.000000,0.000440,24769.316452,88277.545993,63508.229541
openai_5m,local,prefetch-device,1,1,0,0,5000000,30720000000,0.000000,0.000000,2.376215,18174.150373,18171.774158,15320.620877,2166.673151,18172.311522,18174.204014,87328.677590,69154.473576
openai_5m,local,prefetch-device,2,1,0,0,2500000,15360000000,0.000000,0.000000,2.105733,8930.779991,8928.674258,7460.977234,1083.398175,8929.033581,8930.821032,43032.178430,34101.357398
openai_5m,local,prefetch-device,2,1,1,2500000,2500000,15360000000,0.000000,0.000000,8930.976153,18746.630939,9815.654786,7551.677118,1651.028609,0.000400,43032.221830,77296.221064,34263.999234
openai_5m,local,prefetch-device,4,1,0,0,1250000,7680000000,0.000000,0.000000,2.555896,4638.447894,4635.891998,3864.290175,541.878881,4636.420121,4638.494694,21802.389644,17163.894950
openai_5m,local,prefetch-device,4,1,1,1250000,1250000,7680000000,0.000000,0.000000,4638.812216,9928.834848,5290.022632,3897.574268,827.190365,0.000360,21802.434165,38818.311895,17015.877730
openai_5m,local,prefetch-device,4,1,2,2500000,1250000,7680000000,0.000000,0.000000,9929.191450,14574.050745,4644.859295,3912.848408,571.873825,0.000320,38818.326735,55911.477676,17093.150941
openai_5m,local,prefetch-device,4,1,3,3750000,1250000,7680000000,0.000000,0.000000,14574.421867,19256.519638,4682.097771,3944.906970,573.605057,0.000360,55911.491997,73028.826491,17117.334494
openai_5m,local,prefetch-device,8,1,0,0,625000,3840000000,0.000000,0.000000,3.024139,2454.209544,2451.185405,2038.758707,270.999839,2451.730888,2454.251864,11088.196410,8633.944546
openai_5m,local,prefetch-device,8,1,1,625000,625000,3840000000,0.000000,0.000000,2454.567146,5099.426221,2644.859075,2056.696344,451.556358,0.000720,11088.236690,19687.847617,8599.610927
openai_5m,local,prefetch-device,8,1,2,1250000,625000,3840000000,0.000000,0.000000,5099.782183,7515.126481,2415.344298,2030.804976,289.563552,0.000360,19687.862377,28223.252057,8535.389680
openai_5m,local,prefetch-device,8,1,3,1875000,625000,3840000000,0.000000,0.000000,7515.491003,9937.909185,2422.418182,2016.620528,286.246146,0.000360,28223.265537,36756.733164,8533.467627
openai_5m,local,prefetch-device,8,1,4,2500000,625000,3840000000,0.000000,0.000000,9938.267668,12617.449561,2679.181893,2067.893092,394.372991,0.000280,36756.747885,45329.221840,8572.473955
openai_5m,local,prefetch-device,8,1,5,3125000,625000,3840000000,0.000000,0.000000,12617.790843,15096.888705,2479.097862,2065.258721,295.871263,0.000560,45329.237640,53957.405628,8628.167988
openai_5m,local,prefetch-device,8,1,6,3750000,625000,3840000000,0.000000,0.000000,15097.240307,17574.968241,2477.727934,2062.581014,303.994177,0.000360,53957.420629,62544.800958,8587.380329
openai_5m,local,prefetch-device,8,1,7,4375000,625000,3840000000,0.000000,0.000000,17575.311323,20202.808607,2627.497284,2090.591552,321.646750,0.000360,62544.814478,71096.157659,8551.343181
openai_5m,network,prefetch-device,8,1,0,0,625000,3840000000,0.224442,4508.673823,4508.866024,5110.835970,601.969946,596.277982,270.007519,5108.132188,5110.879850,13482.303837,8371.423987
openai_5m,network,prefetch-device,8,1,1,625000,625000,3840000000,4508.698543,9017.036083,9017.116323,9651.582609,634.466286,628.479552,287.553086,0.000240,13482.342958,21781.307444,8298.964486
openai_5m,network,prefetch-device,8,1,2,1250000,625000,3840000000,9017.051403,13525.417263,13525.497184,14334.322547,808.825363,658.373955,389.873149,0.000560,21781.321685,30120.905137,8339.583452
openai_5m,network,prefetch-device,8,1,3,1875000,625000,3840000000,13525.432183,18033.799083,18033.884924,18667.432043,633.547119,627.500713,288.163583,0.000240,30120.919017,38470.910223,8349.991206
openai_5m,network,prefetch-device,8,1,4,2500000,625000,3840000000,18033.816004,22542.160664,22542.235144,23169.277731,627.042587,621.110903,283.507041,0.000240,38470.923703,46814.307915,8343.384212
openai_5m,network,prefetch-device,8,1,5,3125000,625000,3840000000,22542.175584,27050.546764,27050.629445,27683.947762,633.318317,627.280671,289.327425,0.000320,46814.322395,55144.731756,8330.409361
openai_5m,network,prefetch-device,8,1,6,3750000,625000,3840000000,27050.564124,31558.920664,31559.003105,32183.594844,624.591739,618.857023,284.877696,0.000480,55144.745956,63479.233385,8334.487429
openai_5m,network,prefetch-device,8,1,7,4375000,625000,3840000000,31558.937865,36067.309703,36067.458464,36717.211198,649.752734,644.805900,288.133760,0.000280,63479.246585,71841.281728,8362.035143
openai_5m,network,prefetch-device,4,1,0,0,1250000,7680000000,0.212922,9017.030554,9017.212355,10168.300538,1151.088183,1144.862691,539.809856,10166.075523,10168.350299,26983.715348,16815.365049
openai_5m,network,prefetch-device,4,1,1,1250000,1250000,7680000000,9017.052194,18033.774146,18033.832867,19278.389907,1244.557040,1237.609430,572.688578,0.000360,26983.757388,43852.860496,16869.103108
openai_5m,network,prefetch-device,4,1,2,2500000,1250000,7680000000,18033.786626,27050.527938,27050.605699,28710.665665,1660.059966,1340.019914,751.990784,0.000360,43852.874816,60695.633578,16842.758762
openai_5m,network,prefetch-device,4,1,3,3750000,1250000,7680000000,27050.542298,36067.282730,36067.380931,37307.748182,1240.367251,1233.526639,572.484130,0.000280,60695.647698,77484.841083,16789.193385
openai_5m,network,prefetch-device,2,1,0,0,2500000,15360000000,0.231122,18033.807020,18033.990102,20636.283565,2602.293463,2588.010633,1080.934883,20634.349831,20636.329685,54793.992299,34157.662614
openai_5m,network,prefetch-device,2,1,1,2500000,2500000,15360000000,18033.835261,36067.312464,36067.406584,38819.983279,2752.576695,2737.343254,1157.837218,0.000640,54794.051939,88951.393190,34157.341251
openai_5m,network,prefetch-device,1,1,0,0,5000000,30720000000,0.207762,36067.275513,36067.418194,40910.904433,4843.486239,4825.591506,2158.659260,40908.923738,40910.949114,110340.834549,69429.885435
openai_5m,network,naive-host,1,1,0,0,5000000,30720000000,0.227441,36067.305493,36067.362254,50242.485862,14175.123608,4753.803174,0.000000,36067.169533,50242.485982,119219.791016,68977.305034
openai_5m,local,prefetch-device,8,2,0,0,625000,3840000000,0.000000,0.000000,2.931460,2734.343838,2731.412378,2236.054309,270.782497,2731.903781,2734.391558,11402.274289,8667.882731
openai_5m,local,prefetch-device,8,2,1,625000,625000,3840000000,0.000000,0.000000,2734.524319,5763.723698,3029.199379,2317.316579,393.635106,0.000680,11402.318169,20082.021899,8679.703730
openai_5m,local,prefetch-device,8,2,2,1250000,625000,3840000000,0.000000,0.000000,5763.926220,8601.635598,2837.709378,2308.607360,291.466400,0.000360,20082.036180,28673.083797,8591.047617
openai_5m,local,prefetch-device,8,2,3,1875000,625000,3840000000,0.000000,0.000000,8601.987481,11644.817431,3042.829950,2380.257077,324.394143,0.000360,28673.097957,37226.665323,8553.567366
openai_5m,local,prefetch-device,8,2,4,2500000,625000,3840000000,0.000000,0.000000,11645.193074,14608.398812,2963.205738,2342.750629,356.838241,0.000360,37226.704003,45815.222604,8588.518601
openai_5m,local,prefetch-device,8,2,5,3125000,625000,3840000000,0.000000,0.000000,14609.005456,17500.603795,2891.598339,2322.187773,289.260928,0.000280,45815.236564,54394.322941,8579.086377
openai_5m,local,prefetch-device,8,2,6,3750000,625000,3840000000,0.000000,0.000000,17501.381760,20487.736933,2986.355173,2335.434695,340.652926,0.000320,54394.336381,63004.330405,8609.994024
openai_5m,local,prefetch-device,8,2,7,4375000,625000,3840000000,0.000000,0.000000,20488.092335,23407.451140,2919.358805,2378.547556,295.090654,0.000360,63004.344085,71554.740110,8550.396025
openai_5m,local,prefetch-device,4,2,0,0,1250000,7680000000,0.000000,0.000000,3.829986,5502.840843,5499.010857,4498.042813,541.721089,5499.499460,5502.883523,22914.586173,17411.702650
openai_5m,local,prefetch-device,4,2,1,1250000,1250000,7680000000,0.000000,0.000000,5503.173005,11275.344530,5772.171525,4420.091132,861.948638,0.000320,22914.628413,40161.753083,17247.124670
openai_5m,local,prefetch-device,4,2,2,2500000,1250000,7680000000,0.000000,0.000000,11275.688692,16617.028335,5341.339643,4411.352189,583.628960,0.000360,40161.766883,57461.876746,17300.109863
openai_5m,local,prefetch-device,4,2,3,3750000,1250000,7680000000,0.000000,0.000000,16617.377097,22288.265384,5670.888287,4497.442961,723.394590,0.000360,57461.890666,74751.515020,17289.624354
openai_5m,local,prefetch-device,2,2,0,0,2500000,15360000000,0.000000,0.000000,2.229098,10443.981169,10441.752071,8590.236367,1083.331135,10442.267116,10444.028210,45373.421930,34929.393720
openai_5m,local,prefetch-device,2,2,1,2500000,2500000,15360000000,0.000000,0.000000,10444.184211,21455.274562,11011.090351,8406.976580,1748.536986,0.000480,45373.465170,80385.782264,35012.317094
openai_5m,local,prefetch-device,1,2,0,0,5000000,30720000000,0.000000,0.000000,2.333176,19486.182134,19483.848958,16136.402843,2166.750216,19484.357521,19486.227094,90120.404456,70634.177362
openai_5m,local,naive-host,1,2,0,0,5000000,30720000000,0.000000,0.000000,0.001000,26938.979871,26938.978871,14586.526663,0.000000,0.000760,26938.979911,92875.302802,65936.322891
openai_5m,network,naive-host,1,2,0,0,5000000,30720000000,0.234762,36067.309272,36067.400473,49994.130110,13926.729637,4871.523837,0.000000,36067.166112,49994.130390,115031.728329,65037.597939
openai_5m,network,prefetch-device,1,2,0,0,5000000,30720000000,0.229601,36067.327832,36067.486153,41213.553736,5146.067583,5128.821064,2158.224194,41211.563802,41213.593976,110191.369194,68977.775218
openai_5m,network,prefetch-device,2,2,0,0,2500000,15360000000,0.215562,18033.776652,18033.935894,20587.339090,2553.403196,2538.805172,1081.193506,20585.435154,20587.384930,54566.565443,33979.180513
openai_5m,network,prefetch-device,2,2,1,2500000,2500000,15360000000,18033.798092,36069.973843,36072.040619,38714.215663,2642.175044,2627.070605,1155.692736,0.000360,54566.607523,88619.176125,34052.568602
openai_5m,network,prefetch-device,4,2,0,0,1250000,7680000000,0.222562,9017.042668,9017.209549,10364.711516,1347.501967,1340.040747,540.574431,10362.442418,10364.759196,27316.154803,16951.395607
openai_5m,network,prefetch-device,4,2,1,1250000,1250000,7680000000,9017.068108,18033.795092,18033.870253,19450.916919,1417.046666,1409.139484,577.899712,0.000400,27316.198204,44291.341889,16975.143685
openai_5m,network,prefetch-device,4,2,2,2500000,1250000,7680000000,18033.815733,27050.752833,27050.819514,28903.287947,1852.468433,1442.405721,801.502006,0.000360,44291.356289,61187.588316,16896.232027
openai_5m,network,prefetch-device,4,2,3,3750000,1250000,7680000000,27050.770674,36067.302203,36067.390844,37439.372201,1371.981357,1364.283308,576.584352,0.000320,61187.602436,78123.243332,16935.640896
openai_5m,network,prefetch-device,8,2,0,0,625000,3840000000,0.218761,4508.667428,4508.843709,5157.834895,648.991186,643.589342,270.010111,5155.066756,5157.878655,13602.180923,8444.302268
openai_5m,network,prefetch-device,8,2,1,625000,625000,3840000000,4508.691508,9017.030133,9017.846299,9705.170626,687.324327,681.399964,288.551744,0.000360,13602.227523,22046.085507,8443.857984
openai_5m,network,prefetch-device,8,2,2,1250000,625000,3840000000,9017.047813,13525.415879,13525.488520,14434.125476,908.636956,706.275654,391.930469,0.000320,22046.098587,30467.664100,8421.565513
openai_5m,network,prefetch-device,8,2,3,1875000,625000,3840000000,13525.433239,18035.763678,18038.845819,18726.423668,687.577849,683.849666,296.192865,0.000320,30467.678540,38929.573527,8461.894987
openai_5m,network,prefetch-device,8,2,4,2500000,625000,3840000000,18035.787438,22542.155850,22542.278891,23230.616906,688.338015,684.959189,283.545921,0.000360,38929.587368,47363.312323,8433.724955
openai_5m,network,prefetch-device,8,2,5,3125000,625000,3840000000,22542.168371,27050.543516,27050.630797,27746.572383,695.941586,690.569586,289.619874,0.000320,47363.325283,55775.064488,8411.739205
openai_5m,network,prefetch-device,8,2,6,3750000,625000,3840000000,27050.559196,31558.915982,31559.008983,32264.292792,705.283809,699.346452,282.756288,0.000360,55775.078169,64196.694521,8421.616352
openai_5m,network,prefetch-device,8,2,7,4375000,625000,3840000000,31558.932622,36067.282648,36067.368328,36759.544129,692.175801,686.236599,293.744383,0.000320,64196.708481,72600.899115,8404.190634
openai_5m,network,prefetch-single-build,8,1,0,0,625000,3840000000,0.225921,4508.675747,4508.862748,5189.622570,680.759822,674.707026,270.360862,0.000000,0.000000,0.000000,0.000000
openai_5m,network,prefetch-single-build,8,1,1,625000,625000,3840000000,4508.698867,9017.051812,9017.141573,9714.640372,697.498799,691.708002,270.235232,0.000000,0.000000,0.000000,0.000000
openai_5m,network,prefetch-single-build,8,1,2,1250000,625000,3840000000,9017.068812,13525.425198,13525.537358,14157.883260,632.345902,626.239029,270.352960,0.000000,0.000000,0.000000,0.000000
openai_5m,network,prefetch-single-build,8,1,3,1875000,625000,3840000000,13525.441118,18033.797943,18033.891304,18673.613608,639.722304,633.513587,270.408671,0.000000,0.000000,0.000000,0.000000
openai_5m,network,prefetch-single-build,8,1,4,2500000,625000,3840000000,18033.815103,22542.168369,22542.255729,23220.953179,678.697450,672.706783,270.391809,0.000000,0.000000,0.000000,0.000000
openai_5m,network,prefetch-single-build,8,1,5,3125000,625000,3840000000,22542.185249,27050.550194,27050.644075,27726.498108,675.854033,669.786760,270.439874,0.000000,0.000000,0.000000,0.000000
openai_5m,network,prefetch-single-build,8,1,6,3750000,625000,3840000000,27050.566954,31558.922899,31559.013420,32184.639963,625.626543,619.233230,270.379905,0.000000,0.000000,0.000000,0.000000
openai_5m,network,prefetch-single-build,8,1,7,4375000,625000,3840000000,31558.938060,36067.347565,36067.472246,36690.523574,623.051328,616.738133,270.256002,36688.528802,36690.592414,105104.179278,68413.586864
openai_5m,network,prefetch-single-build,8,2,0,0,625000,3840000000,0.200962,4508.653787,4508.824948,5197.602657,688.777709,683.176242,270.189216,0.000000,0.000000,0.000000,0.000000
openai_5m,network,prefetch-single-build,8,2,1,625000,625000,3840000000,4508.676468,9017.021253,9017.098773,9707.876293,690.777520,684.751885,270.366753,0.000000,0.000000,0.000000,0.000000
openai_5m,network,prefetch-single-build,8,2,2,1250000,625000,3840000000,9017.037173,13525.392158,13525.493959,14171.604300,646.110341,640.811553,270.366207,0.000000,0.000000,0.000000,0.000000
openai_5m,network,prefetch-single-build,8,2,3,1875000,625000,3840000000,13525.405398,18033.776504,18033.869664,18713.448199,679.578535,673.864944,270.163808,0.000000,0.000000,0.000000,0.000000
openai_5m,network,prefetch-single-build,8,2,4,2500000,625000,3840000000,18033.793384,22542.135969,22542.228690,23178.852336,636.623646,630.428251,270.413857,0.000000,0.000000,0.000000,0.000000
openai_5m,network,prefetch-single-build,8,2,5,3125000,625000,3840000000,22542.151249,27050.518875,27050.613395,27718.463622,667.850227,661.704345,270.452447,0.000000,0.000000,0.000000,0.000000
openai_5m,network,prefetch-single-build,8,2,6,3750000,625000,3840000000,27050.535995,31558.891220,31558.990221,32190.111635,631.121414,625.068504,270.286882,0.000000,0.000000,0.000000,0.000000
openai_5m,network,prefetch-single-build,8,2,7,4375000,625000,3840000000,31558.906140,36067.270206,36067.362566,36752.928776,685.566210,679.653688,270.313311,36750.990044,36752.991296,106651.322926,69898.331630
