dataset,mode,build_path,parts,run,rows,dim,data_bytes,network_target_s,prepare_ms_excluded,device_alloc_ms,download_wall_ms,download_achieved_mib_s,disk_read_active_ms,h2d_active_ms,load_wall_sum_ms,build_sum_ms,build_wait_ms,merge_ms,total_ms,serial_work_ms,overlap_saved_ms,load_build_overlap_ms,download_build_overlap_ms,download_load_overlap_ms,allocation_download_overlap_ms,graph_degree,intermediate_graph_degree,valid
openai_5m,local,naive-host,1,1,5000000,1536,30720000000,0.000000,45857.284980,0.000000,0.000000,0.000000,13261.314329,0.000000,24769.315732,63508.229541,0.000440,0.000000,88277.563273,88277.545273,-0.018000,0.000000,0.000000,0.000000,0.000000,64,128,1
openai_5m,local,prefetch-device,1,1,5000000,1536,30720000000,0.000000,46124.720963,1.698091,0.000000,0.000000,15320.620877,2166.673151,18171.774158,69154.473576,18172.311522,0.000000,87328.772391,87327.945825,-0.826566,0.000000,0.000000,0.000000,0.000000,64,128,1
openai_5m,local,prefetch-device,2,1,5000000,1536,30720000000,0.000000,53433.631587,1.567130,0.000000,0.000000,15012.654352,2734.426784,18744.329044,68365.356632,8929.033981,9989.870144,87286.155048,97101.122950,9814.967902,9815.654786,0.000000,0.000000,0.000000,64,128,1
openai_5m,local,prefetch-device,4,1,5000000,1536,30720000000,0.000000,59815.115185,1.894732,0.000000,0.000000,15619.619821,2514.548128,19252.871696,68390.258115,4636.421161,9985.095045,83013.986697,97630.119588,14616.132891,14616.979698,0.000000,0.000000,0.000000,64,128,1
openai_5m,local,prefetch-device,8,1,5000000,1536,30720000000,0.000000,61385.180155,2.334935,0.000000,0.000000,16429.204934,2614.251075,20197.311933,68641.778233,2451.733888,9983.770796,81079.992616,98825.195897,17745.203281,17746.071488,0.000000,0.000000,0.000000,64,128,1
openai_5m,network,prefetch-device,8,1,5000000,1536,30720000000,36.067000,26122.366684,2.385339,36067.085261,812.288401,5022.686699,2381.443259,5213.514091,66730.279276,5108.134548,9946.060894,81787.441463,117959.324861,36171.883398,4611.544145,30956.362611,4563.761357,2.354178,64,128,1
openai_5m,network,prefetch-device,4,1,5000000,1536,30720000000,36.067000,25484.651235,1.925534,36067.069808,812.288749,4956.018674,2436.973348,5296.072440,67316.420304,10166.076523,9971.200070,87456.134994,118652.688156,31196.553162,4144.984257,25898.890391,4055.705189,1.898613,64,128,1
openai_5m,network,prefetch-device,2,1,5000000,1536,30720000000,36.067000,26481.640893,1.604052,36067.081342,812.288489,5325.353887,2238.772100,5354.870158,68315.003865,20634.350471,10000.687802,98952.178513,119739.247219,20787.068706,2752.576695,15430.982779,2602.293463,1.575731,64,128,1
openai_5m,network,prefetch-device,1,1,5000000,1536,30720000000,36.067000,26171.606411,1.659133,36067.067751,812.288795,4825.591506,2158.659260,4843.486239,69429.885435,40908.923738,0.000000,110340.972030,110342.098558,1.126528,0.000000,0.000000,0.000000,1.628412,64,128,1
openai_5m,network,naive-host,1,1,5000000,1536,30720000000,36.067000,26312.504854,0.000000,36067.078052,812.288563,4753.803174,0.000000,14175.123608,68977.305034,36067.169533,0.000000,119219.807536,119219.506694,-0.300842,0.000000,0.000000,0.000000,0.000000,64,128,1
