label,rows,queries,topk,graph_degree,intermediate_graph_degree,seed_degree,candidate_strategy,insert_mode,replace_policy,sample_rate,selected_rows,candidate_count,replace_fraction,nnd_iterations,itopk_size,scratch_algo,bf_ms,scratch_build_ms,scratch_search_ms,scratch_recall,load_graph_ms,candidate_ms,seed_ms,nnd_ms,sort_ms,optimize_ms,index_ms,variant_build_ms,variant_search_ms,variant_recall
full_scratch_ivfpq,1000000,10000,12,64,128,0,random-global,append,random,1.000000,1000000,32,0.250000,20,64,ivf-pq,1475.367415,3218.447896,91.759225,0.974558,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,nan
full_seed_partition_only,1000000,10000,12,64,128,64,none,append,random,1.000000,1000000,0,0.250000,20,64,nn-descent,1482.773426,nan,nan,nan,2139.866504,0.010920,130.226687,54785.580028,306.055966,585.013067,19.809855,57966.563027,94.010081,0.982858
full_random_append32_iter5,1000000,10000,12,64,128,96,random-global,append,random,1.000000,1000000,32,0.250000,5,64,nn-descent,1493.761580,nan,nan,nan,2227.093019,175.198954,1930.377476,25253.989317,312.518370,591.510351,20.952383,30511.639870,99.247396,0.736817
full_seed_partition_only_iter5,1000000,10000,12,64,128,64,none,append,random,1.000000,1000000,0,0.250000,5,64,nn-descent,1498.490213,nan,nan,nan,2266.536928,0.010880,132.068140,22737.783008,316.274756,594.474372,22.598514,26069.746598,97.997348,0.919367
full_direct_partition_only,1000000,10000,12,64,128,64,none,append,random,1.000000,1000000,0,0.250000,20,64,nn-descent,1492.496892,nan,nan,nan,2216.903229,0.008961,130.717490,0.000000,177.612851,298.057752,21.301865,2844.602148,92.714832,0.489600
full_direct_random_append32,1000000,10000,12,64,128,96,random-global,append,random,1.000000,1000000,32,0.250000,20,64,nn-descent,1488.045942,nan,nan,nan,2223.195152,174.508869,1934.489425,0.000000,238.978189,385.272626,21.658108,4978.102369,99.080995,0.501500
full_direct_query_append32,1000000,10000,12,64,128,96,query-one,append,random,1.000000,1000000,32,0.250000,20,64,nn-descent,1492.045529,nan,nan,nan,2235.830665,8260.728844,1926.412932,0.000000,240.757686,390.688992,22.234992,13076.654111,60.278812,0.981642
full_direct_query_append32_sample10,1000000,10000,12,64,128,96,query-one,append,random,0.100000,100242,32,0.250000,20,64,nn-descent,1496.857395,nan,nan,nan,2198.314392,2651.096807,373.876077,0.000000,238.916474,387.330969,21.675588,5871.210307,64.640362,0.873067
full_direct_query_append32_sample50,1000000,10000,12,64,128,96,query-one,append,random,0.500000,499541,32,0.250000,20,64,nn-descent,1498.074644,nan,nan,nan,2272.572059,5202.374332,1079.031578,0.000000,242.860461,395.628785,22.755276,9215.222491,62.536948,0.959975
full_direct_query_append32_sample75,1000000,10000,12,64,128,96,query-one,append,random,0.750000,750360,32,0.250000,20,64,nn-descent,1498.399446,nan,nan,nan,2281.661681,6777.439422,1505.257013,0.000000,242.154256,391.060554,23.055398,11220.628324,61.418060,0.974125
