max_iters,term_thresh,ivf_sel,ivf_frac,ivf_cols,rand_cols,nn_iters,assembly_s,nndescent_s,optimize_s,build_s,search_s,recall,mean_q_recall,min_q_recall,succeeded,error_message
1,0.0001,random,0,0,128,1,0.189978,1.475103,0.609606,2.084709,0.040435,0.077750,0.077750,0.000000,1,
1,0.000100,random,0.250000,32,96,1,0.990452,1.492964,0.600874,2.093838,0.007000,0.870667,0.870667,0.000000,1,
1,0.000100,random,0.500000,64,64,1,1.002573,1.507666,0.604034,2.111699,0.006970,0.890333,0.890333,0.000000,1,
1,0.000100,random,0.750000,96,32,1,1.012871,1.504705,0.601360,2.106066,0.006746,0.943417,0.943417,0.000000,1,
1,0.000100,random,1.000000,128,0,1,1.027221,1.478372,0.612369,2.090740,0.006477,0.974000,0.974000,0.000000,1,
2,0.000100,random,0.000000,0,128,2,0.215941,1.834316,0.613642,2.447958,0.006855,0.493583,0.493583,0.000000,1,
2,0.000100,random,0.250000,32,96,2,0.990029,1.888525,0.604707,2.493231,0.007008,0.869917,0.869917,0.000000,1,
2,0.000100,random,0.500000,64,64,2,0.997439,1.891241,0.598696,2.489937,0.006953,0.902167,0.902167,0.000000,1,
2,0.000100,random,0.750000,96,32,2,1.015869,1.885454,0.604419,2.489873,0.006741,0.950667,0.950667,0.000000,1,
2,0.000100,random,1.000000,128,0,2,1.036294,1.835563,0.615089,2.450651,0.006456,0.978417,0.978417,0.000000,1,
3,0.000100,random,0.000000,0,128,3,0.223178,2.159243,0.604242,2.763485,0.006871,0.702417,0.702417,0.000000,1,
3,0.000100,random,0.250000,32,96,3,0.990095,2.267352,0.607221,2.874573,0.007023,0.864917,0.864917,0.000000,1,
3,0.000100,random,0.500000,64,64,3,1.002675,2.216739,0.603545,2.820284,0.006935,0.898417,0.898417,0.000000,1,
3,0.000100,random,0.750000,96,32,3,1.017978,2.182478,0.612529,2.795007,0.006750,0.955167,0.955167,0.083333,1,
3,0.000100,random,1.000000,128,0,3,1.035477,2.077556,0.612850,2.690405,0.006441,0.978917,0.978917,0.000000,1,
4,0.000100,random,0.000000,0,128,4,0.214681,2.576329,0.608245,3.184574,0.006917,0.758000,0.758000,0.166667,1,
4,0.000100,random,0.250000,32,96,4,0.990805,2.650964,0.605897,3.256861,0.006962,0.876083,0.876083,0.083333,1,
4,0.000100,random,0.500000,64,64,4,1.006608,2.549945,0.603562,3.153507,0.006922,0.904333,0.904333,0.000000,1,
4,0.000100,random,0.750000,96,32,4,1.020120,2.398817,0.607422,3.006238,0.006729,0.957500,0.957500,0.083333,1,
4,0.000100,random,1.000000,128,0,4,1.038046,2.389109,0.612588,3.001697,0.006471,0.980250,0.980250,0.000000,1,
5,0.000100,random,0.000000,0,128,5,0.216416,3.190401,0.597835,3.788236,0.006868,0.801500,0.801500,0.083333,1,
5,0.000100,random,0.250000,32,96,5,0.984212,3.005718,0.606446,3.612165,0.007217,0.880750,0.880750,0.083333,1,
5,0.000100,random,0.500000,64,64,5,0.996246,2.881906,0.604411,3.486316,0.006886,0.910667,0.910667,0.000000,1,
5,0.000100,random,0.750000,96,32,5,1.013818,2.792972,0.616391,3.409363,0.006723,0.959583,0.959583,0.083333,1,
5,0.000100,random,1.000000,128,0,5,1.033736,2.726095,0.616993,3.343088,0.006484,0.980833,0.980833,0.000000,1,
6,0.000100,random,0.000000,0,128,6,0.220263,3.649371,0.605514,4.254885,0.006896,0.839417,0.839417,0.166667,1,
6,0.000100,random,0.250000,32,96,6,0.984667,3.298113,0.603063,3.901175,0.007029,0.883333,0.883333,0.000000,1,
6,0.000100,random,0.500000,64,64,6,0.997471,3.181106,0.602648,3.783754,0.006912,0.918833,0.918833,0.000000,1,
6,0.000100,random,0.750000,96,32,6,1.014279,3.072929,0.605680,3.678608,0.006778,0.963833,0.963833,0.083333,1,
6,0.000100,random,1.000000,128,0,6,1.034225,3.006578,0.610269,3.616847,0.006456,0.981667,0.981667,0.000000,1,
7,0.000100,random,0.000000,0,128,7,0.215223,4.070765,0.604905,4.675670,0.006833,0.879750,0.879750,0.083333,1,
7,0.000100,random,0.250000,32,96,7,0.983312,3.684484,0.613010,4.297494,0.006978,0.892833,0.892833,0.083333,1,
7,0.000100,random,0.500000,64,64,7,0.999736,3.528034,0.607825,4.135859,0.006884,0.921667,0.921667,0.083333,1,
7,0.000100,random,0.750000,96,32,7,1.015257,3.417038,0.617971,4.035009,0.006695,0.967417,0.967417,0.500000,1,
7,0.000100,random,1.000000,128,0,7,1.039014,3.323185,0.629105,3.952290,0.006456,0.983333,0.983333,0.000000,1,
8,0.000100,random,0.000000,0,128,8,0.217662,4.461077,0.615057,5.076134,0.006828,0.911333,0.911333,0.083333,1,
8,0.000100,random,0.250000,32,96,8,0.992348,3.969575,0.604639,4.574213,0.006959,0.906667,0.906667,0.083333,1,
8,0.000100,random,0.500000,64,64,8,0.997263,3.847790,0.605227,4.453017,0.006996,0.927417,0.927417,0.083333,1,
8,0.000100,random,0.750000,96,32,8,1.022033,3.693857,0.604684,4.298540,0.006731,0.967167,0.967167,0.166667,1,
8,0.000100,random,1.000000,128,0,8,1.029531,3.627891,0.612288,4.240179,0.006459,0.982333,0.982333,0.000000,1,
9,0.000100,random,0.000000,0,128,9,0.220655,4.739454,0.607579,5.347033,0.006790,0.932583,0.932583,0.083333,1,
9,0.000100,random,0.250000,32,96,9,0.987365,4.274566,0.604717,4.879283,0.006922,0.914417,0.914417,0.083333,1,
9,0.000100,random,0.500000,64,64,9,0.994981,4.145052,0.602643,4.747696,0.006897,0.935000,0.935000,0.083333,1,
9,0.000100,random,0.750000,96,32,9,1.012917,4.030005,0.612962,4.642967,0.006741,0.967083,0.967083,0.000000,1,
9,0.000100,random,1.000000,128,0,9,1.032456,3.948870,0.608754,4.557624,0.006451,0.983583,0.983583,0.000000,1,
10,0.000100,random,0.000000,0,128,10,0.220161,5.128739,0.606711,5.735450,0.006748,0.944583,0.944583,0.000000,1,
10,0.000100,random,0.250000,32,96,10,0.988929,4.602709,0.619938,5.222647,0.006890,0.927333,0.927333,0.166667,1,
10,0.000100,random,0.500000,64,64,10,1.001671,4.474692,0.613525,5.088217,0.006843,0.941583,0.941583,0.000000,1,
10,0.000100,random,0.750000,96,32,10,1.023163,4.368133,0.611996,4.980128,0.006700,0.972750,0.972750,0.333333,1,
10,0.000100,random,1.000000,128,0,10,1.025331,4.271227,0.610534,4.881761,0.006451,0.983000,0.983000,0.000000,1,
12,0.000100,random,0.000000,0,128,12,0.216369,5.748791,0.609656,6.358448,0.006711,0.958167,0.958167,0.000000,1,
12,0.000100,random,0.250000,32,96,12,0.989022,5.241674,0.608625,5.850299,0.006828,0.944750,0.944750,0.083333,1,
12,0.000100,random,0.500000,64,64,12,0.995654,5.107925,0.614406,5.722331,0.006801,0.955417,0.955417,0.083333,1,
12,0.000100,random,0.750000,96,32,12,1.017948,5.019319,0.609919,5.629238,0.006704,0.974750,0.974750,0.000000,1,
12,0.000100,random,1.000000,128,0,12,1.035980,4.885784,0.608080,5.493864,0.006462,0.985583,0.985583,0.000000,1,
15,0.000100,random,0.000000,0,128,15,0.219782,6.707740,0.611672,7.319412,0.006675,0.969583,0.969583,0.166667,1,
15,0.000100,random,0.250000,32,96,15,0.988773,6.174334,0.602883,6.777217,0.006762,0.958917,0.958917,0.000000,1,
15,0.000100,random,0.500000,64,64,15,0.991155,6.029562,0.611082,6.640644,0.006760,0.962583,0.962583,0.000000,1,
15,0.000100,random,0.750000,96,32,15,1.014720,5.944346,0.605672,6.550018,0.006644,0.976917,0.976917,0.000000,1,
15,0.000100,random,1.000000,128,0,15,1.027174,5.816503,0.612185,6.428688,0.006471,0.982917,0.982917,0.000000,1,
17,0.000100,random,0.000000,0,128,17,0.214740,7.323193,0.603945,7.927138,0.006655,0.973167,0.973167,0.166667,1,
17,0.000100,random,0.250000,32,96,17,0.984356,6.759676,0.608066,7.367741,0.006755,0.963750,0.963750,0.000000,1,
17,0.000100,random,0.500000,64,64,17,0.993207,6.664403,0.612365,7.276767,0.006751,0.967417,0.967417,0.000000,1,
17,0.000100,random,0.750000,96,32,17,1.014139,6.548713,0.606563,7.155276,0.006645,0.977083,0.977083,0.000000,1,
17,0.000100,random,1.000000,128,0,17,1.034593,6.452665,0.610948,7.063613,0.006442,0.984417,0.984417,0.000000,1,
20,0.000100,random,0.000000,0,128,20,0.215849,8.203230,0.601931,8.805162,0.006604,0.977750,0.977750,0.166667,1,
20,0.000100,random,0.250000,32,96,20,0.983831,7.692515,0.611448,8.303963,0.006728,0.970167,0.970167,0.000000,1,
20,0.000100,random,0.500000,64,64,20,0.997618,7.581409,0.607641,8.189050,0.006678,0.972500,0.972500,0.000000,1,
20,0.000100,random,0.750000,96,32,20,1.017302,7.485671,0.613113,8.098784,0.006691,0.978833,0.978833,0.000000,1,
20,0.000100,random,1.000000,128,0,20,1.028221,7.387135,0.609934,7.997069,0.006483,0.983750,0.983750,0.000000,1,
